Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	4	2	2	2	2	0
0.00095	6	4	3	2	2	0
0.00188	9	5	4	3	2	0
0.00281	15	10	7	3	2	0
0.00329	18	11	8	4	2	0
0.00375	20	13	9	4	2	0
0.00423	22	14	10	4	2	0
0.00563	22	15	10	4	2	0
0.00611	24	16	11	4	2	-0.141083
0.00751	27	18	12	4	3	-0.160543
0.00755	29	19	13	4	3	-0.170149
0.00846	34	23	15	4	3	-0.162698
0.00853	34	24	15	4	3	-0.15323
0.00939	35	25	15	4	3	-0.122537
0.00941	37	27	15	4	4	-0.0258287
0.00944	40	28	16	4	4	0.106211
0.01033	40	30	16	4	4	0.237385
0.01035	40	31	16	4	4	0.418811
0.01037	42	33	16	5	4	0.555072
0.0113	47	38	18	5	4	1.05256
0.01134	50	40	19	6	4	1.65595
0.01178	51	41	19	7	4	1.76436
0.01225	55	46	19	11	4	1.606
0.01228	55	47	19	11	4	1.47355
0.0123	55	48	19	11	4	1.37006
0.01319	57	50	19	13	4	1.24414
0.01321	61	55	20	15	4	1.34306
0.01323	64	62	18	20	4	0.509966
0.01366	66	64	19	20	4	0.822571
0.01368	66	65	19	20	4	0.731782
0.01414	68	68	18	21	7	0.278822
0.01416	73	75	18	25	7	0.267688
0.01419	73	76	18	25	7	0.260564
0.01421	74	78	18	25	7	0.253768
0.01466	76	79	19	25	7	0.696035
0.01481	76	80	19	25	7	0.703
0.0151	78	85	18	26	9	0.308747
0.01512	83	92	18	29	9	0.35643
0.01514	85	96	18	31	9	0.411475
0.01516	86	100	18	32	9	0.42653
0.01518	86	102	17	34	9	0.227245
0.01557	86	103	17	34	9	0.252222
0.01575	87	104	17	34	9	0.276873
0.01602	89	106	17	35	9	0.296873
0.01605	93	116	17	38	9	0.30359
0.01607	97	129	18	40	9	0.510406
0.01609	97	132	17	45	9	0.262424
0.01611	97	134	17	45	9	0.244855
0.01613	97	138	16	48	9	0.149228
0.01654	98	140	16	49	9	0.131574
0.01656	98	143	16	49	9	0.115302
0.01658	98	144	16	49	9	0.101633
0.0166	98	145	16	49	9	0.0903042
0.01699	98	146	16	49	9	0.0835927
