Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00049	4	2	2	2	2	0
0.00435	6	3	3	2	2	0
0.00535	8	4	4	2	2	0
0.00725	8	5	4	2	2	0
0.0074	11	6	5	3	2	0
0.00821	13	8	6	3	2	0
0.00885	13	9	6	3	2	0
0.00919	16	11	7	3	3	0.0732038
0.01018	17	12	7	4	3	0.112138
0.01163	17	13	7	4	3	0.128489
0.01229	20	14	8	5	3	0.141086
0.01264	20	15	8	5	3	0.143285
0.01364	21	16	8	6	3	0.134132
0.01375	22	17	8	7	3	0.119918
0.01407	23	18	8	8	3	0.101012
0.0141	24	19	8	9	3	0.0756679
0.01456	25	20	8	9	3	0.0543757
0.01475	27	21	9	9	3	0.155572
0.01503	27	22	9	9	3	0.144834
0.01523	27	23	9	9	3	0.139256
0.01557	27	24	9	9	3	0.134273
0.01601	29	26	9	10	4	0.138118
0.01603	30	27	9	11	4	0.139117
0.01606	33	30	9	13	5	0.142062
0.01618	33	32	8	16	5	0.0216435
0.0162	33	33	8	16	5	0.0168287
0.0165	34	34	8	17	5	0.00970363
0.01652	35	36	8	18	5	0.00201858
0.01654	35	37	8	18	5	-0.00533534
0.01668	35	38	8	18	5	-0.0123791
0.01702	38	42	8	20	6	-0.0186372
0.01704	40	44	8	21	7	-0.020377
0.0171	41	45	8	21	8	-0.0184179
0.01744	41	46	8	21	8	-0.0131441
0.0175	43	48	9	21	8	0.108588
0.01752	45	52	9	23	8	0.113334
0.01755	47	56	10	23	8	0.800462
0.01767	47	57	10	23	8	0.806791
0.01798	47	59	10	23	8	0.811194
0.018	47	60	10	23	8	0.81414
0.01803	48	61	10	24	8	0.813425
0.01805	49	63	10	25	8	0.80701
0.01846	50	66	10	26	8	0.799372
0.01848	50	67	10	26	8	0.792088
0.0185	50	68	10	26	8	0.786333
0.01853	50	69	10	26	8	0.780734
0.01856	51	70	10	26	9	0.778979
0.01867	51	71	10	26	9	0.777225
0.01883	51	72	10	26	9	0.775473
0.01899	52	75	10	26	10	0.774678
0.01906	52	76	10	26	10	0.879313
0.0191	52	77	10	26	10	0.992813
0.01915	54	80	11	26	10	1.30756
0.01918	54	81	11	26	10	1.4364
0.0192	54	82	11	26	10	1.57214
0.01935	54	83	11	26	10	1.70226
0.01944	54	84	11	26	10	1.83556
0.01946	54	88	10	26	12	1.8077
0.01949	55	93	9	39	2	0.645574
0.01951	56	95	9	40	2	0.446794
0.01953	57	97	9	41	2	0.33713
0.01955	57	98	9	41	2	0.26965
0.01957	57	100	9	41	2	0.223941
0.01966	57	101	9	41	2	0.19093
0.01974	57	102	9	41	2	0.165971
0.01995	58	103	9	42	2	0.14542
0.01998	59	106	9	43	2	0.128199
0.02	60	111	9	44	2	0.126989
0.02003	60	112	9	44	2	0.126646
0.0201	60	113	9	44	2	0.127567
0.02016	60	114	9	44	2	0.128474
0.02018	60	117	9	44	2	0.129367
0.02021	60	118	9	44	2	0.130246
0.02045	60	120	9	44	2	0.131939
0.02047	61	122	9	45	2	0.133606
0.02049	62	125	9	46	2	0.135656
0.02051	63	129	9	47	2	0.137271
0.02054	65	134	9	49	2	0.137246
0.02057	65	135	9	49	2	0.137222
0.0207	65	136	9	49	2	0.137198
0.02074	65	137	9	49	2	0.137175
0.02095	67	140	9	51	2	0.136007
0.02097	68	143	9	52	2	0.134132
0.021	70	148	9	54	2	0.131239
0.02106	70	150	9	54	2	0.130235
0.02108	70	151	9	54	2	0.129958
0.02112	70	154	9	54	2	0.130364
0.02114	70	155	9	54	2	0.130761
0.02116	70	156	9	54	2	0.13115
0.02119	71	157	9	55	2	0.130863
0.02141	71	158	9	55	2	0.131234
0.02144	71	159	9	55	2	0.131924
0.02146	75	166	9	59	2	0.130641
0.02148	76	169	9	60	2	0.129395
0.0215	76	174	9	60	2	0.128822
0.02152	76	176	9	60	2	0.12858
0.02158	76	177	9	60	2	0.128971
0.02161	76	178	9	60	2	0.129353
0.02165	76	180	9	60	2	0.130024
0.02168	76	181	9	60	2	0.130682
0.0219	76	182	9	60	2	0.131327
0.02193	78	186	9	62	2	0.131949
0.02195	80	190	9	64	2	0.131675
0.02197	81	193	9	65	2	0.131118
0.02199	83	197	9	67	2	0.129421
0.02201	83	198	9	67	2	0.128054
0.02209	83	199	9	67	2	0.127006
0.02212	83	202	9	67	2	0.126263
0.02214	83	205	9	67	2	0.125815
0.02216	83	206	9	67	2	0.125652
0.02225	83	207	9	67	2	0.126005
0.02243	84	212	9	68	2	0.126606
0.02245	84	214	9	68	2	0.127455
0.02247	85	218	9	69	2	0.128284
0.02249	86	225	9	70	2	0.129118
0.02251	87	229	9	71	2	0.129953
0.02253	88	232	9	72	2	0.131046
0.02256	89	234	9	73	2	0.131607
0.02258	89	235	9	73	2	0.132157
0.02261	90	237	9	74	2	0.1327
0.02263	90	239	9	74	2	0.133481
0.02291	90	240	9	74	2	0.134248
0.02293	92	245	9	76	2	0.134506
0.02296	94	248	9	78	2	0.134026
0.02299	95	254	8	81	2	0.0168287
0.02301	95	256	8	81	2	0.0154405
0.02304	95	259	8	81	2	0.0145502
0.02307	95	261	7	83	2	0.00286653
0.0231	95	262	7	83	2	-0.00421353
0.02314	95	263	7	83	2	-0.0108155
0.02316	96	265	7	84	2	-0.0176631
0.02319	96	268	7	84	2	-0.0238301
0.02323	96	269	7	84	2	-0.0293881
0.0234	96	274	7	84	2	-0.0342376
0.02342	97	281	7	85	2	-0.0392722
0.02344	98	284	7	86	2	-0.0446124
0.02346	104	296	7	91	3	-0.0404265
0.02348	106	304	7	93	3	-0.0365008
0.0235	106	308	7	93	3	-0.0323368
0.02352	107	310	7	94	3	-0.0278498
0.02355	108	313	7	95	3	-0.023368
0.02358	109	315	7	96	3	-0.0185619
0.02367	110	318	7	97	3	-0.0137704
0.02373	110	319	7	97	3	-0.00823714
0.02389	110	320	7	97	3	-0.00204387
0.02391	110	321	7	97	3	-0.0023412
0.02393	110	327	7	97	3	-0.00209754
0.02395	111	331	7	98	3	-0.00221757
0.02397	111	338	7	98	3	-0.00216343
0.02399	113	343	7	100	3	-0.00265263
0.02401	113	346	7	100	3	-0.00296617
0.02403	114	348	7	101	3	-0.00346059
0.02407	114	351	7	101	3	-0.00395057
0.02409	114	352	7	101	3	-0.00443615
0.02412	115	353	7	102	3	-0.0050823
0.02415	115	354	7	102	3	-0.00572131
0.02417	115	356	7	102	3	-0.00619158
0.02419	115	358	7	102	3	-0.00665773
0.02421	115	359	7	102	3	-0.00662215
0.02423	115	360	7	102	3	-0.00658673
0.02425	115	362	7	102	3	-0.00639158
0.02428	115	363	7	102	3	-0.00619686
0.02433	116	364	7	103	3	-0.00633944
0.02439	116	366	7	103	3	-0.00614541
0.02441	116	372	7	103	3	-0.0059518
0.02443	116	376	7	103	3	-0.00575861
0.02445	117	382	7	104	3	-0.00590136
0.02447	117	390	7	104	3	-0.00604349
0.02449	117	394	7	104	3	-0.00600982
0.02451	117	399	7	104	3	-0.00597628
0.02453	117	402	7	104	3	-0.00594289
0.02455	118	404	7	105	3	-0.00608372
0.02459	118	407	7	105	3	-0.00622395
0.02462	118	409	7	105	3	-0.00601691
0.02464	118	410	7	105	3	-0.00546483
0.02473	118	411	7	105	3	-0.00372103
0.02479	119	412	7	106	3	-0.00214109
0.02485	119	413	7	106	3	-0.000567837
0.02489	119	415	7	106	3	0.00134214
0.02491	119	420	7	106	3	0.00324407
0.02493	119	427	7	106	3	0.00530447
0.02495	121	434	7	108	3	0.00668278
0.02497	123	446	7	110	3	0.00737677
0.02499	127	454	6	116	3	0.00555847
0.02501	128	464	6	117	3	0.00476879
0.02503	128	468	6	117	3	0.00415731
