Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	10	5	5	2	2	0
0.0005	14	7	7	2	2	0
0.00099	24	12	12	2	2	0
0.00197	35	18	17	3	2	0
0.00246	37	19	18	3	2	0
0.00295	47	24	23	3	2	0
0.0032	49	25	24	3	2	0
0.00344	53	27	26	3	2	0
0.00393	62	33	30	3	3	0
0.00442	70	37	34	3	3	0
0.00492	85	47	40	4	3	0
0.00541	90	51	42	4	3	-0.108398
0.0059	95	55	44	4	3	-0.126498
0.00593	96	56	44	4	4	-0.126498
0.00639	102	60	46	4	4	-0.126498
0.00689	111	68	50	4	4	-0.115102
0.00691	114	70	51	4	4	-0.10292
0.00713	116	71	52	4	4	-0.0812669
0.00739	120	75	54	4	4	-0.0580089
0.00741	123	76	55	4	4	-0.0329624
0.00764	125	77	56	4	4	-0.0181399
0.00787	135	82	61	4	4	-0.00331004
0.00789	141	87	64	4	4	0.0241496
0.00794	143	88	65	4	4	0.0439743
0.00837	150	92	68	4	4	0.0649175
0.0084	150	93	68	4	4	0.0716078
0.00861	151	94	68	4	4	0.0782981
0.00887	154	99	69	4	4	0.0916896
0.00889	160	102	71	5	4	0.0760772
0.00936	164	104	73	5	4	0.0611041
0.00983	166	105	74	5	4	0.0467056
0.00985	167	108	73	7	5	0.0215956
0.00987	170	112	74	7	5	-0.0019771
0.0101	173	113	75	7	5	-0.0241903
0.01035	178	117	77	7	6	-0.0301526
0.01037	179	119	77	7	6	-0.0360654
0.01085	184	125	78	7	6	-0.0465431
0.01087	184	126	78	7	6	-0.0568414
0.01089	187	128	79	8	6	-0.0766753
0.01134	196	135	81	8	7	-0.076761
0.01136	199	137	82	8	7	-0.0663721
0.01138	199	138	82	8	7	-0.055967
0.01161	202	139	83	8	7	-0.0452516
0.01184	208	146	86	8	7	-0.0252081
0.01186	215	152	89	8	7	-0.00391355
0.01188	218	153	90	8	7	0.0604726
0.01193	218	154	90	8	7	0.129684
0.01233	223	157	92	8	8	0.225701
0.01235	229	161	95	8	8	0.33079
0.01237	230	163	95	8	8	0.43439
0.01283	232	167	95	10	8	0.529869
0.01285	235	169	96	11	8	0.629842
0.01287	235	171	96	11	8	0.733297
0.01289	239	175	98	11	8	0.842756
0.01307	240	176	98	12	8	0.927447
0.0131	241	177	98	12	8	1.01619
0.01332	241	179	96	22	8	0.9443
0.01334	248	186	98	25	8	0.870414
0.01336	253	191	99	28	8	0.787412
0.01338	256	193	100	29	8	0.706788
0.0134	256	194	100	29	8	0.641485
0.01382	258	197	100	30	8	0.581574
0.01384	265	207	100	37	8	0.509372
0.01386	271	211	102	39	8	0.456983
0.01388	275	216	103	40	8	0.409514
0.01393	276	217	103	40	8	0.364105
0.01408	276	220	102	42	8	0.313992
0.01432	277	222	102	43	8	0.275694
0.01434	284	230	103	47	8	0.255008
0.01436	285	234	102	50	8	0.220904
0.0144	285	235	102	50	8	0.207851
0.01459	288	238	103	51	8	0.205068
0.01462	288	239	103	51	8	0.196872
0.01483	297	251	104	56	8	0.182877
0.01485	303	262	106	57	8	0.190372
0.01487	307	269	107	58	8	0.191113
0.01489	307	271	107	58	8	0.179557
0.01492	311	274	109	58	8	0.20793
0.01508	312	275	109	59	8	0.200414
0.01511	312	276	109	59	8	0.189653
0.01531	315	280	110	60	8	0.205737
0.01533	321	296	109	67	8	0.164796
0.01535	327	312	110	70	8	0.17046
0.01537	328	317	110	71	8	0.151803
0.01539	333	322	111	72	9	0.172022
0.01543	333	323	111	72	9	0.168116
0.01559	333	325	111	72	9	0.16592
0.01582	336	330	112	73	9	0.199135
0.01584	340	338	113	74	9	0.237591
0.01586	352	352	116	77	9	0.387421
0.01588	361	360	119	78	10	0.591211
0.0159	366	367	121	78	10	0.737154
0.01592	366	369	121	78	10	0.744075
0.01607	367	370	121	79	10	0.754724
0.01611	367	371	121	79	10	0.767871
0.01615	368	372	121	79	10	0.784419
0.01632	370	382	120	82	10	0.726439
0.01634	375	399	121	84	10	0.804196
0.01636	383	413	123	88	10	0.929778
0.01638	388	420	124	90	10	0.980597
0.0164	393	425	125	93	10	1.01816
0.01642	393	426	125	93	10	1.02185
0.01657	395	429	125	95	10	1.0194
0.01664	395	431	125	95	10	1.0175
0.01681	398	434	126	96	10	1.04021
0.01683	399	444	126	97	10	1.04153
0.01685	404	460	126	102	10	1.04034
0.01687	413	477	128	106	10	1.05912
0.01689	415	484	129	106	10	1.05996
0.01691	416	491	129	106	10	1.05822
0.01708	416	496	128	108	10	1.05343
0.0171	417	498	128	109	10	1.05312
0.01712	419	499	129	109	10	1.0577
0.01718	419	500	129	109	10	1.05866
0.01731	420	502	129	110	10	1.05963
0.01733	426	517	131	112	10	1.06143
0.01735	432	535	130	120	10	1.05607
0.01737	437	554	130	125	10	1.0486
0.01739	438	562	130	126	10	1.04438
0.01742	438	565	130	126	10	1.04216
0.01746	438	567	130	126	10	1.04
0.01757	439	569	130	127	10	1.0372
0.01759	441	575	130	129	10	1.0338
0.01761	441	576	130	129	10	1.03119
0.01764	441	578	130	129	10	1.02864
0.01766	441	579	130	129	10	1.02616
0.01781	443	581	130	131	10	1.02342
0.01783	445	593	130	133	10	1.02139
0.01785	449	613	130	135	10	1.02162
0.01787	451	633	129	140	10	1.0193
0.01789	457	649	131	141	10	1.02029
0.01791	457	656	131	141	10	1.02023
0.01793	457	657	131	141	10	1.02016
0.01795	457	659	131	141	10	1.02129
0.01808	458	661	131	142	10	1.02241
0.0181	458	662	131	142	10	1.02351
0.01812	458	664	131	142	10	1.02517
0.01832	462	669	132	144	10	1.02572
0.01834	468	690	133	148	10	1.02447
0.01836	471	705	133	151	10	1.02209
0.01838	472	719	133	152	10	1.02089
0.0184	477	738	134	154	10	1.02111
0.01842	480	746	133	156	10	1.02131
0.01844	480	750	133	156	10	1.02206
0.01846	481	753	132	159	10	1.02196
0.01848	482	755	132	159	10	1.02188
0.01857	482	756	132	159	10	1.02206
0.01859	484	758	132	161	10	1.02119
0.01861	484	760	132	161	10	1.02085
0.01863	484	763	132	161	10	1.02129
0.01866	484	765	132	161	10	1.02277
0.01882	488	771	132	165	10	1.02321
0.01884	493	788	132	169	10	1.02337
0.01886	496	814	131	172	10	1.02369
0.01888	499	853	131	174	10	1.02458
0.0189	502	871	131	177	10	1.02495
0.01892	505	879	132	177	10	1.02661
0.01894	505	883	132	177	10	1.02841
0.01898	505	885	132	177	10	1.03041
0.01907	505	888	131	179	10	1.03182
0.0191	506	891	131	180	10	1.03282
0.01912	506	896	131	180	10	1.03379
0.01915	507	898	131	181	10	1.03428
0.01933	511	909	131	187	10	1.03294
0.01935	516	942	131	192	10	1.03071
0.01937	523	970	132	196	10	1.0275
0.01939	527	993	131	200	10	1.02332
0.01941	530	1009	130	202	10	1.01959
0.01943	532	1017	130	203	10	1.0178
0.01945	533	1020	130	204	10	1.01606
0.01948	533	1021	130	204	10	1.01477
0.0195	533	1022	130	204	10	1.01392
0.01952	533	1023	130	204	10	1.01371
0.0196	533	1025	130	204	10	1.0135
0.01962	533	1028	130	204	10	1.01389
0.01964	533	1029	129	206	10	1.01357
0.01966	534	1032	129	206	10	1.01573
0.01982	536	1039	129	208	10	1.01787
0.01984	546	1060	131	212	10	1.02089
0.01986	557	1104	132	221	10	1.01936
0.01988	564	1142	134	223	10	1.0172
0.0199	568	1169	135	225	10	1.01545
0.01992	569	1183	135	225	10	1.01544
0.01994	571	1190	135	227	10	1.0156
0.01996	572	1195	135	227	10	1.01782
0.01998	572	1199	134	229	10	1.01962
0.02002	573	1200	134	230	10	1.0212
0.02009	574	1205	134	231	10	1.02275
0.02011	574	1207	134	231	10	1.02535
0.02013	574	1210	134	231	10	1.02827
