Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	34	21	16	4	2	0
0.00043	44	26	21	4	2	0
0.00084	66	37	32	4	2	0
0.00098	66	38	32	4	2	0
0.00125	71	41	34	4	3	0
0.00139	75	43	36	4	3	0
0.00167	99	58	46	4	4	0
0.00181	101	59	47	4	4	0
0.00194	104	62	48	4	4	0
0.00208	118	71	54	4	4	0.110988
0.00229	118	72	54	4	4	0.240252
0.00249	130	85	55	7	6	0.350011
0.00291	132	88	55	9	6	0.428867
0.00332	144	102	58	10	6	0.490188
0.00374	151	109	60	12	6	0.4474
0.00388	153	110	61	12	6	0.408879
0.00415	165	131	64	14	6	0.315739
0.00417	167	132	65	14	6	0.238041
0.00443	167	133	65	14	6	0.177381
0.00457	172	142	66	16	6	0.106601
0.00499	179	153	68	16	7	0.0717766
0.00526	185	160	69	16	7	0.0459601
0.0054	189	163	70	16	7	0.0322096
0.00554	192	165	71	16	7	0.0241676
0.00582	200	181	75	16	7	0.0327791
0.00595	200	182	75	16	7	0.0330033
0.00609	203	186	76	16	7	0.0460738
0.00623	204	193	76	17	7	0.0474021
0.00638	205	194	76	18	7	0.0410877
0.00665	214	209	78	18	7	0.0559626
0.00667	217	211	79	18	7	0.0577599
0.0068	217	212	79	18	7	0.0504655
0.00692	220	216	80	18	7	0.0555189
0.00694	222	217	81	18	7	0.0644998
0.00707	223	221	81	18	7	0.0576998
0.00709	223	222	81	18	7	0.0510535
0.00748	229	237	83	18	7	0.0921934
0.0075	233	245	84	18	7	0.123482
0.00762	234	247	84	18	7	0.123482
0.00776	234	248	84	18	7	0.11554
0.0079	236	251	85	18	7	0.151344
0.00792	237	252	85	18	7	0.143402
0.00832	239	258	86	18	7	0.190123
0.00834	240	262	86	18	7	0.182181
0.00836	242	264	87	18	7	0.241185
0.00839	244	266	88	18	7	0.313073
0.00846	245	267	88	18	7	0.30513
0.0086	245	269	88	18	7	0.297188
0.00874	248	273	89	18	8	0.395406
0.00876	250	274	90	18	8	0.502811
0.0089	250	275	90	18	8	0.509476
0.00915	253	282	91	18	8	0.623707
0.00917	255	291	90	18	8	0.529928
0.00919	255	295	90	18	8	0.540569
0.0093	255	296	90	18	8	0.551502
0.00944	255	299	90	18	8	0.562738
0.00957	257	304	91	18	8	0.67843
0.00959	257	308	91	18	8	0.690313
0.00962	257	309	91	18	8	0.693843
0.00972	257	310	91	18	8	0.697373
0.00999	262	317	93	19	8	0.877389
0.01001	262	320	93	19	8	0.874091
0.01003	262	322	93	19	8	0.870828
0.01005	262	323	93	19	8	0.867601
0.01041	264	331	94	19	8	0.926698
0.01044	266	334	95	19	8	0.961588
0.01057	266	335	95	19	8	0.958464
0.01083	271	343	94	19	8	0.917326
0.01085	272	348	94	19	8	0.914268
0.01087	274	351	95	19	8	0.94929
0.01098	277	352	96	19	8	0.967405
0.01112	277	354	96	19	8	0.967405
0.01126	277	355	96	19	8	0.967405
0.01129	277	358	96	19	8	0.967405
0.0114	278	360	96	19	8	0.967405
0.01148	278	361	96	19	8	0.967405
0.01167	278	367	96	19	8	0.967405
0.01169	280	370	97	19	8	0.973627
0.01171	283	376	97	19	8	0.973627
