Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	70	69	29	7	6	0
0.00049	85	82	36	8	6	0
0.00096	168	159	65	12	8	0
0.00098	176	169	67	12	8	0
0.00131	176	170	67	12	8	-0.0372704
0.00143	205	193	75	13	9	-0.100889
0.00146	206	196	74	13	9	-0.162972
0.0016	209	198	75	13	9	-0.211879
0.00191	290	324	93	17	15	-0.201772
0.00194	300	338	97	17	15	-0.190541
0.00196	304	345	98	17	17	-0.152155
0.00208	306	346	99	17	17	-0.107793
0.00216	306	347	99	17	17	-0.0265873
0.00239	316	375	101	17	17	0.041766
0.00242	316	377	101	17	17	0.113709
0.00255	321	381	102	17	17	0.165323
0.00286	372	502	110	20	17	0.155711
0.00288	389	531	115	22	17	0.109957
0.0029	396	552	117	22	17	0.0686539
0.00292	398	557	117	22	17	0.0304321
0.00294	405	566	119	22	17	-0.00276238
0.00303	407	568	120	22	17	-0.0147757
0.00327	407	570	120	22	17	-0.0147757
0.00335	417	595	123	22	17	-0.0104935
0.00339	419	596	123	22	17	-0.0104935
0.0035	422	600	124	22	17	-0.03702
0.00352	422	602	124	22	17	0.0477946
0.00367	422	603	124	22	17	0.148871
0.00381	430	635	124	22	17	0.249947
0.00383	493	763	135	26	24	0.50458
0.00385	496	771	135	48	25	0.426662
0.00387	500	784	135	51	25	0.31426
0.00389	501	790	135	51	25	0.221873
0.00391	501	795	134	53	25	0.11571
0.00393	503	798	135	53	25	0.0395173
0.00397	505	801	135	53	27	0.12198
0.00399	505	802	135	53	27	0.213592
0.00414	506	803	135	53	27	0.306598
0.00428	509	805	136	53	27	0.429732
0.0043	528	858	135	80	27	0.334099
0.00432	532	863	136	80	27	0.272159
0.00435	532	866	136	80	27	0.205411
0.00443	533	867	136	81	27	0.143939
0.00446	535	870	136	81	27	0.129025
0.00455	535	871	136	81	27	0.174553
0.00462	537	873	136	81	27	0.221746
0.00476	545	887	137	81	27	0.290805
0.00478	623	1080	144	113	31	0.530613
0.0048	632	1094	147	118	31	0.672865
0.00482	638	1101	148	119	31	0.6909
0.00484	644	1116	150	120	31	0.774557
0.00486	646	1121	151	120	31	0.792242
0.00488	647	1126	151	120	32	0.786097
0.0049	650	1132	152	120	33	0.845374
0.00492	650	1134	152	120	33	0.859796
0.00494	652	1139	152	122	33	0.870591
0.00496	652	1143	152	122	33	0.891689
0.00511	652	1144	152	122	33	0.909705
0.00516	652	1146	151	125	33	0.859026
0.00524	652	1147	150	125	33	0.80019
0.00526	668	1201	152	132	33	0.893272
0.00528	675	1209	153	133	33	0.917219
0.00532	676	1212	153	133	34	0.914668
0.00537	676	1214	153	133	34	0.916758
0.00539	676	1216	153	133	34	0.918821
0.00542	683	1229	152	134	34	0.885606
0.0055	684	1232	151	137	34	0.850409
0.00556	685	1234	151	138	34	0.836047
0.00558	685	1236	151	138	34	0.821896
0.00571	694	1259	154	138	34	0.933217
0.00573	732	1359	162	153	35	0.944531
0.00575	760	1485	162	162	42	0.956298
0.00577	761	1494	162	162	42	0.969269
0.00579	763	1501	161	166	42	0.976038
0.00581	767	1520	162	167	42	0.982059
0.00583	769	1526	161	168	42	0.997489
0.00585	770	1528	161	168	42	0.994405
0.00587	773	1541	162	169	42	0.989475
0.00589	774	1547	162	170	42	0.986095
0.00591	774	1554	162	170	42	0.983581
0.00596	778	1559	163	170	42	1.00262
0.006	778	1560	163	170	42	1.035
0.00606	778	1564	163	170	42	1.06918
0.00619	781	1567	164	170	42	1.10425
0.00621	797	1624	162	190	42	1.09937
0.00623	803	1663	160	203	42	1.07219
0.00625	804	1664	160	204	42	1.04524
0.00627	804	1666	160	204	42	1.02018
0.0063	804	1668	160	204	42	0.996811
0.00637	806	1682	159	206	42	0.985264
0.00639	808	1691	159	206	42	0.989185
0.00641	808	1692	159	206	42	0.99378
0.00646	808	1695	159	206	42	0.998358
0.00653	808	1697	159	206	42	1.01662
0.00662	808	1698	158	213	42	1.02747
0.00666	808	1708	157	213	42	1.03719
0.00668	810	1715	158	213	42	1.05228
0.0067	863	1975	159	240	44	1.04907
0.00672	870	2015	159	244	44	1.04009
0.00674	872	2018	159	245	44	1.03487
0.00676	875	2032	160	245	44	1.03011
0.00678	879	2056	158	256	44	1.00945
0.0068	880	2064	158	257	44	1.00017
0.00682	880	2067	158	257	44	0.993397
0.00684	880	2074	158	257	44	0.99146
0.00686	883	2106	158	257	44	0.98956
0.00688	884	2115	158	258	44	0.992542
0.0069	884	2117	157	258	44	0.993307
0.00693	884	2119	156	264	44	0.98312
0.00695	885	2122	156	264	44	0.97927
0.00701	885	2127	156	264	44	0.975461
0.00703	885	2129	156	264	44	0.976144
0.00705	885	2130	156	264	44	0.979418
0.00712	885	2131	156	264	44	0.986563
0.00715	887	2133	157	264	44	1
0.00717	899	2205	155	276	45	1.01007
0.00719	915	2252	160	280	45	1.05652
0.00721	916	2259	160	281	45	1.07895
0.00723	916	2260	160	281	45	1.10103
0.00726	916	2268	159	325	45	1.06999
0.00728	917	2271	159	326	45	1.04404
0.00731	917	2272	159	326	45	1.0217
0.00734	919	2292	160	326	45	1.00139
0.00736	919	2297	160	326	45	0.982484
0.00738	920	2300	160	327	45	0.982157
0.00742	922	2303	161	327	45	0.982322
0.00745	922	2304	161	327	45	0.982428
0.00747	923	2305	161	328	45	0.982639
0.00752	923	2306	161	328	45	0.999421
0.00758	923	2307	161	328	45	1.00685
0.00762	925	2320	160	328	45	1.01513
0.00764	930	2345	160	330	45	1.02194
0.00766	982	2680	157	385	48	0.996438
0.00768	997	2759	156	396	52	0.987902
0.0077	1001	2786	156	398	52	0.984081
0.00772	1004	2796	156	399	52	0.979535
0.00774	1005	2824	154	402	52	0.941618
0.00776	1006	2842	153	405	52	0.917548
