Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	72	37	35	3	3	0
0.00043	90	49	43	4	3	0
0.00085	189	116	85	7	6	0
0.00091	191	117	86	7	6	0
0.001	193	118	87	7	6	0
0.00127	219	133	98	7	7	0
0.00129	223	135	100	7	7	0
0.00141	228	139	102	7	7	0
0.00169	318	221	133	12	11	0
0.00171	320	222	134	12	11	0
0.00176	322	223	135	12	11	0
0.00187	324	224	136	12	11	0
0.00191	326	225	137	12	11	0
0.00193	326	226	137	12	11	0
0.00211	369	262	153	14	12	0
0.00213	369	263	153	14	12	0
0.00225	372	264	154	14	12	-0.0016964
0.00253	441	338	179	15	14	0.00191302
0.00255	461	358	186	15	14	0.0167191
0.00268	463	359	187	15	14	0.0260681
0.00275	468	362	189	15	14	0.0376482
0.00288	468	363	189	15	14	0.0557855
0.00294	484	381	195	16	14	0.064848
0.00296	501	394	202	17	15	0.0744499
0.00298	501	395	202	17	15	0.0839152
0.0031	504	397	203	17	15	0.0967046
0.00336	561	461	218	19	16	0.105537
0.00338	607	525	233	20	16	0.109802
0.0034	613	528	236	20	16	0.113993
0.00352	617	531	237	20	16	0.118115
0.00374	619	532	238	20	16	0.12217
0.00378	632	548	244	20	16	0.129052
0.0038	652	571	252	20	16	0.135878
0.00382	656	574	254	20	16	0.142642
0.00384	658	576	254	20	16	0.145669
0.00394	664	581	257	20	16	0.148647
0.00414	665	582	257	21	16	0.147265
0.0042	685	623	262	24	16	0.133328
0.00422	715	688	266	25	16	0.115927
0.00424	731	709	271	25	16	0.101684
0.00426	732	711	271	25	16	0.0912207
0.0043	734	712	271	25	16	0.0846431
0.00435	739	722	273	25	16	0.0783162
0.00437	741	723	274	25	16	0.0738264
0.00439	741	724	274	25	16	0.0712991
0.00444	743	725	275	25	16	0.0688408
0.00462	753	740	279	25	16	0.0664573
0.00464	765	764	282	25	16	0.0641329
0.00466	780	776	289	25	16	0.0650532
0.00469	783	778	290	25	16	0.0659182
0.00475	785	780	291	25	16	0.0667628
0.00477	791	786	293	25	16	0.0675956
0.00479	795	788	294	25	16	0.0684017
0.00487	795	789	294	25	16	0.0708144
0.00491	799	791	295	25	16	0.0781094
0.00494	801	793	296	25	16	0.0870388
0.00505	834	861	303	27	16	0.0884053
0.00507	869	914	314	29	16	0.0836402
0.00509	880	928	319	29	16	0.0788997
0.00511	883	931	320	29	16	0.0741431
0.00514	886	932	321	29	16	0.0694746
0.00519	888	934	322	29	16	0.064892
0.00522	890	936	323	29	16	0.0603931
0.00527	891	939	323	29	16	0.055937
0.00547	907	964	327	31	16	0.0460584
0.00549	915	984	329	31	16	0.0363677
0.00551	921	991	331	31	16	0.0269355
0.00555	922	992	331	31	16	0.0176349
0.00562	922	994	331	31	16	0.00856435
0.00564	922	996	331	31	16	-0.000284467
0.00569	922	997	331	31	16	-0.00891963
0.00571	922	998	331	31	16	-0.0173488
0.00589	946	1045	336	32	17	-0.0231244
0.00591	972	1092	342	32	17	-0.0262707
0.00593	991	1128	345	32	17	-0.0272526
0.00595	994	1132	346	32	17	-0.0284293
0.00599	994	1133	346	32	17	-0.0193168
0.00601	995	1134	346	32	17	-0.0102437
0.00603	997	1138	347	32	17	-0.00262121
0.00605	998	1141	347	32	17	0.00484611
0.0061	999	1142	347	32	17	0.0122813
0.00631	1009	1161	350	32	17	0.0225658
0.00633	1016	1179	352	32	17	0.0327843
0.00635	1021	1190	352	32	17	0.0427289
0.00637	1023	1192	353	32	17	0.0528734
0.00642	1024	1194	352	32	17	0.0627205
0.00644	1025	1197	352	32	17	0.073861
0.00646	1026	1199	352	32	17	0.0850397
0.00648	1032	1203	353	32	17	0.0964228
0.00656	1034	1204	354	32	17	0.106598
0.00663	1034	1205	354	32	17	0.117697
0.00671	1036	1208	354	32	17	0.128795
0.00673	1059	1247	360	41	17	0.11849
0.00675	1078	1283	366	41	17	0.108992
0.00677	1113	1333	377	42	18	0.10608
0.00679	1127	1352	384	42	18	0.103312
0.00681	1131	1357	385	42	18	0.0968485
0.00684	1131	1358	385	42	18	0.0897575
0.00687	1137	1364	387	42	18	0.0875867
0.00689	1139	1366	388	42	18	0.085685
0.00691	1141	1367	389	42	18	0.0839019
0.00693	1145	1370	391	42	18	0.0833331
0.00695	1146	1371	391	43	18	0.0787275
0.00697	1149	1372	392	43	18	0.0753967
0.00711	1149	1373	392	43	18	0.0710338
0.00715	1155	1385	394	43	18	0.0692634
0.00717	1163	1406	396	44	18	0.0660252
0.00719	1175	1427	400	44	18	0.066555
0.00721	1180	1434	401	44	18	0.0626986
0.00723	1182	1436	401	44	18	0.0656478
0.00728	1182	1437	401	44	18	0.0685923
0.0073	1185	1441	402	44	18	0.0721318
0.00732	1189	1443	404	44	18	0.0778166
0.00751	1189	1444	404	44	18	0.0794653
0.00758	1211	1492	408	47	18	0.085163
0.0076	1226	1534	411	48	18	0.0881155
0.00762	1240	1588	413	48	18	0.0890895
0.00764	1247	1610	415	48	18	0.0907511
0.00766	1249	1621	414	48	18	0.0822401
0.00771	1254	1624	416	48	18	0.0852051
0.00773	1254	1628	416	48	18	0.0819356
0.00775	1257	1632	417	48	18	0.0825149
0.00779	1258	1634	417	48	18	0.0793287
0.00793	1258	1635	417	48	18	0.0769694
0.008	1265	1653	419	48	18	0.0807323
0.00802	1274	1667	422	48	18	0.0900961
0.00804	1278	1680	422	48	18	0.0857885
0.00806	1286	1687	425	48	18	0.0972085
0.00808	1289	1689	426	48	18	0.0986924
0.00811	1289	1690	426	48	18	0.0945116
0.00813	1290	1692	426	48	18	0.0903719
0.00817	1293	1695	427	48	18	0.0943865
0.00819	1293	1697	426	48	18	0.0854066
0.00821	1294	1699	426	48	18	0.0823869
0.00828	1294	1700	426	48	18	0.0762629
0.00842	1313	1731	432	48	18	0.110033
0.00844	1330	1788	437	49	18	0.144124
0.00846	1343	1834	440	49	18	0.165749
