Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	4	2	2	2	2	0
0.00155	6	3	3	2	2	0
0.00194	8	4	4	2	2	0
0.00387	13	7	6	3	2	1
0.00496	13	8	6	3	2	0.949298
0.00541	14	10	6	4	2	0.492975
0.00619	14	11	6	4	2	0.16703
0.00697	16	12	7	4	2	0.0366522
0.00736	18	13	8	4	2	-0.0774276
0.00774	20	14	9	4	2	-0.0774241
0.00776	22	15	10	4	2	0.207792
0.00852	24	16	11	4	2	0.49305
0.00929	24	17	11	4	2	0.778251
0.00931	26	18	11	6	2	0.49305
0.00973	26	19	11	6	2	0.264888
0.01009	26	23	11	6	2	0.0782107
0.01087	28	25	12	6	2	-0.0771286
0.01144	28	26	12	6	2	-0.0771286
0.01166	30	27	13	6	2	-0.0762256
0.01244	32	28	14	6	2	-0.0726124
0.01247	34	29	15	6	2	-0.058253
0.01477	36	30	16	6	2	-0.00271783
0.01597	38	31	17	6	2	0.190153
0.018	40	32	18	6	2	0.445602
0.01913	42	33	19	6	2	0.440553
0.02034	42	34	19	6	2	0.155352
0.02123	43	35	19	6	3	0.138067
0.02142	46	36	20	6	4	0.220074
0.02189	46	37	20	6	4	0.323648
0.02283	46	38	20	6	4	0.40482
0.02285	48	40	20	6	5	0.492267
0.02347	49	41	20	6	5	0.619764
0.02364	50	42	20	6	6	0.918691
0.02392	50	43	20	6	6	1.37198
0.02427	50	44	19	8	6	1.38563
0.02467	50	45	19	8	6	1.48629
0.02485	51	46	19	9	6	1.41269
0.02506	51	48	19	9	6	1.35208
0.02559	52	49	19	10	6	1.29616
0.02572	53	50	19	11	6	1.19378
0.02593	53	51	19	11	6	1.1524
0.0263	53	53	19	11	6	1.16793
0.02649	54	54	19	12	6	1.23278
0.02673	54	55	19	12	6	1.33749
0.02686	55	56	19	13	6	1.34369
0.02737	57	58	19	15	6	1.17915
0.02749	57	59	19	15	6	1.15442
0.02754	57	60	19	15	6	1.17159
0.02757	58	61	19	15	6	1.25813
0.02768	58	62	18	17	6	1.02214
0.02787	59	63	18	18	6	1.06573
0.02809	60	64	18	19	6	1.07387
0.02812	61	65	18	20	6	1.05198
0.0283	61	66	17	22	6	0.529507
0.02848	62	67	17	23	6	0.434611
0.02852	63	68	17	24	6	0.324742
0.02862	63	69	17	24	6	0.245353
0.02865	63	70	17	24	6	0.232182
0.0287	64	71	17	24	6	0.237686
0.02883	64	73	17	24	6	0.28522
0.02905	65	74	17	25	6	0.313642
0.02914	65	75	16	25	6	0.148614
0.02926	66	77	16	26	6	0.134179
0.0295	67	79	16	27	6	0.168957
0.02954	67	80	16	27	6	0.241741
0.02966	67	82	16	27	6	0.311804
0.02985	68	84	15	31	6	0.186206
0.02988	69	86	15	32	6	0.10263
0.02994	69	87	15	32	6	0.0446066
0.02999	69	88	15	32	6	0.00911746
0.03004	69	89	15	32	6	0.0308725
0.03014	70	90	15	33	6	0.0346034
0.03016	71	91	15	34	6	0.00706035
0.03029	71	92	15	34	6	-0.0024993
0.03035	71	93	15	34	6	-0.0117757
0.03061	71	94	15	34	6	-0.00792331
0.03073	72	95	15	35	6	-0.0207813
0.03075	74	96	16	35	6	0.0386158
0.03077	74	98	16	35	6	0.042422
0.03083	74	99	16	35	6	0.0624711
0.03085	75	101	16	36	6	0.0984175
0.03089	75	102	16	36	6	0.133858
0.03091	76	103	16	37	6	0.155728
0.03101	78	105	16	39	6	0.120613
0.03109	78	106	16	39	6	0.0992748
0.03112	79	108	16	40	6	0.0524825
0.03126	79	109	16	40	6	0.0189431
0.0313	79	110	16	40	6	0.0080445
0.03132	79	111	16	40	6	-0.00271783
0.03151	79	113	16	40	6	-0.00271783
0.03153	80	115	16	40	6	0.0115423
0.03157	80	116	16	40	6	0.0258023
0.03163	80	117	16	40	6	0.0400624
0.03168	81	118	16	41	6	0.0291681
0.03175	81	119	16	41	6	0.0184082
0.03197	81	120	16	41	6	0.021778
0.03199	81	121	16	41	6	0.0251067
0.03202	81	122	16	41	6	0.039019
0.03204	82	123	16	42	6	0.0283951
0.03227	82	124	16	42	6	0.0316438
0.03233	82	126	16	42	6	0.048516
0.03237	82	127	16	42	6	0.0787684
0.0324	83	128	16	43	6	0.108663
0.03246	84	130	16	44	6	0.114031
0.03248	85	131	16	45	6	0.10874
0.0325	86	132	16	46	6	0.0934176
0.03252	86	133	16	46	6	0.0886728
0.03257	87	134	16	47	6	0.0716826
0.03263	88	135	16	48	6	0.0430365
0.0327	88	137	16	48	6	0.0244442
0.03274	88	138	16	48	6	0.018187
0.03287	88	140	16	48	6	0.021049
0.03293	88	141	16	48	6	0.0448158
0.03305	89	142	16	49	6	0.0593468
0.03319	89	143	16	49	6	0.073728
0.03325	92	146	17	50	6	0.271639
0.03328	93	148	17	51	6	0.267544
0.03331	93	150	17	51	6	0.283801
0.03334	94	152	17	52	6	0.279628
0.03337	95	153	17	53	6	0.264553
0.03359	96	154	17	54	6	0.239044
0.03362	96	155	17	54	6	0.214254
0.03364	96	156	17	54	6	0.219336
0.03369	96	157	17	54	6	0.232405
0.03371	96	158	17	54	6	0.264094
0.03373	96	160	16	56	6	0.0757781
0.03379	96	161	16	56	6	0.0906209
0.03387	97	162	16	57	6	0.0868074
0.03389	98	164	16	58	6	0.0751787
0.03395	99	165	16	59	6	0.0915227
0.03397	99	166	16	59	6	0.107446
0.0341	100	167	16	60	6	0.122964
0.03412	103	171	16	63	6	0.103789
0.03418	103	172	16	63	6	0.10205
0.0342	104	174	16	64	6	0.0839835
0.03432	105	175	16	65	6	0.0576778
0.03437	106	176	16	66	6	0.0370778
0.03444	106	177	16	66	6	0.0169513
