Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00294	4	2	2	2	2	0
0.00435	6	3	3	2	2	0
0.00484	8	4	4	2	2	0
0.00486	10	5	5	2	2	0
0.00581	14	10	6	3	3	0
0.00629	16	11	7	3	3	0
0.00741	18	12	8	3	3	0
0.00773	21	14	9	4	3	0.0364146
0.00851	24	16	10	4	3	0.090385
0.00872	26	17	11	4	3	-0.0273505
0.00877	26	18	11	4	3	-0.094014
0.00967	26	19	11	4	3	-0.156511
0.00969	28	22	12	4	3	-0.21522
0.00971	29	23	12	4	4	-0.133538
0.01	32	24	13	4	4	-0.011014
0.01065	32	25	13	4	4	0.11151
0.01067	32	26	13	4	4	0.292743
0.01069	32	27	13	4	4	0.485668
0.01116	35	28	14	5	4	0.488378
0.01162	37	29	15	5	4	0.579511
0.01168	41	32	17	5	4	0.672149
0.01213	43	34	17	6	4	0.663697
0.01217	44	35	17	7	4	0.492695
0.01219	46	36	18	7	4	0.343523
0.01258	48	37	19	7	4	0.212252
0.01264	48	38	19	7	4	0.0958411
0.01266	52	43	20	7	6	0.141189
0.01268	53	45	19	10	6	0.0873987
0.0127	55	47	20	10	6	0.0367536
0.01277	57	48	21	10	6	-0.011014
0.01293	57	49	21	10	6	-0.0293696
0.01311	59	51	21	10	6	-0.0202437
0.01317	61	52	22	10	6	-0.011014
0.01326	63	53	23	10	6	-0.00167886
0.01336	65	54	24	10	6	0.00776359
0.01348	67	55	25	10	6	-0.00738367
0.01354	69	56	26	10	6	0.03255
0.01356	69	57	26	10	6	0.0924505
0.01359	73	60	28	10	6	0.152351
0.01361	77	62	30	10	6	0.212252
0.01364	78	64	30	10	6	0.272152
0.01366	79	65	30	10	6	0.332053
0.01368	80	68	30	10	6	0.391953
0.01382	80	69	29	12	6	0.367212
0.01404	82	70	30	12	6	0.343523
0.01408	83	72	30	13	6	0.282033
0.0141	83	74	30	13	6	0.224232
0.01415	85	75	31	13	6	0.169798
0.01418	87	76	32	13	6	0.118445
0.01421	91	78	34	13	6	0.0699192
0.01452	93	79	35	13	6	0.0239929
0.01456	93	80	35	13	6	-0.0195373
0.01461	94	81	35	13	6	-0.033547
0.01467	94	82	35	13	6	-0.0473173
0.01469	95	84	35	13	6	-0.0473173
0.01504	98	86	36	13	6	-0.0319582
0.01506	98	87	36	13	6	-0.016599
0.01511	100	88	37	13	6	-0.00123991
0.01522	100	89	37	13	6	0.0141192
0.01539	102	90	38	13	6	0.0294783
0.01551	102	91	38	13	6	0.0448374
0.01553	105	93	39	13	6	0.0601966
0.01556	107	95	39	13	6	0.0755557
0.01559	112	101	40	14	6	0.0609776
0.01562	112	103	40	14	6	0.0466445
0.01565	114	104	41	14	6	0.0325503
0.01599	116	105	42	14	6	0.018689
0.01614	116	107	42	14	6	0.00505497
0.01619	119	108	43	14	6	-0.00835732
0.01622	121	109	44	14	6	-0.0215533
0.01649	121	110	44	14	6	-0.0345382
0.01651	122	111	44	14	6	-0.0473169
0.01655	122	114	44	14	6	-0.0473169
0.01657	122	116	44	14	6	-0.0473169
0.0166	126	119	46	14	6	-0.0473168
0.01662	128	121	47	14	6	-0.0473167
0.01664	129	122	47	14	6	-0.0473167
0.01668	130	123	47	14	6	-0.0473167
0.01683	130	124	47	14	6	-0.0473167
0.01698	130	125	47	14	6	-0.0473167
0.01701	132	126	48	14	6	-0.0473165
0.01704	132	127	48	14	6	-0.0473165
0.01708	132	129	48	14	6	-0.0758406
0.0171	132	130	48	14	6	-0.104365
0.01712	132	131	48	14	6	-0.132889
0.01714	135	134	49	14	6	-0.161413
0.01718	139	136	50	14	6	-0.189937
0.01727	139	137	50	14	6	-0.218461
0.01748	139	140	50	14	6	-0.246985
0.0175	140	141	50	14	6	-0.275509
0.01754	143	145	51	14	7	-0.253425
0.01757	143	147	51	14	7	-0.230618
0.01759	143	148	51	14	7	-0.207051
0.01762	143	149	51	14	7	-0.182684
0.01766	143	150	51	14	7	-0.157478
0.01769	143	151	51	14	7	-0.131387
0.01779	145	152	52	14	7	-0.104364
0.01791	145	153	52	14	7	-0.0763584
0.01802	145	155	52	14	7	-0.0473157
0.01804	145	156	52	14	7	-0.0722743
0.01814	145	159	52	14	7	-0.0972328
0.01837	148	160	53	14	7	-0.122191
0.01843	148	161	53	14	7	-0.14715
0.01848	150	163	53	14	7	-0.172108
0.01852	153	166	54	14	7	-0.197066
0.01855	155	173	53	14	7	-0.222025
0.01859	157	175	54	14	7	-0.246983
0.01862	158	177	54	14	8	-0.227298
0.01864	160	178	55	14	8	-0.207049
0.01879	160	179	55	14	8	-0.186214
0.01896	163	181	56	14	8	-0.164766
0.01903	163	182	56	14	8	-0.142678
0.0191	164	183	56	14	8	-0.119921
0.01912	164	185	56	14	8	-0.0964633
0.01914	166	186	57	14	8	-0.10035
0.01923	166	187	57	14	8	-0.104362
0.01928	167	188	57	14	8	-0.132886
0.01932	170	189	58	14	8	-0.161409
0.01938	172	190	59	14	8	-0.189932
0.01944	177	194	61	14	8	-0.218454
0.01949	178	195	61	14	8	-0.246978
0.01951	180	199	61	14	8	-0.275502
0.01953	183	204	60	15	10	-0.25342
0.01955	183	206	60	15	10	-0.230613
0.01958	184	207	60	15	10	-0.207046
0.01961	184	208	60	15	10	-0.182679
0.0198	188	210	62	15	10	-0.145077
0.01999	188	211	62	15	10	-0.106158
0.02001	188	212	62	15	10	-0.0845194
0.02003	188	213	62	15	10	-0.0620938
0.02012	190	214	63	15	10	-0.038836
0.02017	192	215	64	15	10	-0.0448846
0.02039	193	217	64	15	10	-0.0509352
0.02042	193	218	64	15	10	-0.0569857
0.02049	195	223	64	16	10	-0.0878791
0.02053	196	225	64	16	10	-0.118322
0.02056	198	230	64	16	11	-0.113241
0.02059	198	231	64	16	11	-0.108126
0.02062	198	232	63	16	11	-0.102978
0.02067	201	233	64	16	11	-0.0977926
0.02073	201	234	64	16	11	-0.0925738
0.02077	203	235	65	16	11	-0.0873173
0.02084	203	237	65	16	11	-0.0820274
0.02092	204	238	65	16	11	-0.0648558
0.02095	205	239	65	16	11	-0.0473025
0.02106	207	240	66	16	11	-0.0472997
0.02108	207	241	66	16	11	-0.0472997
0.0211	207	242	66	16	11	-0.0472997
0.02113	209	243	67	16	11	-0.0472965
0.02128	209	244	67	16	11	-0.0472965
0.02135	211	246	67	16	11	-0.0472965
0.02143	211	247	67	16	11	-0.0472965
0.02145	215	249	68	16	11	-0.0472926
0.02147	215	251	68	16	11	-0.0472926
0.02149	217	255	69	16	11	-0.047288
0.02151	219	258	69	16	11	-0.047288
0.02154	221	259	70	16	11	-0.0472825
0.02156	223	260	71	16	11	-0.0472761
0.02158	224	263	71	16	11	-0.0472761
0.02162	224	265	71	16	11	-0.0472761
0.02164	226	266	72	16	11	-0.0472684
0.02166	228	267	73	16	11	-0.0472594
0.0218	228	268	73	16	11	-0.0472594
0.02189	228	269	73	16	11	-0.0472594
0.02191	230	270	74	16	11	-0.0472486
0.02195	230	271	74	16	11	-0.0472486
0.02199	230	272	74	16	11	-0.0472486
0.02203	230	273	74	16	11	-0.0472486
0.02205	231	274	74	16	11	-0.0472486
0.0221	232	276	74	16	11	-0.0472486
0.02212	232	277	74	16	11	-0.0472486
0.02218	233	278	74	16	11	-0.0472486
0.02226	236	279	75	16	11	-0.0472359
0.02232	238	280	76	16	11	-0.0347415
0.02235	238	281	76	16	11	-0.0222622
0.02237	240	283	77	16	11	-0.00976503
0.02239	245	286	79	16	11	0.00276063
0.02242	245	288	79	16	11	0.0152399
0.02246	247	289	80	16	11	0.027749
0.02248	249	294	81	16	11	0.0402636
0.0225	251	299	82	16	11	0.0527848
0.02253	252	304	82	17	11	0.0410801
0.02255	252	306	82	17	11	0.0295358
0.02257	253	309	82	17	11	0.0181485
0.02259	255	310	83	17	11	0.00696471
0.02261	257	311	84	17	11	-0.00405904
0.02266	257	312	84	17	11	-0.0149939
0.02269	259	314	85	17	11	-0.0257141
0.0228	259	315	85	17	11	-0.0363622
0.02285	259	316	85	17	11	-0.0468711
0.02288	259	317	84	17	11	-0.0469408
0.02291	261	319	85	17	11	-0.0468711
0.02294	262	321	85	17	11	-0.0468711
0.02296	262	324	84	17	11	-0.0469408
0.02304	262	325	84	17	11	-0.0469408
0.02306	264	326	85	17	11	-0.0468711
0.02311	264	328	85	17	11	-0.0468711
0.02318	264	329	85	17	11	-0.0468711
0.02331	266	331	86	17	11	-0.0467883
0.02334	266	332	86	17	11	-0.0467883
