Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	16	8	8	2	2	0
0.00035	16	9	8	2	2	0
0.00065	77	45	34	4	4	0
0.00129	139	100	57	8	5	0.664814
0.00193	186	160	69	8	7	1.00005
0.00257	247	259	83	25	10	0.87061
0.00321	292	358	94	35	12	0.664613
0.00338	292	359	94	35	12	0.435335
0.00385	344	487	107	52	12	0.0673397
0.00387	345	494	106	52	12	-0.193355
0.00449	417	698	114	66	25	-0.0213933
0.00451	427	727	118	66	25	0.106988
0.00513	493	1003	125	83	38	0.512418
0.00515	507	1045	128	84	43	0.55987
0.00577	538	1243	121	91	84	0.385413
0.00579	565	1461	123	100	94	0.682859
0.00581	565	1465	123	100	94	0.886259
0.00642	610	1870	119	146	111	0.775408
0.00644	617	1954	119	158	111	0.734417
0.00674	617	1955	119	158	111	0.69542
0.00706	650	2347	117	178	117	0.533266
0.00708	668	2643	117	185	119	0.546831
0.0071	668	2651	117	185	119	0.575374
0.00771	706	3333	117	223	125	0.523023
0.00773	718	3563	117	230	125	0.471697
0.00775	718	3567	117	230	125	0.429894
0.00835	732	4025	117	240	135	0.406327
0.00837	749	4666	116	246	139	0.346075
0.00839	753	4715	116	249	140	0.357444
0.00841	753	4717	116	249	140	0.371635
0.0088	754	4721	116	249	141	0.382378
0.009	766	5411	111	263	145	0.165031
0.00902	779	5982	111	273	149	0.160151
0.00904	781	6081	112	273	149	0.187175
0.00906	784	6084	113	274	149	0.216613
0.00946	784	6085	113	274	149	0.216776
0.00948	784	6090	113	274	149	0.228234
0.0095	784	6091	113	274	149	0.239672
0.00964	799	6381	116	277	149	0.394005
0.00966	825	7622	116	291	151	0.384624
0.00968	828	7862	117	291	151	0.436643
0.0097	828	7877	117	291	151	0.427693
0.00972	828	7878	117	291	151	0.421795
0.01016	828	7880	117	291	151	0.425393
0.01018	828	7883	117	291	151	0.429844
0.01029	837	8307	121	292	151	0.713178
0.01031	857	9608	119	301	154	0.567601
0.01033	866	9940	121	302	154	0.707946
0.01035	868	9982	122	302	154	0.772281
0.01037	868	9983	122	302	154	0.769628
0.01059	869	9984	122	302	154	0.772362
0.01083	870	9986	122	302	154	0.773306
0.01085	870	9991	122	302	154	0.775068
0.01094	880	10629	124	308	155	0.882441
0.01096	897	12033	126	311	158	0.949549
0.01098	903	12396	128	312	158	0.974766
0.011	903	12431	128	312	158	0.973454
0.01102	903	12439	128	312	158	0.974648
0.01105	903	12440	128	312	158	0.974039
0.01128	903	12441	128	312	158	0.974039
0.0115	903	12445	125	312	158	0.920683
0.01152	903	12448	125	312	158	0.923928
0.01154	903	12453	125	312	158	0.911244
0.01158	906	12583	126	313	158	0.92338
0.0116	918	13976	126	316	158	0.903759
0.01162	925	14982	126	317	169	0.911374
0.01164	926	15227	126	317	170	0.921675
0.01166	926	15261	126	317	170	0.932894
0.01168	926	15264	126	317	170	0.946383
0.0117	926	15265	126	317	170	0.947505
0.01218	926	15267	125	317	170	0.925461
0.01221	926	15273	125	317	170	0.931849
0.01223	926	15466	125	317	170	0.939834
0.01225	943	17048	127	324	170	0.982801
0.01227	958	18199	132	325	170	0.995145
0.01229	961	18437	132	327	170	0.989157
0.01231	961	18490	132	327	170	0.983262
0.01233	961	18503	131	327	170	0.982193
0.01235	961	18504	131	327	170	0.982577
0.01243	962	18505	131	327	170	0.987222
0.01287	963	18512	131	328	170	0.989038
0.01289	972	19197	134	329	170	0.989599
0.01291	986	21094	135	333	170	0.98464
0.01293	998	21987	131	335	172	0.98216
0.01295	1000	22127	132	335	172	0.980468
0.01297	1003	22175	133	335	172	0.979276
0.01299	1003	22190	133	335	172	0.981117
0.01301	1003	22192	133	335	172	0.982628
0.01353	1004	22328	133	335	172	0.984139
0.01355	1012	23724	134	336	172	0.984326
0.01357	1021	25358	130	337	172	0.98264
0.01359	1024	26079	130	337	172	0.981506
0.01361	1024	26233	130	337	172	0.980376
0.01363	1024	26264	130	337	172	0.979813
0.01366	1024	26272	130	337	172	0.979813
0.01368	1024	26275	130	337	172	0.979813
0.01371	1024	26276	130	337	172	0.979096
0.01418	1025	26363	130	337	172	0.979873
0.0142	1032	27502	130	337	172	0.980651
0.01422	1045	29404	127	338	173	0.967605
0.01424	1053	30381	126	340	173	0.949791
0.01426	1054	30581	126	340	173	0.949206
0.01428	1056	30664	126	340	173	0.948623
0.0143	1056	30690	126	340	173	0.947505
0.01432	1056	30697	126	340	173	0.947505
0.01435	1056	30698	126	340	173	0.948994
0.01438	1056	30699	126	340	173	0.950483
0.01483	1056	30758	126	340	173	0.952716
0.01485	1062	31688	126	342	173	0.952337
0.01487	1071	33584	125	342	173	0.924325
0.01489	1075	34828	123	343	173	0.832416
0.01491	1079	35192	123	343	173	0.830747
0.01493	1080	35348	123	343	173	0.830192
0.01495	1083	35390	124	343	173	0.627373
0.01497	1083	35399	124	343	173	0.374243
0.01499	1084	35403	124	343	173	0
