Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	12	6	6	2	2	0
0.00065	114	66	50	5	4	0
0.00129	220	152	93	10	5	0
0.00193	309	250	119	14	7	0.678439
0.00257	422	416	150	25	15	1.00609
0.00321	511	590	172	39	16	0.925192
0.00323	512	591	172	39	16	0.824345
0.00385	647	855	198	63	19	1.04996
0.00387	647	864	196	63	19	0.473633
0.00449	761	1196	206	87	34	0.657735
0.00451	782	1239	214	87	34	0.39403
0.00513	874	1678	214	116	51	0.265527
0.00515	893	1738	219	121	52	0.0919974
0.00577	946	2063	212	132	106	0.209193
0.00579	989	2353	215	139	119	0.451897
0.00581	989	2357	215	139	119	0.738184
0.00642	1075	3007	210	194	164	1.19713
0.00644	1084	3124	208	218	166	1.22602
0.00646	1084	3126	208	218	166	1.22558
0.00706	1136	3725	203	246	178	1.12534
0.00708	1174	4175	208	260	181	1.07967
0.0071	1174	4186	208	260	181	1.12381
0.00712	1174	4187	208	260	181	1.18642
0.00716	1175	4188	208	261	181	1.26286
0.00771	1264	5267	214	318	194	1.21837
0.00773	1282	5626	212	331	196	1.12229
0.00775	1287	5637	214	331	197	1.04329
0.00835	1324	6370	212	352	208	0.963858
0.00837	1370	7400	208	366	222	0.988072
0.00839	1379	7474	209	370	223	1.05405
0.00841	1379	7478	209	370	223	1.11787
0.009	1430	8657	203	408	235	1.09339
0.00902	1449	9625	195	444	244	0.811363
0.00904	1459	9784	197	447	245	0.891881
0.00906	1460	9789	197	448	245	0.885706
0.00964	1481	10288	199	464	247	0.943247
0.00966	1546	12348	200	502	257	0.938849
0.00968	1549	12778	200	502	258	0.908784
0.0097	1549	12808	200	502	258	0.894637
0.00972	1549	12809	200	502	258	0.902249
0.01029	1564	13523	202	507	261	0.978901
0.01031	1608	15818	199	537	270	0.897476
0.01033	1623	16389	201	546	270	0.938289
0.01035	1626	16471	202	546	270	0.95276
0.01037	1626	16478	202	546	270	0.970856
0.01044	1626	16479	202	546	270	1.00172
0.01093	1633	16645	202	554	270	1.02567
0.01095	1671	19089	202	590	275	1.00149
0.01097	1687	20675	203	599	278	0.992228
0.01099	1689	20902	203	600	278	0.963316
0.01101	1693	20974	204	600	278	0.956073
0.01103	1693	20985	204	600	278	0.956387
0.01105	1693	20986	204	600	278	0.97056
0.01109	1693	20987	204	600	278	0.946905
0.01158	1697	21239	204	603	278	0.918985
0.0116	1738	23940	201	633	286	0.814111
0.01162	1752	25804	197	642	310	0.701032
0.01164	1757	26348	197	645	311	0.717743
0.01166	1758	26418	197	645	311	0.736993
0.01168	1758	26426	197	645	311	0.768712
0.0117	1758	26427	197	645	311	0.785304
0.01174	1758	26432	197	645	311	0.809493
0.01223	1762	26837	196	648	311	0.792336
0.01225	1797	29932	199	664	311	0.902091
0.01227	1833	32304	205	676	313	1.01313
0.01229	1839	32801	205	680	313	0.992341
0.01231	1839	32915	205	680	313	0.973991
0.01233	1839	32948	204	680	313	0.955314
0.01235	1839	32953	204	680	313	0.952731
0.0124	1839	32960	204	680	313	0.95344
0.01242	1839	32962	204	680	313	0.965293
0.01245	1839	32963	204	680	313	0.975212
0.01288	1847	33263	206	683	314	1.00535
0.0129	1866	36326	206	696	314	0.996923
0.01292	1889	39601	198	707	320	0.823369
0.01294	1897	40398	197	710	320	0.776329
0.01296	1900	40639	197	710	320	0.767648
0.01298	1900	40696	197	710	320	0.767214
0.013	1900	40710	197	710	320	0.771124
0.01307	1900	40713	197	710	320	0.777932
0.01309	1900	40715	197	710	320	0.796743
0.01353	1901	41035	196	717	320	0.76502
0.01355	1927	44287	194	725	323	0.687733
0.01357	1946	47949	187	742	324	0.392472
0.01359	1955	49653	187	744	325	0.379366
0.01361	1958	49986	188	745	325	0.404824
0.01363	1960	50054	188	745	325	0.395634
0.01365	1960	50073	188	745	325	0.395216
0.01368	1960	50077	188	745	325	0.396197
0.01371	1960	50083	188	745	325	0.398861
0.01373	1960	50093	188	745	325	0.400281
0.01418	1963	50312	188	747	325	0.403599
0.0142	1977	53209	187	753	327	0.367691
0.01422	1991	57840	182	756	329	0.224551
0.01424	1997	60106	180	762	329	0.174962
0.01426	2002	60616	179	762	330	0.15412
0.01428	2005	60817	179	762	330	0.152914
0.0143	2005	60864	179	762	330	0.150784
0.01432	2005	60879	179	762	330	0.152116
0.01435	2006	60881	179	762	330	0.152116
0.01437	2006	60888	179	762	330	0.152116
0.01439	2006	60902	179	762	330	0.152171
0.01441	2006	60906	179	762	330	0.1573
0.01483	2006	61099	179	762	330	0.163186
0.01485	2020	63708	177	769	333	0.137137
0.01487	2040	68704	173	778	334	0.0886867
0.01489	2048	71804	172	779	334	0.0780379
0.01491	2051	72751	171	780	334	0.0670183
0.01493	2051	73142	170	783	334	-0.534047
0.01495	2054	73250	171	783	334	-1.11457
0.01497	2054	73274	171	783	334	0
