Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	37	28	16	4	4	0
0.00045	40	31	17	4	4	0
0.00089	44	34	18	4	4	0
0.00096	70	69	24	7	6	0
0.00144	73	70	25	7	6	0
0.00176	73	71	25	7	6	0
0.00191	94	124	25	15	10	0
0.00201	94	125	25	15	10	0
0.00239	96	126	26	15	10	0
0.00249	98	127	27	15	10	0
0.00255	100	128	28	15	10	1.39612
0.00267	102	129	29	15	10	1.38997
0.00273	102	130	29	15	10	1.38534
0.00286	114	200	26	38	10	1.01461
0.00288	115	204	26	39	10	0.928174
0.00299	119	207	27	40	10	1.07674
0.00301	119	211	27	40	10	1.02283
0.00316	119	212	27	40	10	0.982512
0.00334	120	222	27	41	10	0.947093
0.0035	121	225	26	43	10	0.697081
0.00352	122	227	26	43	10	0.669371
0.00381	132	322	19	60	25	-0.0781166
0.00383	134	344	19	62	25	-0.0806156
0.00397	134	347	19	62	25	-0.0827618
0.00399	134	350	19	62	25	-0.0750732
0.00403	134	354	19	62	25	-0.0663499
0.00429	134	367	19	62	25	-0.0583356
0.00431	134	368	19	62	25	-0.0496044
0.00439	134	372	19	62	25	-0.0400555
0.00445	134	377	19	62	25	-0.0285944
0.00448	134	378	19	62	25	-0.0142664
0.00477	145	562	17	76	28	-0.00454698
0.00479	146	591	17	77	28	-0.00948997
0.00482	147	592	17	78	28	-0.014264
0.00497	147	594	17	78	28	-0.0186448
0.00499	147	595	17	78	28	-0.0225371
0.00501	148	599	16	78	31	-0.0234914
0.00503	148	604	16	78	31	-0.0241803
0.00525	148	617	16	78	31	-0.0248676
0.00527	149	626	16	79	31	-0.025829
0.00531	149	627	16	79	31	-0.0267858
0.00534	149	628	16	79	31	-0.0277381
0.00541	149	630	16	79	31	-0.0268892
0.00555	149	631	16	79	31	-0.0257514
0.00571	150	671	16	80	31	-0.0248601
0.00573	159	860	17	84	32	-0.0244477
0.00575	159	896	16	84	34	-0.0219046
0.00577	159	899	16	84	34	-0.0212634
0.00579	159	901	16	84	34	-0.0206201
0.0059	160	902	16	85	34	-0.0204873
0.00596	160	909	16	85	34	-0.0200881
0.00598	160	918	16	85	34	-0.0196875
0.006	160	919	16	85	34	-0.0187429
0.00602	160	926	16	85	34	-0.0177949
0.00604	160	934	16	85	34	-0.0168436
0.00614	160	939	16	85	34	-0.0148715
0.00616	160	947	16	85	34	0.0878679
0.00618	160	950	16	85	34	0.189996
0.00621	160	964	16	85	34	0.291906
0.00623	160	970	16	85	34	0.393597
0.00625	160	973	16	85	34	0.495868
0.00636	160	976	16	85	34	0.598139
0.00655	160	977	15	87	34	0.697728
0.00658	160	979	15	87	34	0.797
0.0066	160	980	15	87	34	0.90047
0.00668	170	1176	14	95	36	1.00003
0.0067	173	1317	13	134	10	0.652678
0.00672	174	1348	13	135	10	0.456017
0.00674	174	1357	13	135	10	0.330615
0.00685	175	1360	13	135	10	0.243683
