Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	16	8	8	2	2	0
0.00216	18	10	9	2	2	0
0.00223	21	12	10	3	2	0
0.0043	38	21	18	3	3	0
0.00432	44	26	21	3	3	0
0.00434	47	27	22	3	3	0
0.0045	49	28	23	3	3	0
0.0048	51	29	24	3	3	0
0.00645	57	32	27	3	3	0
0.00648	61	34	29	3	3	0
0.00861	69	38	33	3	3	0
0.00863	75	41	36	3	3	0
0.00865	81	45	39	3	3	0
0.00938	83	46	40	3	3	0
0.00951	85	47	41	3	3	0
0.01078	89	49	43	3	3	0
0.0108	93	51	45	3	3	0
0.01082	95	52	46	3	3	0
0.01085	97	53	47	3	3	0
0.01186	99	54	48	3	3	0
0.01294	103	56	50	3	3	0
0.01298	105	57	51	3	3	0
0.01301	105	58	51	3	3	0
0.01303	110	60	53	3	3	0
0.01314	112	61	54	3	3	0
0.01318	114	62	55	3	3	0
0.01367	116	63	56	3	3	0
0.01371	118	64	57	3	3	0
0.01513	118	65	57	3	3	0.00118103
0.01515	120	67	57	4	3	0.00072921
0.01517	124	69	59	4	3	0.000292561
0.01519	124	70	59	4	3	0.000157215
0.01521	128	72	61	4	3	-0.000619409
0.01523	130	73	62	4	3	-0.00112106
0.01529	132	74	63	4	3	-0.00161078
0.0158	134	75	64	4	3	-0.00208868
0.01729	136	76	65	4	3	-0.0028071
0.01731	138	77	66	4	3	-0.00330883
0.01735	144	81	68	4	3	-0.00378215
0.01739	148	83	70	4	3	-0.0042321
0.01744	150	84	71	4	3	-0.00468622
0.01748	152	85	72	4	3	-0.00512497
0.01773	154	86	73	4	3	-0.00554743
0.01777	156	87	74	4	3	-0.00576448
0.01801	158	88	75	4	3	-0.00540782
0.01949	158	89	75	4	3	-0.00511564
0.01951	159	90	75	4	3	-0.00482903
0.01953	164	93	77	4	3	-0.00439105
0.01955	166	95	78	4	3	-0.00401143
0.0198	170	97	80	4	3	-0.00346396
0.01994	172	98	81	4	3	-0.00351773
0.02011	172	99	81	4	3	-0.0037501
0.02172	174	101	82	4	3	-0.00375729
0.02175	180	104	85	4	3	-0.0030021
0.02178	184	106	87	4	3	-0.00181927
0.02185	186	107	88	4	3	-0.00099159
0.02187	186	108	88	4	3	-0.000853133
0.02197	189	109	89	4	3	0.000230336
0.0239	192	111	90	4	3	0.00201872
0.02393	195	114	90	4	4	0.00339887
0.02395	197	115	91	4	4	0.00601205
0.02397	199	119	91	5	4	0.00696894
0.02403	202	121	92	5	4	0.00938896
0.02407	206	124	93	5	4	0.0121146
0.0241	208	126	93	5	5	0.013579
0.02417	211	128	94	6	5	0.016785
0.02611	214	130	95	6	5	0.0204354
0.02613	216	132	96	6	5	0.0249885
0.02616	220	134	98	6	5	0.0347771
0.0262	222	136	99	6	5	0.0422643
0.02623	222	138	99	6	5	0.0445156
0.02627	226	141	100	7	5	0.0531427
0.02631	228	145	99	10	5	0.0474258
0.02636	230	146	100	10	5	0.0545975
0.02691	232	147	101	10	5	0.0630335
0.02721	234	148	102	10	5	0.0729782
0.02739	234	149	102	10	5	0.0736224
0.02745	235	150	102	10	5	0.0742456
0.02836	236	153	101	10	7	0.0668457
0.02838	239	154	102	10	7	0.0779936
0.02844	245	159	105	10	7	0.11992
0.02846	245	162	105	10	7	0.121773
0.02849	251	166	106	13	7	0.141253
0.02852	253	167	107	13	7	0.164093
0.02854	253	168	107	13	7	0.164869
0.02864	254	169	107	14	7	0.16582
