Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	20	10	10	2	2	0
0.00179	42	21	21	2	2	0
0.00357	67	34	33	3	2	0
0.00359	69	35	34	3	2	0
0.00535	80	42	38	5	3	0
0.00537	84	47	39	5	4	0
0.00541	86	48	40	5	4	0
0.00714	101	57	47	5	4	-0.0525148
0.00716	113	65	53	5	4	-0.0763257
0.00719	115	66	54	5	4	-0.0990478
0.00893	125	71	59	5	4	-0.0763153
0.00895	129	74	61	5	4	-0.0524936
0.00897	134	78	63	5	4	-0.0101457
0.009	134	79	63	5	4	-0.0101457
0.00902	136	81	64	5	4	-0.0101372
0.01074	141	85	66	5	4	-0.0101132
0.01076	151	93	70	5	4	-0.0100179
0.01078	153	95	71	5	4	-0.0099777
0.0108	156	97	72	5	4	-0.00992755
0.01082	156	98	72	5	4	-0.00992755
0.01088	159	99	73	5	4	-0.00986498
0.01127	161	100	74	5	4	-0.00978693
0.01254	168	104	77	5	4	-0.00941657
0.01257	174	108	80	5	4	-0.00869773
0.01259	179	112	82	5	4	-0.00787358
0.01261	181	114	83	5	4	-0.00730322
0.01263	181	115	83	5	4	-0.00730322
0.01269	183	116	84	5	4	-0.00659208
0.01435	201	126	92	5	4	0.0107003
0.01437	205	128	94	5	4	0.0221321
0.01439	211	131	97	5	4	0.0516145
0.01441	213	132	98	5	4	0.0360773
0.01444	217	135	100	5	4	0.0458487
0.01456	220	136	101	5	4	0.0422976
0.01614	223	139	102	5	4	0.0442276
0.01616	225	141	103	5	4	0.0524353
0.01618	229	144	105	5	4	0.120713
0.01621	231	146	106	5	4	0.151369
0.01628	233	147	106	5	5	0.173079
0.01631	233	149	106	5	5	0.195932
0.01798	236	151	107	5	5	0.28849
0.018	238	152	108	5	5	0.38895
0.01802	240	155	109	5	5	0.495465
0.01805	241	157	109	5	5	0.523926
0.01808	241	158	109	5	5	0.554112
0.01813	243	159	110	5	5	0.667398
0.0198	245	160	111	5	5	0.746207
0.01984	248	163	112	5	5	0.818095
0.01988	248	166	111	5	5	0.746207
0.01994	250	168	111	5	5	0.776447
0.01999	250	170	111	5	5	0.806687
0.02003	253	171	112	5	5	0.908814
0.02013	255	172	113	5	5	0.999769
0.02161	255	173	113	5	5	1.02497
0.02166	263	179	116	5	5	1.14718
0.02168	264	180	116	5	5	1.17238
0.0217	266	183	116	6	5	1.16144
0.02174	268	185	117	6	5	1.18415
0.02177	270	187	118	6	5	1.20067
0.02181	270	188	118	6	5	1.25884
0.02184	270	190	117	7	6	1.32051
0.02193	270	191	117	7	6	1.47166
0.02343	272	192	118	7	6	1.64263
0.02345	273	194	118	8	6	1.77172
0.02347	278	198	120	9	6	1.87973
0.02349	279	199	120	9	6	1.98021
0.02351	283	204	121	11	6	1.99069
0.02354	283	208	121	11	6	2
0.02357	285	212	120	15	6	1.91072
0.02359	287	214	120	16	6	1.80204
0.02366	290	215	121	17	6	1.72061
0.02371	290	216	121	17	6	1.67093
0.02384	290	217	121	17	6	1.65482
0.02529	291	219	121	18	6	1.62683
0.02532	293	221	121	18	6	1.6286
0.02534	295	227	120	23	6	1.52702
0.02536	302	231	123	23	6	1.49009
0.02538	303	237	122	26	6	1.42249
0.02541	303	240	122	26	6	1.37142
0.02543	304	241	122	27	6	1.33129
0.02545	305	245	122	28	6	1.30102
0.02547	307	247	122	28	6	1.32337
0.02549	307	249	122	28	6	1.34937
0.02557	310	251	123	29	6	1.39981
0.02624	311	252	123	30	6	1.44069
0.02636	311	253	123	30	6	1.49197
0.02712	312	255	122	33	6	1.51405
0.02714	314	264	121	36	6	1.52374
0.02717	316	275	119	43	6	1.46619
0.02719	317	278	118	44	6	1.40429
0.02721	319	284	118	45	6	1.34827
0.02723	321	292	118	46	6	1.2945
0.02725	330	305	117	52	7	1.25813
0.02727	334	312	117	54	7	1.23077
0.02729	336	320	116	58	7	1.18355
0.02732	338	328	116	59	7	1.15323
0.02735	338	333	116	59	7	1.14766
0.02738	340	336	116	61	7	1.13465
0.0274	341	340	116	61	7	1.06687
0.02742	341	341	116	61	7	1.01256
0.02755	341	342	115	66	7	0.879451
0.02761	341	343	115	66	7	0.781143
0.02811	341	345	115	66	7	0.691852
0.02818	343	348	116	66	7	0.631946
0.02886	343	349	116	66	7	0.558272
0.02896	343	352	113	69	11	0.475845
0.02898	346	366	111	74	11	0.347428
0.029	350	380	109	81	17	0.250562
0.02903	354	402	108	87	17	0.234705
0.02905	358	416	108	90	18	0.312588
0.02907	361	434	107	97	18	0.31506
0.02909	364	451	107	100	18	0.397843
0.02911	366	460	106	105	18	0.412103
0.02915	371	482	108	106	18	0.563928
0.02917	373	492	108	108	18	0.579638
0.02919	375	495	108	109	19	0.559222
0.02921	375	496	108	109	19	0.548212
0.02923	375	504	107	111	19	0.454417
0.02926	375	505	107	111	19	0.445235
0.02928	375	506	107	111	19	0.433686
0.02933	375	508	107	111	19	0.422783
0.02937	376	509	107	112	19	0.413052
0.02945	376	511	107	112	19	0.401623
0.03001	376	513	107	112	19	0.375022
0.03006	376	514	107	112	19	0.349673
0.03016	376	515	107	112	19	0.319614
0.03081	378	519	107	113	20	0.306701
0.03083	381	535	107	114	21	0.2964
0.03085	383	541	107	116	21	0.288089
0.03087	386	567	107	118	22	0.294792
0.03089	392	584	108	120	24	0.3941
0.03091	393	597	108	121	24	0.420251
0.03093	400	632	109	124	26	0.542191
0.03095	404	648	108	130	26	0.495656
0.03097	406	664	107	132	28	0.464719
0.03099	411	693	106	139	28	0.42164
0.03101	413	711	104	146	28	0.321711
0.03104	413	714	104	146	28	0.331354
0.03106	414	723	103	149	28	0.278926
0.03108	417	732	104	150	28	0.316636
0.0311	418	734	104	151	28	0.299585
0.03114	418	736	104	151	28	0.289106
0.03116	418	742	104	151	28	0.271464
0.03118	418	748	104	151	28	0.260612
0.03122	418	749	104	151	28	0.256154
0.03124	418	750	104	151	28	0.251733
0.03127	418	753	104	151	28	0.249975
0.03133	418	754	104	151	28	0.249098
0.03141	418	756	104	151	28	0.250099
0.03179	418	759	104	151	28	0.252102
0.03182	419	760	104	151	28	0.255106
0.03187	419	761	104	151	28	0.261114
0.0319	419	763	104	151	28	0.246701
0.03199	419	764	104	151	28	0.229089
0.03266	419	767	104	151	28	0.21725
0.03268	420	784	104	152	28	0.201194
