ID1,ID2,Distance
ON736711.1,ON736709.1,0.0354155
ON736725.1,ON736722.1,0.0398851
ON736711.1,ON736708.1,0.034836
ON736739.1,ON736730.1,0.0328279
ON736698.1,ON736692.1,0.0370885
ON736725.1,ON736719.1,0.0327641
ON736711.1,ON736705.1,0.0230475
ON736686.1,ON736685.1,0.0381709
ON736739.1,ON736725.1,0.0364449
ON736711.1,ON736704.1,0.0366639
ON736698.1,ON736689.1,0.0363223
ON736725.1,ON736716.1,0.0354009
ON736674.1,ON736673.1,0.0389764
ON736643.1,ON736636.1,0.0362866
ON736634.1,ON736633.1,0.020765
ON736653.1,ON736639.1,0.0381307
ON736698.1,ON736688.1,0.029176
ON736711.1,ON736702.1,0.0293487
ON736739.1,ON736720.1,0.0184102
ON736725.1,ON736711.1,0.0284636
ON736686.1,ON736678.1,0.0305989
ON736674.1,ON736672.1,0.0284265
ON736643.1,ON736635.1,0.0261575
ON736698.1,ON736687.1,0.0318299
ON736739.1,ON736719.1,0.0392654
ON736711.1,ON736700.1,0.0329642
ON736725.1,ON736708.1,0.0371096
ON736643.1,ON736634.1,0.0235584
ON736686.1,ON736675.1,0.0327962
ON736698.1,ON736685.1,0.0309172
ON736711.1,ON736698.1,0.032081
ON736643.1,ON736633.1,0.0195835
ON736686.1,ON736674.1,0.0398915
ON736739.1,ON736716.1,0.039219
ON736725.1,ON736705.1,0.0300478
ON736711.1,ON736697.1,0.0322212
ON736634.1,ON736624.1,0.0394118
ON736686.1,ON736672.1,0.0336975
ON736711.1,ON736695.1,0.0338474
ON736725.1,ON736702.1,0.0345928
ON736711.1,ON736694.1,0.036719
ON736739.1,ON736711.1,0.0338699
ON736698.1,ON736678.1,0.0358163
ON736711.1,ON736693.1,0.0281561
ON736634.1,ON736622.1,0.0362695
ON736643.1,ON736626.1,0.0375176
ON736711.1,ON736692.1,0.0257061
ON736725.1,ON736698.1,0.034508
ON736674.1,ON736666.1,0.0354311
ON736643.1,ON736625.1,0.0388236
ON736634.1,ON736621.1,0.0391339
ON736698.1,ON736674.1,0.0399146
ON736686.1,ON736664.1,0.0368532
ON736711.1,ON736689.1,0.0266788
ON736643.1,ON736624.1,0.0373979
ON736739.1,ON736704.1,0.0319544
ON736725.1,ON736693.1,0.0387096
ON736653.1,ON736611.1,0.0358549
ON736711.1,ON736688.1,0.0257101
ON736698.1,ON736672.1,0.0318116
ON736674.1,ON736664.1,0.0235373
ON736634.1,ON736619.1,0.0352875
ON736643.1,ON736622.1,0.0291171
ON736725.1,ON736692.1,0.036221
ON736653.1,ON736610.1,0.0345272
ON736686.1,ON736660.1,0.0257181
ON736711.1,ON736687.1,0.0189889
ON736698.1,ON736670.1,0.0326412
ON736643.1,ON736621.1,0.0362082
ON736634.1,ON736618.1,0.0352472
ON736711.1,ON736686.1,0.0239297
ON736739.1,ON736695.1,0.0301401
ON736725.1,ON736689.1,0.0274367
ON736686.1,ON736657.1,0.0381553
ON736643.1,ON736619.1,0.0362997
ON736711.1,ON736685.1,0.0221292
ON736725.1,ON736688.1,0.0309365
ON736698.1,ON736666.1,0.0318587
ON736643.1,ON736618.1,0.0362705
ON736686.1,ON736655.1,0.0340384
ON736674.1,ON736660.1,0.0363187
ON736725.1,ON736687.1,0.0285864
ON736634.1,ON736615.1,0.0381795
ON736698.1,ON736664.1,0.0278768
ON736711.1,ON736682.1,0.0349157
ON736686.1,ON736654.1,0.0275587
ON736643.1,ON736615.1,0.0339984
ON736725.1,ON736686.1,0.0389925
ON736739.1,ON736688.1,0.0337217
ON736674.1,ON736658.1,0.0389456
ON736643.1,ON736614.1,0.038972
ON736725.1,ON736685.1,0.0291932
ON736739.1,ON736687.1,0.037843
ON736634.1,ON736613.1,0.0253596
ON736698.1,ON736660.1,0.0344823
ON736711.1,ON736678.1,0.0120413
ON736643.1,ON736613.1,0.0202048
ON736686.1,ON736648.1,0.0399332
ON736674.1,ON736657.1,0.0327939
ON736739.1,ON736685.1,0.0282223
ON736698.1,ON736658.1,0.0398398
ON736634.1,ON736612.1,0.0276075
ON736686.1,ON736647.1,0.0386146
ON736643.1,ON736612.1,0.0222978
ON736711.1,ON736675.1,0.0193753
ON736698.1,ON736657.1,0.0309622
ON736653.1,ON736581.1,0.0337572
ON736725.1,ON736678.1,0.0323011
ON736711.1,ON736674.1,0.0312448
ON736674.1,ON736655.1,0.0323487
ON736686.1,ON736645.1,0.0398994
ON736698.1,ON736655.1,0.0295885
ON736643.1,ON736609.1,0.0398309
ON736711.1,ON736673.1,0.0366944
ON736725.1,ON736675.1,0.0381109
ON736698.1,ON736654.1,0.0371544
ON736686.1,ON736643.1,0.0291974
ON736711.1,ON736672.1,0.0194426
ON736643.1,ON736607.1,0.0282787
ON736725.1,ON736674.1,0.0327205
ON736634.1,ON736607.1,0.0322592
ON736711.1,ON736670.1,0.0348859
ON736725.1,ON736673.1,0.0398568
ON736739.1,ON736672.1,0.0336884
ON736643.1,ON736604.1,0.0336096
ON736711.1,ON736669.1,0.0367146
ON736698.1,ON736648.1,0.0363205
ON736725.1,ON736672.1,0.0309438
ON736711.1,ON736668.1,0.037166
ON736698.1,ON736647.1,0.0256607
ON736643.1,ON736602.1,0.0362432
ON736686.1,ON736635.1,0.0279218
ON736739.1,ON736666.1,0.039169
ON736674.1,ON736647.1,0.0335015
ON736634.1,ON736599.1,0.032408
ON736653.1,ON736552.1,0.0317918
ON736686.1,ON736634.1,0.025535
ON736711.1,ON736666.1,0.0293734
ON736698.1,ON736645.1,0.0345541
ON736725.1,ON736669.1,0.0371123
ON736643.1,ON736599.1,0.030118
ON736739.1,ON736664.1,0.0360174
ON736686.1,ON736633.1,0.0230701
ON736653.1,ON736549.1,0.0389408
ON736634.1,ON736597.1,0.0236336
ON736698.1,ON736643.1,0.0353578
ON736711.1,ON736664.1,0.024404
ON736674.1,ON736645.1,0.0354451
ON736643.1,ON736597.1,0.0265804
ON736725.1,ON736666.1,0.0309748
ON736739.1,ON736657.1,0.0364142
ON736725.1,ON736664.1,0.0252493
ON736711.1,ON736660.1,0.0158131
ON736674.1,ON736643.1,0.0380428
ON736711.1,ON736659.1,0.0366936
ON736739.1,ON736655.1,0.0305586
ON736698.1,ON736636.1,0.0380931
ON736686.1,ON736624.1,0.0394035
ON736711.1,ON736658.1,0.0376161
ON736725.1,ON736660.1,0.0274025
ON736698.1,ON736634.1,0.0372199
ON736711.1,ON736657.1,0.0257792
ON736653.1,ON736533.1,0.0252265
ON736698.1,ON736633.1,0.0327292
ON736725.1,ON736658.1,0.0371762
ON736711.1,ON736655.1,0.0234932
ON736643.1,ON736585.1,0.0320412
ON736725.1,ON736657.1,0.0240168
