ID1,ID2,Distance
JX498971.1,JX499001.1,0.0298903
JX498971.1,MG434835.1,0.0344177
MG435114.1,MG435133.1,0.0372735
JX498971.1,MG434920.1,0.0390723
MG435358.1,MG435409.1,0.0346961
JX498971.1,MG434946.1,0.034405
JX498971.1,MG434963.1,0.0376493
JX498971.1,MG434984.1,0.0375852
MG435114.1,MG435205.1,0.0287338
JX498971.1,MG435084.1,0.0363854
MG434937.1,MG435133.1,0.0324815
MG435114.1,MG435251.1,0.0376729
MG435114.1,MG435258.1,0.0372226
JX498971.1,MG435133.1,0.0270877
MG435028.1,MG435254.1,0.0357653
JX498971.1,MG435205.1,0.0377083
MG435428.1,MG435534.1,0.0382439
MG435428.1,MG435549.1,0.0390279
MG435028.1,MG435403.1,0.0349096
MG435428.1,MG435568.1,0.0381928
JX498971.1,MG435494.1,0.0390577
JX498971.1,MG435621.1,0.0390213
MG435428.1,MG435612.1,0.0399333
MG435028.1,MG435540.1,0.038688
MG435428.1,MG435613.1,0.0399884
MG435028.1,MG435541.1,0.0392024
JX498971.1,MG435670.1,0.0243681
JX498971.1,MG435682.1,0.0395659
JX498971.1,MG435718.1,0.0390175
JX498971.1,MG435721.1,0.037713
MG435428.1,MG435638.1,0.0399497
JX498971.1,MG435855.1,0.0376561
MG435358.1,MG435922.1,0.038666
MG435028.1,MG435670.1,0.0386478
JX498971.1,MG435922.1,0.0362896
MG435428.1,MG435698.1,0.0390152
MG434937.1,MG435670.1,0.0337569
JX498971.1,MG436088.1,0.0382787
JX498971.1,MG436290.1,0.0363199
JX498971.1,MG436307.1,0.0377146
MG435428.1,MG435763.1,0.0390014
JX498971.1,MG436319.1,0.0390645
MG435428.1,MG435765.1,0.0373767
MG435114.1,MG435922.1,0.0378903
JX498971.1,MG436349.1,0.0398012
JX498971.1,MG436358.1,0.0362996
JX498971.1,MG436359.1,0.0322656
JX498971.1,MG436369.1,0.0389674
MG435274.1,MG436080.1,0.0166008
JX498971.1,MG436620.1,0.0285967
JX498971.1,MG436626.1,0.0376014
MG435114.1,MG436088.1,0.0374806
JX498971.1,MG436691.1,0.0363143
JX498971.1,MG436708.1,0.0298903
MG435358.1,MG436359.1,0.0390352
MG435358.1,MG436369.1,0.0382495
JX498971.1,MG436759.1,0.034926
MG435428.1,MG435938.1,0.0397731
MG435428.1,MG435947.1,0.0385823
MG435428.1,MG435955.1,0.0364507
MG435114.1,MG436349.1,0.0374212
MG435114.1,MG436369.1,0.036623
MG435275.1,MG435292.1,0.037878
MG435275.1,MG435295.1,0.0383401
MG435275.1,MG435300.1,0.03364
MG435275.1,MG435338.1,0.0366004
MG435275.1,MG435382.1,0.0361712
MG435428.1,MG435997.1,0.0384004
MG435275.1,MG435386.1,0.035389
MG435197.1,MG435205.1,0.0385118
MG434938.1,MG434940.1,0.0382831
MG435275.1,MG435392.1,0.0352891
MG434938.1,MG434949.1,0.0316087
MG435115.1,MG435133.1,0.0377231
MG435275.1,MG435408.1,0.0399701
MG434938.1,MG434972.1,0.027736
MG434938.1,MG434977.1,0.0397712
MG434938.1,MG434986.1,0.0370884
MG434938.1,MG434995.1,0.0315958
MG434938.1,MG435003.1,0.0364155
MG434938.1,MG435010.1,0.0306787
MG434938.1,MG435011.1,0.0343073
MG434938.1,MG435015.1,0.0378742
MG435197.1,MG435309.1,0.0374201
