ID1,ID2,Distance
KF857460.1,KF857459.1,0.013444
KF857450.1,KF857449.1,0.0134036
KF857441.1,KF857440.1,0.00858807
KF857419.1,KF857418.1,0.0163709
KF857411.1,KF857410.1,0.0173087
KF857460.1,KF857458.1,0.0134273
KF857381.1,KF857380.1,0.0124766
KF857450.1,KF857448.1,0.00955555
KF857403.1,KF857401.1,0.0134435
KF857388.1,KF857387.1,0.0134362
KF857395.1,KF857394.1,0.012477
KF857428.1,KF857427.1,0.00811093
KF857441.1,KF857439.1,0.0174591
KF857419.1,KF857417.1,0.0251793
KF857411.1,KF857409.1,0.00955556
KF857460.1,KF857457.1,0.0134368
KF857450.1,KF857447.1,0.0172937
KF857381.1,KF857379.1,0.0115045
KF857403.1,KF857400.1,0.0173196
KF857388.1,KF857386.1,0.0154194
KF857395.1,KF857393.1,0.00477633
KF857428.1,KF857426.1,0.0173323
KF857441.1,KF857438.1,0.0222432
KF857419.1,KF857416.1,0.0173351
KF857411.1,KF857408.1,0.0173466
KF857460.1,KF857456.1,0.0183058
KF857450.1,KF857446.1,0.015384
KF857381.1,KF857378.1,0.00667638
KF857403.1,KF857399.1,0.0163695
KF857388.1,KF857385.1,0.0153803
KF857395.1,KF857392.1,0.0115049
KF857428.1,KF857425.1,0.0153732
KF857441.1,KF857437.1,0.0183226
KF857419.1,KF857415.1,0.0192476
KF857411.1,KF857407.1,0.0163673
KF857460.1,KF857455.1,0.0134367
KF857450.1,KF857445.1,0.0173546
KF857381.1,KF857377.1,0.00958735
KF857403.1,KF857398.1,0.0143814
KF857395.1,KF857391.1,0.00859531
KF857388.1,KF857384.1,0.0173027
KF857428.1,KF857424.1,0.0115021
KF857441.1,KF857432.1,0.015404
KF857419.1,KF857414.1,0.0212366
KF857411.1,KF857406.1,0.0173147
KF857460.1,KF857454.1,0.0144236
KF857450.1,KF857444.1,0.0182965
KF857381.1,KF857376.1,0.00475905
KF857395.1,KF857390.1,0.00574175
KF857403.1,KF857397.1,0.00766354
KF857388.1,KF857383.1,0.0124871
KF857428.1,KF857423.1,0.00859946
KF857441.1,KF857431.1,0.00667839
KF857419.1,KF857413.1,0.0219194
KF857411.1,KF857405.1,0.0066705
KF857460.1,KF857453.1,0.0193187
KF857450.1,KF857443.1,0.0114839
KF857395.1,KF857389.1,0.0105361
KF857381.1,KF857375.1,0.00189791
KF857388.1,KF857382.1,0.00571792
KF857403.1,KF857396.1,0.0114939
KF857428.1,KF857422.1,0.0105166
KF857441.1,KF857430.1,0.0163457
KF857419.1,KF857412.1,0.0212559
KF857411.1,KF857404.1,0.0124632
KF857460.1,KF857452.1,0.0193187
KF857450.1,KF857442.1,0.0212251
KF857395.1,KF857388.1,0.00764005
KF857388.1,KF857381.1,0.0115045
KF857381.1,KF857374.1,0.00956963
KF857428.1,KF857421.1,0.00859348
KF857403.1,KF857395.1,0.00669403
KF857441.1,KF857429.1,0.0183477
KF857419.1,KF857411.1,0.0202625
KF857411.1,KF857403.1,0.00570865
KF857460.1,KF857451.1,0.0203221
KF857450.1,KF857441.1,0.0182959
KF857395.1,KF857387.1,0.00571547
KF857388.1,KF857380.1,0.00475913
KF857428.1,KF857420.1,0.00763331
KF857381.1,KF857373.1,0.0144318
KF857441.1,KF857428.1,0.0143758
KF857403.1,KF857394.1,0.0153929
KF857419.1,KF857410.1,0.0202591
KF857411.1,KF857401.1,0.0134363
KF857460.1,KF857450.1,0.0163382
KF857450.1,KF857440.1,0.023218
KF857395.1,KF857386.1,0.00956273
KF857388.1,KF857379.1,0.00571777
KF857428.1,KF857419.1,0.0192652
KF857441.1,KF857427.1,0.0119642
KF857381.1,KF857372.1,0.0124634
KF857419.1,KF857409.1,0.0163254
KF857403.1,KF857393.1,0.00380569
KF857411.1,KF857400.1,0.0173145
KF857460.1,KF857449.1,0.0124796
KF857450.1,KF857439.1,0.0223898
KF857395.1,KF857385.1,0.0076261
KF857388.1,KF857378.1,0.0124779
KF857428.1,KF857418.1,0.00858861
KF857441.1,KF857426.1,0.022224
KF857419.1,KF857408.1,0.0242312
KF857381.1,KF857371.1,0.010562
KF857411.1,KF857399.1,0.0163555
KF857403.1,KF857392.1,0.0163768
KF857460.1,KF857448.1,0.0134369
KF857450.1,KF857438.1,0.0183166
KF857388.1,KF857377.1,0.0154081
KF857395.1,KF857384.1,0.0114722
KF857428.1,KF857417.1,0.0173192
KF857441.1,KF857425.1,0.0222319
KF857419.1,KF857407.1,0.0232343
KF857411.1,KF857398.1,0.0153457
KF857381.1,KF857370.1,0.0085933
KF857460.1,KF857447.1,0.0222209
KF857403.1,KF857391.1,0.0134267
KF857388.1,KF857376.1,0.0124769
KF857450.1,KF857437.1,0.0134379
KF857395.1,KF857383.1,0.00667642
KF857428.1,KF857416.1,0.0115188
KF857441.1,KF857424.1,0.0183477
KF857419.1,KF857406.1,0.0241889
KF857411.1,KF857397.1,0.00764433
KF857460.1,KF857446.1,0.01833
KF857381.1,KF857369.1,0.00764442
KF857388.1,KF857375.1,0.00956736
KF857403.1,KF857390.1,0.00476506
KF857450.1,KF857432.1,0.0076323
KF857395.1,KF857382.1,0.00957046
KF857428.1,KF857415.1,0.015355
KF857441.1,KF857423.1,0.0134369
KF857419.1,KF857405.1,0.0203116
KF857411.1,KF857396.1,0.0114937
KF857460.1,KF857445.1,0.0163508
KF857388.1,KF857374.1,0.0153852
KF857381.1,KF857368.1,0.00764442
KF857450.1,KF857431.1,0.0192875
KF857403.1,KF857389.1,0.0153933
KF857395.1,KF857381.1,0.00572563
KF857428.1,KF857414.1,0.0143997
KF857441.1,KF857422.1,0.0173303
KF857419.1,KF857404.1,0.0192852
KF857411.1,KF857395.1,0.00667825
KF857460.1,KF857444.1,0.019316
KF857388.1,KF857373.1,0.00667983
KF857450.1,KF857430.1,0.0192724
KF857381.1,KF857367.1,0.00572563
KF857395.1,KF857380.1,0.00860202
KF857403.1,KF857388.1,0.0124668
KF857428.1,KF857413.1,0.0101988
KF857441.1,KF857421.1,0.0134216
KF857419.1,KF857403.1,0.0202833
KF857411.1,KF857394.1,0.0173505
KF857460.1,KF857443.1,0.0163557
KF857388.1,KF857372.1,0.00475534
KF857450.1,KF857429.1,0.00955555
KF857395.1,KF857379.1,0.00956749
KF857381.1,KF857366.1,0.00572563
KF857428.1,KF857412.1,0.0134378
KF857403.1,KF857387.1,0.00859902
KF857441.1,KF857420.1,0.0144184
KF857419.1,KF857401.1,0.0183069
KF857411.1,KF857393.1,0.00380013
KF857460.1,KF857442.1,0.0202334
KF857388.1,KF857371.1,0.00669451
KF857450.1,KF857428.1,0.0114752
KF857395.1,KF857378.1,0.00667971
KF857428.1,KF857411.1,0.0105165
KF857381.1,KF857365.1,0.00669093
KF857441.1,KF857419.1,0.0182993
KF857403.1,KF857386.1,0.0143854
KF857419.1,KF857400.1,0.0241885
KF857411.1,KF857392.1,0.0163673
KF857460.1,KF857441.1,0.0173025
KF857388.1,KF857370.1,0.0105394
KF857450.1,KF857427.1,0.00810997
KF857395.1,KF857377.1,0.00961396
KF857428.1,KF857410.1,0.0163155
KF857441.1,KF857418.1,0.0134194
KF857381.1,KF857364.1,0.00572563
KF857419.1,KF857399.1,0.0232129
KF857411.1,KF857391.1,0.0134234
KF857403.1,KF857385.1,0.0143993
KF857460.1,KF857440.1,0.0222037
KF857388.1,KF857369.1,0.00955821
KF857450.1,KF857426.1,0.018297
KF857395.1,KF857376.1,0.00669105
KF857428.1,KF857409.1,0.00666942
KF857441.1,KF857417.1,0.0222032
KF857419.1,KF857398.1,0.0182778
KF857381.1,KF857363.1,0.0105433
KF857411.1,KF857390.1,0.00284747
KF857460.1,KF857439.1,0.0214449
KF857388.1,KF857368.1,0.00955821
KF857403.1,KF857384.1,0.0153613
KF857450.1,KF857425.1,0.0153596
KF857395.1,KF857375.1,0.00381439
KF857428.1,KF857408.1,0.0163755
KF857441.1,KF857416.1,0.0163933
KF857419.1,KF857397.1,0.0163494
KF857411.1,KF857389.1,0.0153875
KF857460.1,KF857438.1,0.0163674
KF857381.1,KF857362.1,0.00475191
KF857388.1,KF857367.1,0.00764005
KF857450.1,KF857424.1,0.00955555
KF857403.1,KF857383.1,0.011502
KF857395.1,KF857374.1,0.00959224
KF857428.1,KF857407.1,0.015391
KF857441.1,KF857415.1,0.0133945
KF857419.1,KF857396.1,0.0183069
KF857411.1,KF857388.1,0.0124632
KF857460.1,KF857437.1,0.0153882
KF857388.1,KF857366.1,0.00764005
KF857381.1,KF857361.1,0.00475616
KF857450.1,KF857423.1,0.00859914
KF857395.1,KF857373.1,0.0105364
KF857403.1,KF857382.1,0.0144128
KF857428.1,KF857406.1,0.0163446
KF857441.1,KF857414.1,0.0192643
KF857419.1,KF857395.1,0.0153676
KF857411.1,KF857387.1,0.0085884
KF857460.1,KF857432.1,0.014424
KF857388.1,KF857365.1,0.00860202
KF857381.1,KF857360.1,0.00284983
KF857450.1,KF857422.1,0.0105128
KF857395.1,KF857372.1,0.00859534
KF857428.1,KF857405.1,0.00955928
KF857403.1,KF857381.1,0.00475613
KF857441.1,KF857413.1,0.0169971
KF857419.1,KF857394.1,0.0222445
KF857411.1,KF857386.1,0.0143909
KF857460.1,KF857431.1,0.020264
KF857388.1,KF857364.1,0.00764005
KF857450.1,KF857421.1,0.0124775
KF857381.1,KF857359.1,0.0163763
KF857395.1,KF857371.1,0.00669131
KF857428.1,KF857404.1,0.0115024
KF857441.1,KF857412.1,0.0183195
KF857403.1,KF857380.1,0.0134432
KF857419.1,KF857393.1,0.0183234
KF857411.1,KF857385.1,0.014388
KF857460.1,KF857430.1,0.0183059
KF857388.1,KF857363.1,0.013427
KF857450.1,KF857420.1,0.00763221
KF857395.1,KF857370.1,0.00475531
KF857428.1,KF857403.1,0.0105259
KF857381.1,KF857358.1,0.00669105
KF857441.1,KF857411.1,0.0153616
KF857419.1,KF857392.1,0.0232343
KF857403.1,KF857379.1,0.0124668
KF857460.1,KF857429.1,0.0153935
KF857411.1,KF857384.1,0.0163256
KF857388.1,KF857362.1,0.0105156
KF857450.1,KF857419.1,0.0222261
KF857395.1,KF857369.1,0.00189706
KF857428.1,KF857401.1,0.0124687
KF857441.1,KF857410.1,0.00189706
KF857381.1,MH010677.1,0.0153665
KF857419.1,KF857391.1,0.0202534
KF857460.1,KF857428.1,0.0124621
KF857403.1,KF857378.1,0.00763338
KF857411.1,KF857383.1,0.0114935
KF857388.1,KF857361.1,0.0105243
KF857450.1,KF857418.1,0.0085878
KF857395.1,KF857368.1,0.00189706
KF857428.1,KF857400.1,0.0163444
KF857441.1,KF857409.1,0.0114874
KF857419.1,KF857390.1,0.0173346
KF857381.1,KY226226.1,0.0134577
KF857460.1,KF857427.1,0.0110034
KF857411.1,KF857382.1,0.0144105
KF857403.1,KF857377.1,0.0105698
KF857388.1,KF857360.1,0.00860202
KF857450.1,KF857417.1,0.0192632
KF857395.1,KF857367.1,0
KF857428.1,KF857399.1,0.0153735
KF857441.1,KF857408.1,0.0212515
KF857419.1,KF857389.1,0.0222453
KF857460.1,KF857426.1,0.0163544
KF857411.1,KF857381.1,0.00475525
KF857381.1,KY226207.1,0.0124786
KF857388.1,KF857359.1,0.0124671
KF857403.1,KF857376.1,0.00571549
KF857450.1,KF857416.1,0.0134861
KF857395.1,KF857366.1,0
KF857428.1,KF857398.1,0.0143665
KF857441.1,KF857407.1,0.0202647
KF857419.1,KF857388.1,0.0192852
KF857460.1,KF857425.1,0.0183159
KF857411.1,KF857380.1,0.0134361
KF857388.1,KF857358.1,0.00860211
KF857381.1,KY226206.1,0.0124585
KF857450.1,KF857415.1,0.0192526
KF857403.1,KF857375.1,0.00284971
KF857395.1,KF857365.1,0.000948617
KF857428.1,KF857397.1,0.00475533
KF857441.1,KF857406.1,0.0192535
KF857419.1,KF857387.1,0.0212556
KF857460.1,KF857424.1,0.0153935
KF857411.1,KF857379.1,0.0124632
KF857388.1,MH010677.1,0.0153729
KF857450.1,KF857414.1,0.0163384
KF857381.1,KY226194.1,0.0173317
KF857395.1,KF857364.1,0
KF857428.1,KF857396.1,0.0105397
KF857403.1,KF857374.1,0.0105488
KF857441.1,KF857405.1,0.0163655
KF857419.1,KF857386.1,0.0172909
KF857460.1,KF857423.1,0.0114939
KF857411.1,KF857378.1,0.00763046
KF857388.1,KY226226.1,0.0153751
KF857450.1,KF857413.1,0.0101907
KF857395.1,KF857363.1,0.0076479
KF857428.1,KF857395.1,0.00380266
KF857381.1,KY226139.1,0.0124778
KF857441.1,KF857404.1,0.0163373
KF857403.1,KF857373.1,0.0154072
KF857419.1,KF857385.1,0.0182802
KF857411.1,KF857377.1,0.0105438
KF857460.1,KF857422.1,0.0153752
KF857388.1,KY226207.1,0.0144114
KF857450.1,KF857412.1,0.0134365
KF857395.1,KF857362.1,0.00475716
KF857428.1,KF857394.1,0.0144176
KF857441.1,KF857403.1,0.0143984
KF857381.1,KY226069.1,0.0105241
KF857403.1,KF857372.1,0.0134268
KF857419.1,KF857384.1,0.0192668
KF857411.1,KF857376.1,0.00571125
KF857460.1,KF857421.1,0.00381306
KF857388.1,KY226206.1,0.0163382
KF857450.1,KF857411.1,0.0105129
KF857395.1,KF857361.1,0.00476517
KF857428.1,KF857393.1,0.00667064
KF857441.1,KF857401.1,0.0173156
KF857381.1,KY226044.1,0.0154023
KF857419.1,KF857383.1,0.0182978
KF857403.1,KF857371.1,0.011544
KF857411.1,KF857375.1,0.00284747
KF857460.1,KF857420.1,0.0124669
KF857388.1,KY226194.1,0.0105232
KF857450.1,KF857410.1,0.0202541
KF857395.1,KF857360.1,0.0028558
KF857428.1,KF857392.1,0.015391
KF857441.1,KF857400.1,0.0212164
KF857419.1,KF857382.1,0.0212591
KF857381.1,MF684333.1,0.00667059
KF857411.1,KF857374.1,0.0105267
KF857403.1,KF857370.1,0.0095556
KF857460.1,KF857419.1,0.0202536
KF857388.1,KY226139.1,0.0193168
KF857450.1,KF857409.1,0.012459
KF857395.1,KF857359.1,0.0144238
KF857428.1,KF857391.1,0.0124622
KF857441.1,KF857399.1,0.0202503
KF857419.1,KF857381.1,0.0192954
KF857411.1,KF857373.1,0.0153929
KF857381.1,MF684332.1,0.0124604
KF857460.1,KF857418.1,0.0114827
KF857403.1,KF857369.1,0.00861816
KF857388.1,KY226069.1,0.0163671
KF857450.1,KF857408.1,0.0183121
KF857395.1,KF857358.1,0.00094862
KF857428.1,KF857390.1,0.00956907
KF857441.1,KF857398.1,0.00189706
KF857419.1,KF857380.1,0.020267
KF857411.1,KF857372.1,0.0134235
KF857460.1,KF857417.1,0.0182972
KF857381.1,MF684331.1,0.0163946
KF857388.1,KY226044.1,0.013429
KF857403.1,KF857368.1,0.00861816
KF857450.1,KF857407.1,0.0173316
KF857395.1,MH010677.1,0.0114755
KF857428.1,KF857389.1,0.014418
KF857441.1,KF857397.1,0.0114844
KF857419.1,KF857379.1,0.0212527
KF857411.1,KF857371.1,0.0115189
KF857460.1,KF857416.1,0.0105244
KF857388.1,MF684333.1,0.0124633
KF857381.1,KX198572.1,0.0124604
KF857450.1,KF857406.1,0.0182811
KF857403.1,KF857367.1,0.00669403
KF857395.1,KY226226.1,0.00763244
KF857428.1,KF857388.1,0.0115024
KF857441.1,KF857396.1,0.0153627
KF857419.1,KF857378.1,0.0192959
KF857411.1,KF857370.1,0.00954961
KF857460.1,KF857415.1,0.0143995
KF857388.1,MF684332.1,0.0163506
KF857450.1,KF857405.1,0.0095553
KF857381.1,KX198570.1,0.0163946
KF857403.1,KF857366.1,0.00669403
KF857428.1,KF857387.1,0.00954961
KF857395.1,KY226207.1,0.00667077
KF857441.1,KF857395.1,0.0105132
KF857419.1,KF857377.1,0.0212825
KF857411.1,KF857369.1,0.00859927
KF857460.1,KF857414.1,0.0153737
KF857388.1,MF684331.1,0.0203099
KF857450.1,KF857404.1,0.0134237
KF857381.1,KX198581.1,0.00667059
KF857428.1,KF857386.1,0.0134414
KF857403.1,KF857365.1,0.00766354
KF857395.1,KY226206.1,0.0105268
KF857441.1,KF857394.1,0.0202643
KF857419.1,KF857376.1,0.0202884
KF857411.1,KF857368.1,0.00859927
KF857460.1,KF857413.1,0.0150566
KF857388.1,KX198572.1,0.0163506
KF857450.1,KF857403.1,0.0105267
KF857428.1,KF857385.1,0.0114825
KF857381.1,KT379861.1,0.00475908
KF857395.1,KY226194.1,0.0134295
KF857403.1,KF857364.1,0.00669403
KF857441.1,KF857393.1,0.0134369
KF857419.1,KF857375.1,0.0173346
KF857411.1,KF857367.1,0.00667825
KF857460.1,KF857412.1,0.0163559
KF857388.1,KX198570.1,0.0203099
KF857450.1,KF857401.1,0.0143976
KF857428.1,KF857384.1,0.0143699
KF857395.1,KY226139.1,0.0134582
KF857381.1,KT379851.1,0.0143966
KF857441.1,KF857392.1,0.0202647
KF857403.1,KF857363.1,0.0125086
KF857419.1,KF857374.1,0.0232524
KF857411.1,KF857366.1,0.00667825
KF857460.1,KF857411.1,0.0134235
KF857388.1,KX198581.1,0.0124633
KF857450.1,KF857400.1,0.0182809
KF857428.1,KF857383.1,0.00860548
KF857395.1,KY226069.1,0.0105293
KF857441.1,KF857391.1,0.0173024
KF857381.1,KT379796.1,0.00863166
KF857419.1,KF857373.1,0.0202674
KF857403.1,KF857362.1,0.00570997
KF857411.1,KF857365.1,0.00764433
KF857460.1,KF857410.1,0.0192492
KF857388.1,KT379861.1,0.0124771
KF857450.1,KF857399.1,0.01732
KF857428.1,KF857382.1,0.0134482
KF857395.1,KY226044.1,0.0114995
KF857441.1,KF857390.1,0.0144188
KF857419.1,KF857372.1,0.0202536
KF857381.1,KT379795.1,0.0038038
KF857411.1,KF857364.1,0.00667825
KF857403.1,KF857361.1,0.00571729
KF857460.1,KF857409.1,0.00956267
KF857388.1,KT379851.1,0.0163653
KF857450.1,KF857398.1,0.0182752
KF857428.1,KF857381.1,0.0095594
KF857395.1,MF684333.1,0.00667827
KF857441.1,KF857389.1,0.0192796
KF857419.1,KF857371.1,0.0183075
KF857411.1,KF857363.1,0.0124795
KF857381.1,KT379787.1,0.0134234
KF857460.1,KF857408.1,0.0153882
KF857403.1,KF857360.1,0.00380573
KF857388.1,KT379796.1,0.0105361
KF857450.1,KF857397.1,0.0105435
KF857428.1,KF857380.1,0.0124685
KF857395.1,MF684332.1,0.0124768
KF857441.1,KF857388.1,0.0163373
KF857419.1,KF857370.1,0.0173044
KF857411.1,KF857362.1,0.00570512
KF857460.1,KF857407.1,0.0144139
KF857381.1,KT379784.1,0.00667964
KF857388.1,KT379795.1,0.0115044
KF857403.1,KF857359.1,0.0173572
KF857450.1,KF857396.1,0.0124533
KF857428.1,KF857379.1,0.0134382
KF857395.1,MF684331.1,0.0164217
KF857441.1,KF857387.1,0.0163438
KF857419.1,KF857369.1,0.0163314
KF857411.1,KF857361.1,0.00570868
KF857460.1,KF857406.1,0.0173191
KF857388.1,KT379787.1,0.0192977
KF857381.1,KT379782.1,0.0154045
KF857450.1,KF857395.1,0.00956972
KF857403.1,KF857358.1,0.00766372
KF857428.1,KF857378.1,0.0105243
KF857395.1,KX198572.1,0.0124768
KF857441.1,KF857386.1,0.0124278
KF857419.1,KF857368.1,0.0163314
KF857411.1,KF857360.1,0.00380014
KF857460.1,KF857405.1,0.0144129
KF857388.1,KT379784.1,0.0105451
KF857450.1,KF857394.1,0.0163504
KF857381.1,KT379779.1,0.00667821
KF857428.1,KF857377.1,0.0115003
KF857403.1,MH010677.1,0.0163447
KF857395.1,KX198570.1,0.0164217
KF857441.1,KF857385.1,0.0163137
KF857419.1,KF857367.1,0.0153676
KF857411.1,KF857359.1,0.0173397
KF857460.1,KF857404.1,0.0124684
KF857388.1,KT379782.1,0.00571789
KF857450.1,KF857393.1,0.00666877
KF857428.1,KF857376.1,0.00859334
KF857381.1,KT379772.1,0.0163677
KF857395.1,KX198581.1,0.00667827
KF857403.1,KY226226.1,0.0144463
KF857441.1,KF857384.1,0.00284977
KF857419.1,KF857366.1,0.0153676
KF857411.1,KF857358.1,0.00764446
KF857460.1,KF857403.1,0.013427
KF857388.1,KT379779.1,0.0114941
KF857450.1,KF857392.1,0.0173316
KF857428.1,KF857375.1,0.00763339
KF857395.1,KT379861.1,0.00669118
KF857381.1,KT379758.1,0.0192641
KF857441.1,KF857383.1,0.0153601
KF857403.1,KY226207.1,0.0134581
KF857419.1,KF857365.1,0.0163494
KF857411.1,MH010677.1,0.01633
KF857460.1,KF857401.1,0.0115021
KF857388.1,KT379772.1,0.00667842
KF857450.1,KF857391.1,0.0143853
KF857428.1,KF857374.1,0.0114843
KF857395.1,KT379851.1,0.0144033
KF857441.1,KF857382.1,0.0182973
KF857381.1,KT379755.1,0.0037985
KF857419.1,KF857364.1,0.0153676
KF857411.1,KY226226.1,0.0144184
