ID1,ID2,Distance
F1.BR.1990.BZ163.AB485656,F1.BR.1989.BZ126.AY173957,0.0156988
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2010.X3069_2s_nfl.KJ883144,0.00496859
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X2873_2i_nfl.KJ883140,0.00373567
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2010.X3070_2s_nfl.KJ883145,0.00434399
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X2898_2i_nfl.KJ883141,0.00372988
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2010.X3079_2i_nfl.KJ883146,0.00340969
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X2922_3s_nfl.KJ883142,0.00373572
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2010.X3085_2s_nfl.KJ883147,0.00434216
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X3016_2s_nfl.KJ883143,0.00497242
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2011.X3097_2s_nfl.KJ883148,0.00934595
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X3069_2s_nfl.KJ883144,0.00498422
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2011.X3125_2s_nfl.KJ883149,0.00621591
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X3070_2s_nfl.KJ883145,0.00435631
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2011.X3308_nfl.KJ883150,0.00465426
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X3079_2i_nfl.KJ883146,0.00341507
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2012.X3361_nfl.KJ883151,0.00434671
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2010.X3085_2s_nfl.KJ883147,0.00434976
F1.ES.2010.X3016_2s_nfl.KJ883143,F1.ES.2012.X3364_nfl.KJ883152,0.00496758
F1.ES.2010.X2871_2s_nfl.KJ883139,F1.ES.2011.X3097_2s_nfl.KJ883148,0.00936624
