name	virus	subtype	bootstrap support
OR210897.1	HCV	3b	100.0
OR210887.1	HCV	3b	100.0
OR210903.1	HCV	1b	100.0
OR210882.1	HCV	3b	100.0
OR210892.1	HCV	3b	100.0
OR210890.1	HCV	3a	100.0
OR210884.1	HCV	2a	100.0
OR210891.1	HCV	3a	100.0
OR210877.1	HCV	3b	100.0
OR210874.1	HCV	3b	100.0
OR210881.1	HCV	3b	100.0
OR210900.1	HCV	3a	100.0
OR210873.1	HCV	3a	100.0
OR210886.1	HCV	3a	100.0
OR210869.1	HCV	1b	100.0
OR210885.1	HCV	3a	100.0
OR210871.1	HCV	3a	100.0
OR210901.1	HCV	1b	100.0
OR210880.1	HCV	2a	100.0
OR210879.1	HCV	3a	100.0
OR210878.1	HCV	6n	100.0
OR210865.1	HCV	3b	100.0
OR210868.1	HCV	2a	100.0
OR210876.1	HCV	1b	100.0
OR210875.1	HCV	1b	100.0
OR210858.1	HCV	1b	100.0
OR210860.1	HCV	2a	100.0
OR210862.1	HCV	1b	100.0
OR210855.1	HCV	3a	100.0
OR210872.1	HCV	3a	100.0
OR210883.1	HCV	3b	100.0
OR210870.1	HCV	3b	100.0
OR210851.1	HCV	3b	100.0
OR210856.1	HCV	1b	100.0
OR210867.1	HCV	3b	100.0
OR210864.1	HCV	6a	100.0
OR210853.1	HCV	3b	100.0
OR210866.1	HCV	6n	100.0
OR210846.1	HCV	6n	100.0
OR210863.1	HCV	6a	100.0
OR210843.1	HCV	3a	100.0
OR210857.1	HCV	3b	100.0
OR210859.1	HCV	3b	100.0
OR210844.1	HCV	3a	100.0
OR210841.1	HCV	3a	100.0
OR210847.1	HCV	1b	100.0
OR210850.1	HCV	6n	100.0
OR210854.1	HCV	3a	100.0
OR210835.1	HCV	3b	100.0
OR210836.1	HCV	6n	100.0
OR210849.1	HCV	3b	100.0
OR210842.1	HCV	3a	100.0
OR210848.1	HCV	1b	100.0
OR210852.1	HCV	3b	100.0
OR210845.1	HCV	3b	100.0
OR210831.1	HCV	3b	100.0
OR210826.1	HCV	1b	100.0
OR210839.1	HCV	3b	100.0
OR210840.1	HCV	3b	100.0
OR210828.1	HCV	3b	100.0
OR210838.1	HCV	3a	100.0
OR210833.1	HCV	3a	100.0
OR210837.1	HCV	1b	100.0
OR210822.1	HCV	3b	100.0
OR210834.1	HCV	2a	100.0
OR210832.1	HCV	6n	100.0
OR210816.1	HCV	3b	100.0
OR210830.1	HCV	3b	100.0
OR210829.1	HCV	2a	100.0
OR210818.1	HCV	3a	100.0
OR210812.1	HCV	1b	100.0
OR210819.1	HCV	6n	100.0
OR210814.1	HCV	3b	100.0
OR210825.1	HCV	3b	100.0
OR210811.1	HCV	3a	100.0
OR210810.1	HCV	3b	100.0
OR210821.1	HCV	3a	100.0
OR210806.1	HCV	2a	100.0
OR210808.1	HCV	2a	100.0
OR210824.1	HCV	3b	100.0
OR210804.1	HCV	1b	100.0
OR210820.1	HCV	3b	100.0
OR210817.1	HCV	1b	100.0
OR210801.1	HCV	3b	100.0
OR210809.1	HCV	3b	100.0
OR210815.1	HCV	3a	100.0
OR210802.1	HCV	6n	100.0
OR210823.1	HCV	1b	100.0
OR210803.1	HCV	3a	100.0
OR210798.1	HCV	1b	100.0
OR210800.1	HCV	6a	100.0
OR210790.1	HCV	3b	100.0
OR210788.1	HCV	3b	100.0
OR210813.1	HCV	3a	100.0
OR210777.1	HCV	3a	100.0
OR210778.1	HCV	1b	100.0
OR210789.1	HCV	3b	100.0
OR210785.1	HCV	3b	100.0
OR210787.1	HCV	3a	100.0
OR210827.1	HCV	3b	100.0
OR210774.1	HCV	3b	100.0
OR210775.1	HCV	3b	100.0
OR210773.1	HCV	3a	100.0
OR210770.1	HCV	3b	100.0
OR210797.1	HCV	1b	100.0
OR210805.1	HCV	6l	53.0
OR210771.1	HCV	3b	100.0
OR210768.1	HCV	3b	100.0
OR210752.1	HCV	3b	100.0
OR210751.1	HCV	3b	100.0
OR210754.1	HCV	1b	100.0
OR210799.1	HCV	3a	100.0
OR210749.1	HCV	3a	100.0
OR210743.1	HCV	3a	100.0
OR210744.1	HCV	3a	100.0
OR210745.1	HCV	3a	100.0
OR210786.1	HCV	3b	100.0
OR210741.1	HCV	6n	100.0
OR210807.1	HCV	3b	100.0
OR210767.1	HCV	3a	100.0
OR210776.1	HCV	6a	100.0
OR210739.1	HCV	3b	100.0
OR210740.1	HCV	3b	100.0
OR210738.1	HCV	3a	100.0
OR210737.1	HCV	3a	100.0
OR210769.1	HCV	3a	100.0
OR210724.1	HCV	3a	100.0
OR210722.1	HCV	3a	100.0
OR210750.1	HCV	3b	100.0
OR210721.1	HCV	3a	100.0
OR210719.1	HCV	3a	100.0
OR210746.1	HCV	3b	100.0
OR210747.1	HCV	6n	100.0
OR210753.1	HCV	3a	100.0
OR210712.1	HCV	3a	100.0
OR210709.1	HCV	2a	100.0
OR210710.1	HCV	3b	100.0
OR210708.1	HCV	2a	100.0
OR210748.1	HCV	3b	100.0
OR210699.1	HCV	1b	100.0
OR210698.1	HCV	1b	100.0
OR210696.1	HCV	1b	100.0
OR210697.1	HCV	3a	100.0
OR210693.1	HCV	1b	100.0
OR210694.1	HCV	1b	100.0
OR210692.1	HCV	3a	100.0
OR210742.1	HCV	6n	100.0
OR210723.1	HCV	3a	100.0
OR210690.1	HCV	2a	100.0
OR210772.1	HCV	3b	100.0
OR210679.1	HCV	3b	100.0
OR210680.1	HCV	3b	100.0
OR210707.1	HCV	3a	100.0
OR210678.1	HCV	6n	100.0
OR210700.1	HCV	3b	100.0
OR210675.1	HCV	3b	100.0
OR210720.1	HCV	3a	100.0
OR210677.1	HCV	6n	100.0
OR210673.1	HCV	3b	100.0
OR210672.1	HCV	3a	100.0
OR210670.1	HCV	3b	100.0
OR210671.1	HCV	3b	100.0
OR210669.1	HCV	3b	100.0
OR210711.1	HCV	3a	100.0
OR210668.1	HCV	3b	100.0
OR210667.1	HCV	3b	100.0
OR210695.1	HCV	2a	100.0
OR210689.1	HCV	6l	76.0
OR210664.1	HCV	3a	100.0
OR210662.1	HCV	1b	100.0
OR210681.1	HCV	1a	100.0
OR210663.1	HCV	6n	100.0
OR210659.1	HCV	3a	100.0
OR210656.1	HCV	1b	100.0
OR210682.1	HCV	3b	100.0
OR210691.1	HCV	1b	100.0
OR210655.1	HCV	3a	100.0
OR210654.1	HCV	3a	100.0
OR210657.1	HCV	3b	100.0
OR210653.1	HCV	3a	100.0
OR210676.1	HCV	2a	100.0
OR210648.1	HCV	3a	100.0
OR210647.1	HCV	3a	100.0
OR210645.1	HCV	1b	100.0
OR210646.1	HCV	3a	100.0
OR210665.1	HCV	1b	100.0
OR210674.1	HCV	3b	100.0
OR210661.1	HCV	3b	100.0
OR210666.1	HCV	1b	100.0
OR210643.1	HCV	3a	100.0
OR210640.1	HCV	3a	100.0
OR210641.1	HCV	3a	100.0
OR210642.1	HCV	1b	100.0
OR210639.1	HCV	3b	100.0
OR210652.1	HCV	3b	100.0
OR210634.1	HCV	3b	100.0
OR210633.1	HCV	2a	100.0
OR210650.1	HCV	3a	100.0
OR210631.1	HCV	3a	100.0
OR210630.1	HCV	3b	100.0
OR210632.1	HCV	1a	100.0
OR210658.1	HCV	3a	100.0
OR210660.1	HCV	1b	100.0
OR210644.1	HCV	2a	100.0
OR210628.1	HCV	3b	100.0
OR210627.1	HCV	3b	100.0
OR210624.1	HCV	6n	100.0
OR210626.1	HCV	2a	100.0
OR210625.1	HCV	2a	100.0
OR210649.1	HCV	6n	100.0
OR210651.1	HCV	3a	100.0
OR210620.1	HCV	1b	100.0
OR210615.1	HCV	2a	100.0
OR210614.1	HCV	3b	100.0
OR210638.1	HCV	3b	100.0
OR210611.1	HCV	1b	100.0
OR210629.1	HCV	1b	100.0
OR210610.1	HCV	3b	100.0
OR210609.1	HCV	3b	100.0
OR210608.1	HCV	3b	100.0
OR210622.1	HCV	1b	100.0
OR210607.1	HCV	6n	100.0
OR210605.1	HCV	3b	100.0
OR210637.1	HCV	2a	100.0
OR210604.1	HCV	3a	100.0
OR210603.1	HCV	6a	100.0
OR210601.1	HCV	3b	100.0
OR210598.1	HCV	3b	100.0
OR210616.1	HCV	2a	100.0
OR210623.1	HCV	2a	100.0
OR210635.1	HCV	6n	100.0
OR210612.1	HCV	1b	100.0
OR210595.1	HCV	3b	100.0
OR210594.1	HCV	1b	100.0
OR210593.1	HCV	3b	100.0
OR210592.1	HCV	2a	100.0
OR210621.1	HCV	1b	100.0
OR210600.1	HCV	3b	100.0
OR210591.1	HCV	3b	100.0
OR210587.1	HCV	3b	100.0
OR210586.1	HCV	3b	100.0
OR210584.1	HCV	3a	100.0
OR210585.1	HCV	3b	100.0
OR210589.1	HCV	3b	100.0
OR210602.1	HCV	3b	100.0
OR210613.1	HCV	1b	100.0
OR210582.1	HCV	2a	100.0
OR210599.1	HCV	3b	100.0
OR210580.1	HCV	3b	100.0
OR210579.1	HCV	3b	100.0
OR210578.1	HCV	3b	100.0
OR210577.1	HCV	2a	100.0
OR210575.1	HCV	3b	100.0
OR210590.1	HCV	2a	100.0
OR210597.1	HCV	3a	100.0
OR210571.1	HCV	3b	100.0
OR210569.1	HCV	1b	100.0
OR210568.1	HCV	3b	100.0
OR210567.1	HCV	6n	100.0
OR210572.1	HCV	3b	100.0
OR210566.1	HCV	3b	100.0
OR210564.1	HCV	3b	100.0
OR210563.1	HCV	1b	100.0
OR210561.1	HCV	3a	100.0
OR210562.1	HCV	3b	100.0
OR210559.1	HCV	1b	100.0
OR210573.1	HCV	3b	100.0
OR210556.1	HCV	6n	100.0
OR210554.1	HCV	1b	100.0
OR210553.1	HCV	1b	100.0
OR210551.1	HCV	3b	100.0
OR210552.1	HCV	6n	100.0
OR210550.1	HCV	2a	100.0
OR210549.1	HCV	3b	100.0
OR210565.1	HCV	2a	100.0
OR210548.1	HCV	2a	100.0
OR210570.1	HCV	3b	100.0
OR210574.1	HCV	6n	100.0
OR210543.1	HCV	1b	100.0
OR210544.1	HCV	6n	100.0
OR210540.1	HCV	3b	100.0
OR210537.1	HCV	1b	100.0
OR210534.1	HCV	3b	100.0
OR210535.1	HCV	6m	100.0
OR210560.1	HCV	2a	100.0
OR210532.1	HCV	3a	100.0
OR210555.1	HCV	1b	100.0
OR210531.1	HCV	1b	100.0
OR210528.1	HCV	3b	100.0
OR210526.1	HCV	3a	100.0
OR210527.1	HCV	3a	100.0
OR210557.1	HCV	2a	100.0
OR210546.1	HCV	3b	100.0
OR210541.1	HCV	6n	100.0
OR210522.1	HCV	1b	100.0
OR210523.1	HCV	1b	100.0
OR210520.1	HCV	1b	100.0
OR210521.1	HCV	1b	100.0
OR210519.1	HCV	3a	100.0
OR210547.1	HCV	3b	100.0
OR210517.1	HCV	3b	100.0
OR210518.1	HCV	1b	100.0
OR210515.1	HCV	3b	100.0
OR210530.1	HCV	1b	100.0
OR210545.1	HCV	2a	100.0
OR210513.1	HCV	3b	100.0
OR210512.1	HCV	1b	100.0
OR210511.1	HCV	3b	100.0
OR210536.1	HCV	3b	100.0
OR210507.1	HCV	3b	100.0
OR210506.1	HCV	1b	100.0
OR210524.1	HCV	3b	100.0
OR210501.1	HCV	3a	100.0
OR210495.1	HCV	2a	100.0
OR210516.1	HCV	3b	100.0
OR210492.1	HCV	3b	100.0
OR210493.1	HCV	1b	100.0
OR210525.1	HCV	1b	100.0
OR210529.1	HCV	3b	100.0
OR210489.1	HCV	3b	100.0
OR210488.1	HCV	2a	100.0
OR210487.1	HCV	2a	100.0
OR210486.1	HCV	2a	100.0
OR210485.1	HCV	1b	100.0
OR210505.1	HCV	6n	100.0
OR210484.1	HCV	2a	100.0
OR210479.1	HCV	6a	100.0
OR210502.1	HCV	3b	100.0
OR210476.1	HCV	1b	100.0
OR210509.1	HCV	1b	100.0
OR210475.1	HCV	2a	100.0
OR210510.1	HCV	1b	100.0
OR210491.1	HCV	3b	100.0
OR210494.1	HCV	1b	100.0
OR210477.1	HCV	3b	100.0
OR210474.1	HCV	3b	100.0
OR210469.1	HCV	1b	100.0
OR210473.1	HCV	3b	100.0
OR210468.1	HCV	2a	100.0
OR210496.1	HCV	3b	100.0
OR210472.1	HCV	3b	100.0
OR210490.1	HCV	3a	100.0
OR210480.1	HCV	3b	100.0
OR210478.1	HCV	3b	100.0
OR210483.1	HCV	1b	100.0
OR210463.1	HCV	3b	100.0
OR210464.1	HCV	3b	100.0
OR210460.1	HCV	1b	100.0
OR210462.1	HCV	1b	100.0
OR210461.1	HCV	2a	100.0
OR210459.1	HCV	3b	100.0
OR210482.1	HCV	3b	100.0
OR210481.1	HCV	6n	100.0
OR210471.1	HCV	3b	100.0
OR210453.1	HCV	1b	100.0
OR210452.1	HCV	1b	100.0
OR210454.1	HCV	6n	100.0
OR210455.1	HCV	1b	100.0
OR210467.1	HCV	2a	100.0
OR210448.1	HCV	1b	100.0
OR210449.1	HCV	1b	100.0
OR210444.1	HCV	2a	100.0
OR210445.1	HCV	2a	100.0
OR210447.1	HCV	2a	100.0
OR210443.1	HCV	3b	100.0
OR210446.1	HCV	2a	100.0
OR210466.1	HCV	3b	100.0
OR210470.1	HCV	3b	100.0
OR210465.1	HCV	3a	100.0
OR210458.1	HCV	6n	100.0
OR210437.1	HCV	1b	100.0
OR210438.1	HCV	1b	100.0
OR210436.1	HCV	3b	100.0
OR210439.1	HCV	1b	100.0
OR210457.1	HCV	6v	100.0
OR210433.1	HCV	1b	100.0
OR210456.1	HCV	2a	100.0
OR210432.1	HCV	6l	45.0
OR210428.1	HCV	3b	100.0
OR210427.1	HCV	6l	54.0
OR210922.1	HCV	3a	100.0
OR210450.1	HCV	2a	100.0
OR210431.1	HCV	1b	100.0
OR210435.1	HCV	3b	100.0
OR210440.1	HCV	1b	100.0
OR210442.1	HCV	1b	100.0
OR210796.1	HCV	3b	100.0
OR210920.1	HCV	3b	100.0
OR210917.1	HCV	3b	100.0
OR210794.1	HCV	3a	100.0
OR210451.1	HCV	1b	100.0
OR210793.1	HCV	3a	100.0
OR210792.1	HCV	3a	100.0
OR210434.1	HCV	3b	100.0
OR210784.1	HCV	3b	100.0
OR210782.1	HCV	3b	100.0
OR210441.1	HCV	3b	100.0
OR210781.1	HCV	3b	100.0
OR210780.1	HCV	3b	100.0
OR210779.1	HCV	3b	100.0
OR210766.1	HCV	6n	100.0
OR210921.1	HCV	3a	100.0
OR210761.1	HCV	3b	100.0
OR210758.1	HCV	3b	100.0
OR210757.1	HCV	3a	100.0
OR210795.1	HCV	3a	100.0
OR210918.1	HCV	3b	100.0
OR210760.1	HCV	3b	100.0
OR210919.1	HCV	6a	100.0
OR210759.1	HCV	6n	100.0
OR210756.1	HCV	3b	100.0
OR210763.1	HCV	1b	100.0
OR210755.1	HCV	6n	100.0
OR210735.1	HCV	3a	100.0
OR210734.1	HCV	3a	100.0
OR210736.1	HCV	3a	100.0
OR210731.1	HCV	3a	100.0
OR210732.1	HCV	3a	100.0
OR210730.1	HCV	3a	100.0
OR210728.1	HCV	3a	100.0
OR210783.1	HCV	6l	68.0
OR210791.1	HCV	2a	100.0
OR210765.1	HCV	3b	100.0
OR210729.1	HCV	3a	100.0
OR210725.1	HCV	3a	100.0
