ID1,ID2,Distance
KJ723365.1,KJ723356.1,0.0373619
KJ723424.1,KJ723411.1,0.0321895
KJ723456.1,KJ723439.1,0.0398026
KJ723263.1,KJ723253.1,0.0350184
KJ723424.1,KJ723400.1,0.0398769
KJ723263.1,KJ723252.1,0.0309987
KJ723424.1,KJ723375.1,0.032395
KJ723365.1,KJ723312.1,0.0374236
KJ723424.1,KJ723356.1,0.0383772
KJ723263.1,KJ723217.1,0.0389231
KJ723424.1,KJ723347.1,0.0340394
KJ723456.1,KJ723375.1,0.0381401
KJ723263.1,KJ723200.1,0.0343923
KJ723424.1,KJ723323.1,0.00248198
KJ723424.1,KJ723321.1,0.0384367
KJ723365.1,KJ723253.1,0.0326529
KJ723365.1,KJ723252.1,0.0373866
KJ723263.1,KJ723167.1,0.0349184
KJ723424.1,KJ723291.1,0.0383734
KJ723424.1,KJ723288.1,0.0392288
KJ723365.1,KJ723216.1,0.0392118
KJ723456.1,KJ723306.1,0.00414088
KJ723365.1,KJ723200.1,0.0374196
KJ723365.1,KJ723194.1,0.00525159
KJ723424.1,KJ723253.1,0.0283377
KJ723456.1,KJ723294.1,0.0393111
KJ723263.1,KJ723132.1,0.0392989
KJ723241.1,KJ723187.1,0.0244145
KJ723365.1,KJ723167.1,0.0287253
KJ723424.1,KJ723216.1,0.0383824
KJ723394.1,KJ723180.1,0.00747529
KJ723424.1,KJ723200.1,0.0331293
KJ723424.1,KJ723190.1,0.0393291
KJ723241.1,KJ723171.1,0.0209962
KJ723263.1,KJ723073.1,0.0380789
KJ723424.1,KJ723167.1,0.0309901
KJ723365.1,KJ723119.1,0.0370002
KJ723241.1,KJ723166.1,0.00691724
KJ723424.1,KJ723144.1,0.0370901
KJ723456.1,KJ723200.1,0.0388156
KJ723456.1,KJ723198.1,0.015896
KJ723365.1,KJ723080.1,0.015869
KJ723365.1,KJ723073.1,0.0357267
KJ723424.1,KJ723119.1,0.0370216
KJ723424.1,KJ723117.1,0.0358514
KJ723456.1,KJ723153.1,0.0159045
KJ723365.1,KJ723035.1,0.0391699
KJ723365.1,KJ723034.1,0.0387295
KJ723424.1,KJ723075.1,0.0393996
KJ723424.1,KJ723073.1,0.0384248
KJ723424.1,KJ723068.1,0.0380039
KJ723424.1,KJ723063.1,0.0375094
KJ723456.1,KJ723125.1,0
KJ723263.1,KJ722985.1,0.0293166
KJ723263.1,KJ722977.1,0.0370976
KJ723424.1,KJ723039.1,0.03227
KJ723338.1,KJ723044.1,0.00497085
KJ723424.1,KJ723035.1,0.0340382
KJ723263.1,KJ722963.1,0.0249583
KJ723365.1,KJ722985.1,0.0279606
KJ723424.1,KJ723031.1,0.0331413
KJ723338.1,KJ723038.1,0.00414718
KJ723263.1,KJ722956.1,0.0380421
KJ723365.1,KJ722977.1,0.0356526
KJ723424.1,KJ723018.1,0.037987
KJ723365.1,KJ722963.1,0.03046
KJ723394.1,KJ722994.1,0.00413766
KJ723365.1,KJ722956.1,0.0370306
KJ723424.1,KJ722999.1,0.0375639
KJ723424.1,KJ722985.1,0.0323937
KJ723424.1,KJ722981.1,0.0397306
