ID1,ID2,Distance
OR210929.1,OR210928.1,0.0330548
OR210929.1,OR210926.1,0.0399099
OR210859.1,OR210857.1,0.0468419
OR210929.1,OR210920.1,0.0432511
OR210881.1,OR210857.1,0.0363689
OR210904.1,OR210869.1,0.0460732
OR210929.1,OR210918.1,0.0397364
OR210859.1,OR210853.1,0.0432422
OR210818.1,OR210815.1,0.0395351
OR210799.1,OR210795.1,0.0499418
OR210881.1,OR210853.1,0.047132
OR210781.1,OR210775.1,0.0360456
OR210838.1,OR210821.1,0.0428912
OR210929.1,OR210910.1,0.0295611
OR210859.1,OR210835.1,0.0395089
OR210764.1,OR210761.1,0.0393352
OR210818.1,OR210813.1,0.0326327
OR210799.1,OR210794.1,0.0328921
OR210881.1,OR210851.1,0.0295706
OR210781.1,OR210774.1,0.0297871
OR210929.1,OR210905.1,0.0295611
OR210859.1,OR210831.1,0.0465061
OR210838.1,OR210813.1,0.0461947
OR210764.1,OR210760.1,0.039255
OR210799.1,OR210793.1,0.0327393
OR210781.1,OR210772.1,0.0399039
OR210818.1,OR210799.1,0.0294602
OR210881.1,OR210839.1,0.0432166
OR210929.1,OR210897.1,0.0435229
OR210859.1,OR210825.1,0.0395023
OR210799.1,OR210792.1,0.0434908
OR210764.1,OR210758.1,0.0392516
OR210781.1,OR210771.1,0.0327504
OR210838.1,OR210803.1,0.0463503
OR210818.1,OR210794.1,0.0431465
OR210929.1,OR210893.1,0.0397435
OR210799.1,OR210787.1,0.0327409
OR210859.1,OR210816.1,0.0468419
OR210881.1,OR210824.1,0.0396558
OR210904.1,OR210594.1,0.0494634
OR210781.1,OR210770.1,0.0464889
OR210764.1,OR210756.1,0.0291927
OR210818.1,OR210793.1,0.0429744
OR210838.1,OR210799.1,0.0429862
OR210929.1,OR210883.1,0.0468492
OR210799.1,OR210777.1,0.0193634
OR210881.1,OR210820.1,0.0497818
OR210781.1,OR210765.1,0.0292982
OR210929.1,OR210882.1,0.0363839
OR210818.1,OR210787.1,0.0361465
OR210838.1,OR210794.1,0.0429925
OR210859.1,OR210796.1,0.029389
OR210764.1,OR210751.1,0.0226201
OR210799.1,OR210773.1,0.0161243
OR210781.1,OR210764.1,0.0428896
OR210929.1,OR210881.1,0.0466712
OR210838.1,OR210787.1,0.0428648
OR210904.1,OR210554.1,0.0425851
OR210818.1,OR210777.1,0.0360164
OR210764.1,OR210750.1,0.022629
OR210799.1,OR210769.1,0.0227058
OR210781.1,OR210761.1,0.0328623
OR210929.1,OR210877.1,0.0466118
OR210881.1,OR210785.1,0.0432609
OR210859.1,OR210774.1,0.0466206
OR210838.1,OR210777.1,0.0294189
OR210818.1,OR210773.1,0.0327194
OR210764.1,OR210748.1,0.0392506
OR210799.1,OR210767.1,0.0160746
OR210781.1,OR210760.1,0.0428908
OR210929.1,OR210874.1,0.0396607
OR210881.1,OR210784.1,0.043002
OR210859.1,OR210771.1,0.0499715
OR210838.1,OR210773.1,0.0396901
OR210818.1,OR210769.1,0.0327412
OR210764.1,OR210746.1,0.0360268
OR210781.1,OR210758.1,0.0499549
OR210929.1,OR210870.1,0.0465712
OR210881.1,OR210781.1,0.0330538
OR210799.1,OR210757.1,0.0194539
OR210818.1,OR210767.1,0.0326951
OR210838.1,OR210769.1,0.0466284
OR210859.1,OR210765.1,0.0396912
OR210781.1,OR210756.1,0.0327078
OR210764.1,OR210740.1,0.0226399
OR210881.1,OR210775.1,0.0428787
OR210799.1,OR210753.1,0.0128387
OR210838.1,OR210767.1,0.0395648
OR210929.1,OR210857.1,0.0228655
OR210818.1,OR210757.1,0.0361386
OR210781.1,OR210751.1,0.0327504
OR210764.1,OR210739.1,0.0327087
OR210859.1,OR210756.1,0.0463623
OR210881.1,OR210774.1,0.0362561
OR210799.1,OR210749.1,0.0160904
OR210929.1,OR210853.1,0.0333128
OR210781.1,OR210750.1,0.0263013
OR210838.1,OR210757.1,0.0294667
OR210818.1,OR210753.1,0.0293491
OR210881.1,OR210772.1,0.0396727
OR210859.1,OR210751.1,0.0499715
OR210929.1,OR210852.1,0.0428228
OR210799.1,OR210745.1,0.019484
OR210781.1,OR210748.1,0.043221
OR210838.1,OR210753.1,0.0362422
OR210881.1,OR210771.1,0.0395606
OR210818.1,OR210749.1,0.0260044
OR210929.1,OR210851.1,0.0432729
OR210859.1,OR210746.1,0.0499754
OR210799.1,OR210744.1,0.022866
OR210781.1,OR210746.1,0.0328647
OR210838.1,OR210749.1,0.0396735
OR210881.1,OR210765.1,0.0430013
OR210818.1,OR210745.1,0.0294606
OR210929.1,OR210849.1,0.0464009
OR210799.1,OR210743.1,0.0295749
OR210781.1,OR210740.1,0.0398976
OR210838.1,OR210745.1,0.0429881
OR210881.1,OR210764.1,0.0498167
OR210818.1,OR210744.1,0.0328923
OR210799.1,OR210738.1,0.0464709
OR210929.1,OR210840.1,0.0499407
OR210764.1,OR210700.1,0.0430756
OR210859.1,OR210682.1,0.0427524
OR210748.1,OR210746.1,0.0428854
OR210781.1,OR210739.1,0.0297995
OR210838.1,OR210744.1,0.0396903
OR210881.1,OR210761.1,0.039538
OR210818.1,OR210743.1,0.039695
OR210929.1,OR210839.1,0.0361829
OR210799.1,OR210697.1,0.0468334
OR210903.1,OR210826.1,0.0499088
OR210859.1,OR210679.1,0.0395563
OR210838.1,OR210743.1,0.0395728
OR210748.1,OR210740.1,0.0292708
OR210881.1,OR210756.1,0.0465692
OR210764.1,OR210686.1,0.0461231
OR210929.1,OR210831.1,0.0363853
OR210781.1,OR210686.1,0.0432255
OR210818.1,OR210692.1,0.0427443
OR210799.1,OR210692.1,0.0325817
OR210748.1,OR210739.1,0.0396688
OR210838.1,OR210738.1,0.0498267
OR210881.1,OR210751.1,0.0395606
OR210764.1,OR210684.1,0.0496683
OR210859.1,OR210671.1,0.0497031
OR210903.1,OR210798.1,0.0435031
OR210929.1,OR210828.1,0.0432666
OR210781.1,OR210683.1,0.0362632
OR210881.1,OR210750.1,0.0328256
OR210764.1,OR210683.1,0.0394536
OR210818.1,OR210672.1,0.043145
OR210929.1,OR210825.1,0.0293501
OR210881.1,OR210748.1,0.0429904
OR210764.1,OR210680.1,0.0462029
OR210929.1,OR210824.1,0.0463886
OR210781.1,OR210671.1,0.0465682
OR210799.1,OR210672.1,0.0328923
OR210881.1,OR210740.1,0.0396697
OR210764.1,OR210675.1,0.0430756
OR210929.1,OR210820.1,0.0499467
OR210818.1,OR210654.1,0.0431214
OR210881.1,OR210739.1,0.043282
OR210764.1,OR210674.1,0.042818
OR210838.1,OR210692.1,0.0499583
OR210748.1,OR210686.1,0.0392515
OR210781.1,OR210657.1,0.0363579
OR210929.1,OR210816.1,0.043494
OR210799.1,OR210664.1,0.0471612
OR210818.1,OR210651.1,0.0498576
OR210764.1,OR210671.1,0.0395314
OR210748.1,OR210683.1,0.0463087
OR210929.1,OR210814.1,0.0362307
OR210781.1,OR210652.1,0.0464836
OR210818.1,OR210650.1,0.0461875
OR210859.1,OR210636.1,0.0361282
OR210764.1,OR210670.1,0.0430756
OR210838.1,OR210672.1,0.0429904
OR210929.1,OR210810.1,0.0497345
OR210799.1,OR210654.1,0.0395358
OR210748.1,OR210671.1,0.0499526
OR210764.1,OR210669.1,0.0430756
OR210859.1,OR210634.1,0.0471637
OR210818.1,OR210640.1,0.0260178
OR210781.1,OR210639.1,0.0499683
OR210929.1,OR210809.1,0.0396804
OR210799.1,OR210653.1,0.043667
OR210764.1,OR210668.1,0.0430756
OR210838.1,OR210658.1,0.0463257
OR210781.1,OR210638.1,0.0430626
OR210748.1,OR210657.1,0.0461871
OR210799.1,OR210651.1,0.0394495
OR210764.1,OR210667.1,0.0430756
OR210929.1,OR210796.1,0.0435025
OR210838.1,OR210655.1,0.0394353
OR210881.1,OR210657.1,0.0361823
OR210781.1,OR210634.1,0.0397435
OR210748.1,OR210652.1,0.0427454
OR210799.1,OR210650.1,0.0359346
OR210838.1,OR210654.1,0.0431585
OR210764.1,OR210661.1,0.0395314
OR210859.1,OR210614.1,0.0465427
OR210929.1,OR210785.1,0.0295706
OR210818.1,OR210597.1,0.0465986
OR210838.1,OR210653.1,0.0328646
OR210748.1,OR210639.1,0.0498
OR210764.1,OR210657.1,0.0461921
OR210881.1,OR210638.1,0.0429756
OR210781.1,OR210617.1,0.0394267
OR210799.1,OR210643.1,0.0432298
OR210929.1,OR210784.1,0.0363689
OR210859.1,OR210610.1,0.0293588
OR210838.1,OR210651.1,0.0293541
OR210748.1,OR210638.1,0.0325645
OR210764.1,OR210652.1,0.0427506
OR210818.1,OR210584.1,0.0466794
OR210903.1,OR210612.1,0.0435011
OR210781.1,OR210614.1,0.0431333
OR210881.1,OR210634.1,0.0396611
OR210929.1,OR210782.1,0.0432311
OR210799.1,OR210640.1,0.0161416
OR210838.1,OR210648.1,0.0466977
OR210748.1,OR210634.1,0.029277
OR210859.1,OR210599.1,0.0429555
OR210764.1,OR210639.1,0.0427748
OR210781.1,OR210610.1,0.0402026
OR210929.1,OR210781.1,0.0401829
OR210838.1,OR210646.1,0.036149
OR210818.1,OR210561.1,0.036019
OR210881.1,OR210617.1,0.0463038
OR210748.1,OR210628.1,0.042923
OR210764.1,OR210638.1,0.0325663
OR210781.1,OR210609.1,0.0397468
OR210859.1,OR210593.1,0.0496762
OR210838.1,OR210643.1,0.0260865
OR210929.1,OR210775.1,0.0292939
OR210903.1,OR210569.1,0.0432768
OR210881.1,OR210609.1,0.0466738
OR210781.1,OR210608.1,0.0336702
OR210764.1,OR210634.1,0.0292787
