ID1,ID2,Distance
MN424894.1,MN424918.1,0.00901213
MN424818.1,MN424851.1,0.0103055
MN424818.1,MN424879.1,0.00641374
MN425652.1,MN425689.1,0.0142705
MN424894.1,MN425013.1,0.0070516
MN425035.1,MN425086.1,0.014221
MN424818.1,MN425076.1,0.0116007
MN424894.1,MN425751.1,0.00448913
MN424894.1,MN425756.1,0.00448348
MN424818.1,MN425703.1,0.00319966
MN425767.1,MN425814.1,0.00705947
MN424967.1,MN425050.1,0.0129152
MN424585.1,MN424723.1,0.0135464
MN424967.1,MN425079.1,0.0142246
MN424967.1,MN425670.1,0.0103029
MN424967.1,MN425722.1,0.014235
MN424967.1,MN425766.1,0.0135551
MN425654.1,MN425689.1,0.0122456
MN424967.1,MN425847.1,0.0135554
MN424819.1,MN424829.1,0.00448462
MN424819.1,MN424894.1,0.00383734
MN424819.1,MN424918.1,0.00900319
MN424895.1,MN425034.1,0.00384134
MN424895.1,MN425057.1,0.00512563
MN424819.1,MN425013.1,0.00640434
MN424819.1,MN425070.1,0.0135535
MN424819.1,MN425751.1,0.0044835
MN424819.1,MN425756.1,0.00447933
MN425655.1,MN425659.1,0.0064136
MN425037.1,MN425098.1,0.0109782
MN424896.1,MN425067.1,0.00771806
MN424896.1,MN425075.1,0.00641801
MN424820.1,MN424872.1,0.0064044
MN424968.1,MN425058.1,0.0135716
MN424968.1,MN425806.1,0.0148807
MN424968.1,MN425822.1,0.0148946
MN424587.1,MN424602.1,0.00769659
MN424587.1,MN424721.1,0.00835138
MN424587.1,MN424725.1,0.00769659
MN424587.1,MN424726.1,0.00447931
MN424587.1,MN424737.1,0.0122677
MN425038.1,MN425055.1,0.00127765
MN425038.1,MN425063.1,0.00256127
MN425038.1,MN425077.1,0.00127765
MN424897.1,MN424965.1,0.0136013
MN424897.1,MN424979.1,0.0129283
MN424897.1,MN425046.1,0.0149846
MN424897.1,MN425085.1,0.0148808
MN424897.1,MN425842.1,0.0136248
MN425771.1,MN425847.1,0.0148667
MN424821.1,MN424824.1,0.00771345
MN424821.1,MN424830.1,0.0089985
MN424821.1,MN424831.1,0.0109494
MN424821.1,MN424848.1,0.0109587
MN424821.1,MN424867.1,0.0122461
MN424821.1,MN424874.1,0.00770992
MN424821.1,MN424886.1,0.0103031
MN424821.1,MN424910.1,0.0135709
MN424821.1,MN424915.1,0.00964233
MN424821.1,MN424916.1,0.0148969
MN424821.1,MN424923.1,0.0122689
MN424821.1,MN424944.1,0.0141979
MN424821.1,MN424950.1,0.00965325
MN424821.1,MN424952.1,0.0148657
MN424821.1,MN424967.1,0.0129071
