ID1,ID2,Distance
MK025247.1,MK025250.1,0.0392735
MK025232.1,MK025235.1,0.0259367
MK025247.1,MK025253.1,0.0381629
MK025232.1,MK025240.1,0.0340616
MK025232.1,MK025241.1,0.0350575
MK025247.1,MK025257.1,0.0340613
MK025232.1,MK025243.1,0.0381127
MK025262.1,MK025278.1,0.0394801
MK025232.1,MK025246.1,0.0336334
MK025325.1,MK025326.1,0.038138
MK025232.1,MK025250.1,0.0280323
MK025302.1,MK025304.1,0.0385614
MK025247.1,MK025278.1,0.0371998
MK025314.1,MK025321.1,0.0284457
MK025232.1,MK025251.1,0.0349611
MK025325.1,MK025327.1,0.03624
MK025232.1,MK025252.1,0.0353667
MK025232.1,MK025253.1,0.0330707
MK025314.1,MK025324.1,0.0304042
MK025232.1,MK025254.1,0.033807
MK025325.1,MK025330.1,0.0377685
MK025314.1,MK025325.1,0.0355508
MK025325.1,MK025331.1,0.0319741
MK025232.1,MK025257.1,0.0280902
MK025325.1,MK025332.1,0.0371401
MK025314.1,MK025327.1,0.0377868
MK025289.1,MK025321.1,0.0387058
MK025314.1,MK025328.1,0.0391885
MK025232.1,MK025260.1,0.0270113
MK025325.1,MK025334.1,0.0370104
MK025262.1,MK025321.1,0.0344058
MK025302.1,MK025321.1,0.0336416
MK025232.1,MK025261.1,0.0304823
MK025314.1,MK025330.1,0.0397203
MK025325.1,MK025337.1,0.0351637
MK025302.1,MK025323.1,0.0376859
MK025314.1,MK025331.1,0.0370094
MK025232.1,MK025268.1,0.0393685
MK025232.1,MK025269.1,0.0361958
MK025325.1,MK025342.1,0.0390389
MK025232.1,MK025271.1,0.0312396
MK025325.1,MK025345.1,0.0345536
MK025325.1,MK025347.1,0.0381315
MK025232.1,MK025278.1,0.0225488
MK025232.1,MK025279.1,0.033027
MK025325.1,MK025349.1,0.0369492
MK025232.1,MK025282.1,0.0351392
MK025325.1,MK025350.1,0.0308847
MK025232.1,MK025283.1,0.0316215
MK025325.1,MK025351.1,0.0381087
MK025314.1,MK025349.1,0.0364211
MK025314.1,MK025350.1,0.0369797
MK025314.1,MK025351.1,0.0354885
MK025325.1,MK025356.1,0.0336809
MK025232.1,MK025291.1,0.037199
MK025232.1,MK025292.1,0.0346744
MK025232.1,MK025294.1,0.032108
MK025314.1,MK025356.1,0.0397089
MK025232.1,MK025297.1,0.0376236
MK025302.1,MK025351.1,0.0397281
MK025232.1,MK025299.1,0.0351368
MK025325.1,MK025363.1,0.0390135
MK025232.1,MK025300.1,0.0305425
MK025325.1,MK025364.1,0.0359369
MK025232.1,MK025301.1,0.0340177
MK025314.1,MK025363.1,0.0385181
MK025232.1,MK025303.1,0.0355787
MK025314.1,MK025364.1,0.0320437
MK025302.1,MK025356.1,0.0390261
MK025325.1,MK025366.1,0.0335613
MK025232.1,MK025304.1,0.0380368
MK025325.1,MK025367.1,0.0350544
MK025314.1,MK025366.1,0.0375867
MK025232.1,MK025305.1,0.0297404
MK025314.1,MK025367.1,0.035528
MK025232.1,MK025306.1,0.035642
MK025232.1,MK025307.1,0.0389665
MK025232.1,MK025310.1,0.0381776
MK025325.1,MK025374.1,0.0340655
MK025232.1,MK025313.1,0.0299499
MK025232.1,MK025314.1,0.0391691
MK025325.1,MK025377.1,0.0315421
MK025314.1,MK025379.1,0.0390791
MK025232.1,MK025320.1,0.0396115
MK025325.1,MK025379.1,0.0395613
MK025232.1,MK025321.1,0.0229753
MK025314.1,MK025381.1,0.0397092
MK025232.1,MK025322.1,0.0395298
MK025325.1,MK025381.1,0.0371364
MK025232.1,MK025323.1,0.039293
MK025232.1,MK025324.1,0.0274572
MK025314.1,MK025384.1,0.0395093
MK025232.1,MK025325.1,0.0294799
MK025325.1,MK025384.1,0.0334753
MK025232.1,MK025326.1,0.0360825
MK025314.1,MK025386.1,0.0371263
MK025232.1,MK025327.1,0.0343408
MK025302.1,MK025377.1,0.0392953
MK025232.1,MK025331.1,0.0310798
MK025314.1,MK025390.1,0.0370766
MK025325.1,MK025389.1,0.0330193
MK025325.1,MK025390.1,0.0351359
MK025232.1,MK025334.1,0.0319717
MK025325.1,MK025391.1,0.0371113
MK025232.1,MK025337.1,0.029956
MK025325.1,MK025393.1,0.0380598
MK025232.1,MK025343.1,0.039291
MK025325.1,MK025397.1,0.0381274
MK025302.1,MK025390.1,0.0398712
MK025314.1,MK025402.1,0.0320261
MK025232.1,MK025345.1,0.0398499
MK025325.1,MK025399.1,0.0392535
MK025232.1,MK025348.1,0.0390588
MK025314.1,MK025406.1,0.0375609
MK025232.1,MK025349.1,0.0329649
MK025325.1,MK025402.1,0.0259517
MK025232.1,MK025350.1,0.0319323
MK025232.1,MK025351.1,0.0361191
MK025232.1,MK025354.1,0.0384064
MK025247.1,MK025427.1,0.0398613
MK025325.1,MK025406.1,0.0370162
MK025232.1,MK025356.1,0.033669
MK025232.1,MK025358.1,0.037564
MK025314.1,MK025414.1,0.0370977
MK025232.1,MK025360.1,0.0386198
MK025325.1,MK025411.1,0.0340545
MK025232.1,MK025363.1,0.0370037
MK025232.1,MK025364.1,0.0339531
MK025314.1,MK025418.1,0.0391535
MK025325.1,MK025414.1,0.0259577
MK025262.1,MK025445.1,0.0360372
MK025336.1,MK025487.1,0.038498
MK025314.1,MK025419.1,0.0370014
MK025232.1,MK025366.1,0.0356259
MK025325.1,MK025417.1,0.0389885
MK025302.1,MK025434.1,0.0395768
MK025232.1,MK025367.1,0.0319852
MK025314.1,MK025421.1,0.0350323
MK025325.1,MK025418.1,0.032122
MK025314.1,MK025422.1,0.0397088
MK025325.1,MK025419.1,0.0288703
MK025314.1,MK025423.1,0.0364958
MK025314.1,MK025424.1,0.0309462
MK025325.1,MK025421.1,0.0330247
MK025314.1,MK025425.1,0.0339698
MK025325.1,MK025422.1,0.0289484
MK025232.1,MK025374.1,0.036039
MK025325.1,MK025423.1,0.0329537
MK025314.1,MK025427.1,0.0335711
MK025325.1,MK025424.1,0.0309956
MK025232.1,MK025377.1,0.0315792
MK025325.1,MK025425.1,0.033484
MK025302.1,MK025443.1,0.0373408
MK025247.1,MK025487.1,0.0382298
MK025325.1,MK025427.1,0.0285518
MK025314.1,MK025431.1,0.0396792
MK025232.1,MK025381.1,0.0381748
MK025232.1,MK025384.1,0.0375453
MK025232.1,MK025385.1,0.039228
MK025325.1,MK025431.1,0.0325699
MK025314.1,MK025434.1,0.0360128
MK025325.1,MK025433.1,0.0361391
MK025232.1,MK025388.1,0.0376189
MK025325.1,MK025434.1,0.035125
MK025232.1,MK025389.1,0.0329905
MK025232.1,MK025390.1,0.0316476
MK025314.1,MK025440.1,0.0325385
MK025232.1,MK025391.1,0.0386614
MK025314.1,MK025442.1,0.0369948
MK025262.1,MK025487.1,0.0389427
MK025325.1,MK025440.1,0.0340629
MK025336.1,MK025521.1,0.039545
MK025232.1,MK025397.1,0.0331529
MK025314.1,MK025445.1,0.0360671
MK025325.1,MK025442.1,0.0340645
MK025314.1,MK025446.1,0.0360603
MK025232.1,MK025400.1,0.0360999
MK025325.1,MK025443.1,0.0299728
MK025314.1,MK025447.1,0.0360018
MK025232.1,MK025402.1,0.026052
MK025325.1,MK025444.1,0.0299418
MK025314.1,MK025448.1,0.0341237
MK025247.1,MK025521.1,0.0391203
MK025325.1,MK025445.1,0.0379273
MK025314.1,MK025450.1,0.0385901
MK025302.1,MK025467.1,0.0371592
MK025232.1,MK025406.1,0.0356931
MK025262.1,MK025500.1,0.0359729
MK025325.1,MK025446.1,0.028493
MK025336.1,MK025532.1,0.0387515
MK025325.1,MK025447.1,0.0339329
MK025232.1,MK025410.1,0.0376608
MK025325.1,MK025448.1,0.0351938
MK025314.1,MK025455.1,0.0397072
MK025232.1,MK025411.1,0.0330689
MK025325.1,MK025450.1,0.0386811
MK025232.1,MK025414.1,0.0290495
MK025314.1,MK025459.1,0.0324972
MK025232.1,MK025417.1,0.0390954
MK025325.1,MK025453.1,0.0380482
MK025232.1,MK025418.1,0.0300484
MK025325.1,MK025454.1,0.0375551
MK025232.1,MK025419.1,0.0289558
MK025314.1,MK025462.1,0.0386339
MK025325.1,MK025456.1,0.0319335
MK025232.1,MK025421.1,0.026101
MK025232.1,MK025422.1,0.0310446
MK025232.1,MK025423.1,0.0320092
MK025232.1,MK025424.1,0.0331222
MK025325.1,MK025459.1,0.0345548
MK025314.1,MK025467.1,0.0398122
MK025232.1,MK025425.1,0.0336511
MK025325.1,MK025460.1,0.0360721
MK025314.1,MK025468.1,0.0348752
MK025302.1,MK025487.1,0.0377808
MK025232.1,MK025427.1,0.0265898
MK025325.1,MK025463.1,0.0361504
MK025314.1,MK025471.1,0.0375394
MK025262.1,MK025532.1,0.0394362
MK025302.1,MK025500.1,0.0387144
MK025232.1,MK025431.1,0.0331105
MK025232.1,MK025432.1,0.0385303
MK025232.1,MK025433.1,0.0361677
MK025325.1,MK025467.1,0.0384734
MK025314.1,MK025475.1,0.0380046
MK025232.1,MK025434.1,0.0321866
MK025325.1,MK025468.1,0.0379515
MK025325.1,MK025469.1,0.0370531
MK025337.1,MK025345.1,0.0382301
MK025325.1,MK025471.1,0.0349513
MK025302.1,MK025509.1,0.0394037
MK025314.1,MK025480.1,0.0371567
MK025337.1,MK025347.1,0.039686
MK025232.1,MK025440.1,0.0320855
MK025314.1,MK025481.1,0.0354406
MK025337.1,MK025349.1,0.0394992
MK025232.1,MK025442.1,0.0320357
MK025232.1,MK025443.1,0.0249539
MK025314.1,MK025484.1,0.0329908
MK025325.1,MK025476.1,0.0390291
MK025337.1,MK025351.1,0.0345482
MK025232.1,MK025444.1,0.0309556
MK025325.1,MK025477.1,0.0330639
MK025314.1,MK025485.1,0.0356251
MK025232.1,MK025445.1,0.0344212
MK025337.1,MK025354.1,0.0389017
MK025302.1,MK025521.1,0.0397885
MK025232.1,MK025446.1,0.0295399
MK025314.1,MK025487.1,0.0258989
MK025232.1,MK025447.1,0.0289504
MK025337.1,MK025356.1,0.0250808
MK025232.1,MK025448.1,0.0321136
MK025325.1,MK025481.1,0.0339212
MK025325.1,MK025482.1,0.036653
MK025232.1,MK025450.1,0.0366912
MK025314.1,MK025493.1,0.0367842
MK025325.1,MK025483.1,0.0391435
MK025232.1,MK025454.1,0.0375875
MK025232.1,MK025456.1,0.0371184
MK025325.1,MK025487.1,0.028985
MK025337.1,MK025364.1,0.0395812
MK025302.1,MK025532.1,0.0382342
MK025232.1,MK025457.1,0.0371858
MK025314.1,MK025500.1,0.0329654
MK025337.1,MK025366.1,0.0341152
MK025232.1,MK025459.1,0.0356485
MK025337.1,MK025367.1,0.0375579
MK025232.1,MK025460.1,0.0397538
MK025325.1,MK025494.1,0.0330581
MK025314.1,MK025504.1,0.0331973
MK025232.1,MK025463.1,0.0350984
MK025337.1,MK025370.1,0.0385247
MK025314.1,MK025506.1,0.0360265
MK025325.1,MK025497.1,0.038135
MK025302.1,MK025541.1,0.0356669
MK025232.1,MK025467.1,0.0365047
MK025314.1,MK025509.1,0.0326146
MK025232.1,MK025468.1,0.0370199
MK025337.1,MK025374.1,0.0355614
MK025302.1,MK025543.1,0.03926
MK025325.1,MK025500.1,0.0299439
MK025232.1,MK025469.1,0.0309453
MK025232.1,MK025471.1,0.036046
MK025337.1,MK025377.1,0.0371133
MK025232.1,MK025473.1,0.0371847
MK025325.1,MK025504.1,0.0330225
MK025302.1,MK025548.1,0.0366859
MK025232.1,MK025476.1,0.0381133
MK025302.1,MK025488.1,0.0395236
MK025325.1,MK025506.1,0.0285378
