ID1,ID2,Distance
MH073372.1,MH073344.1,0.0239559
MH073570.1,MH072100.1,0.0365915
MH073372.1,MH072927.1,0.036762
MH073569.1,MH073555.1,0.0238428
MH073681.1,MH073595.1,0.0192146
MH074473.1,MH074471.1,0.0224092
MH074346.1,MH073582.1,0.0376076
MH074473.1,MH074369.1,0.0396246
MH073681.1,MH072773.1,0.0292957
MH073569.1,MH072471.1,0.0259428
MH073569.1,MH072166.1,0.0360075
MH074346.1,MH072059.1,0.0201518
MH073465.1,MH072582.1,0.0393329
MH073372.1,MH072736.1,0.0368743
MH073465.1,MH072103.1,0.0171341
MH074605.1,MH073138.1,0.0216251
MH074605.1,MH073012.1,0.0229407
MH074605.1,MH072581.1,0.0206557
MH073464.1,MH073313.1,0.0374609
MH073370.1,MH073301.1,0.021566
MH073566.1,MH073367.1,0.0396949
MH073464.1,MH073056.1,0.0385051
MH073370.1,MH072837.1,0.0376466
MH073464.1,MH072757.1,0.0374445
MH073566.1,MH072453.1,0.039482
MH073566.1,MH072324.1,0.0396452
MH073566.1,MH072233.1,0.038049
MH073566.1,MH072219.1,0.0394578
MH073464.1,MH072306.1,0.0396852
MH074603.1,MH074598.1,0.0295735
MH073368.1,MH073135.1,0.0388515
MH074743.1,MH074561.1,0.0391178
MH073368.1,MH072846.1,0.0317213
MH073368.1,MH072597.1,0.0393066
MH073368.1,MH072462.1,0.0372497
MH073368.1,MH072124.1,0.0333709
MH073368.1,MH073345.1,0.0360552
MH073367.1,MH073325.1,0.0397016
MH073367.1,MH073319.1,0.0342089
MH073367.1,MH073312.1,0.0398354
MH073367.1,MH073281.1,0.0316223
MH073367.1,MH073265.1,0.0368634
MH073367.1,MH073254.1,0.0315421
MH073367.1,MH073214.1,0.0326752
MH073367.1,MH073201.1,0.025648
MH073367.1,MH073175.1,0.0388868
MH073367.1,MH073126.1,0.0286906
MH073367.1,MH073089.1,0.0377031
MH073367.1,MH073081.1,0.0377352
MH073367.1,MH073078.1,0.0346949
MH073367.1,MH073068.1,0.0377771
MH073367.1,MH073031.1,0.0386126
MH073367.1,MH073029.1,0.0397068
MH073367.1,MH073026.1,0.0316282
MH073367.1,MH073025.1,0.0387314
MH073367.1,MH073013.1,0.0395865
MH073367.1,MH072990.1,0.0368423
MH073367.1,MH072988.1,0.0377684
MH073367.1,MH072979.1,0.0332315
MH073367.1,MH072970.1,0.0306379
MH073367.1,MH072966.1,0.0387864
MH073367.1,MH072943.1,0.0384627
MH073367.1,MH072918.1,0.0391362
MH073367.1,MH072907.1,0.0387087
MH073367.1,MH072902.1,0.0396442
MH073367.1,MH072901.1,0.0336054
MH073367.1,MH072883.1,0.0326779
MH073367.1,MH072880.1,0.0276484
MH073367.1,MH072871.1,0.0305448
MH073367.1,MH072849.1,0.0321572
MH073367.1,MH072843.1,0.0398131
MH073367.1,MH072842.1,0.0386027
MH073367.1,MH072841.1,0.0378163
MH073367.1,MH072826.1,0.0389707
MH073367.1,MH072823.1,0.0341697
MH073367.1,MH072820.1,0.0388299
MH073367.1,MH072817.1,0.0397545
MH073367.1,MH072816.1,0.0387618
MH073367.1,MH072802.1,0.0380299
MH073367.1,MH072787.1,0.0368492
MH073367.1,MH072777.1,0.0367331
MH073367.1,MH072771.1,0.0396311
MH073367.1,MH072770.1,0.0345658
MH073367.1,MH072763.1,0.0367931
MH073367.1,MH072748.1,0.0306867
MH073367.1,MH072744.1,0.0342077
