ID1,ID2,Distance
KJ373675.1,KJ373666.1,0.0442999
KJ373587.1,KJ373586.1,0.0477243
KJ373675.1,KJ373663.1,0.0424141
KJ373587.1,KJ373584.1,0.0460961
KJ373587.1,KJ373580.1,0.032672
KJ373587.1,KJ373578.1,0.0384929
KJ373587.1,KJ373577.1,0.046028
KJ373587.1,KJ373576.1,0.0402447
KJ373587.1,KJ373575.1,0.0384266
KJ373587.1,KJ373572.1,0.0403259
KJ373587.1,KJ373571.1,0.0347356
KJ373587.1,KJ373570.1,0.0459624
KJ373675.1,KJ373641.1,0.0385427
KJ373587.1,KJ373564.1,0.0383893
KJ373587.1,KJ373562.1,0.0498965
KJ373545.1,KJ373542.1,0.0481476
KJ373675.1,KJ373634.1,0.0461214
KJ373506.1,KJ373501.1,0.0461388
KJ373587.1,KJ373558.1,0.0363941
KJ373469.1,KJ373442.1,0.0499954
KJ373434.1,KJ373433.1,0.0442989
KJ373545.1,KJ373535.1,0.0460475
KJ373587.1,KJ373555.1,0.0384172
KJ373506.1,KJ373496.1,0.0446092
KJ373369.1,KJ373367.1,0.0421963
KJ373469.1,KJ373408.1,0.0499604
KJ373545.1,KJ373531.1,0.0440219
KJ373434.1,KJ373430.1,0.0498924
KJ373587.1,KJ373545.1,0.0309139
KJ373506.1,KJ373488.1,0.044474
KJ373675.1,KJ373502.1,0.0423132
KJ373369.1,KJ373363.1,0.0497905
KJ373545.1,KJ373525.1,0.047844
KJ373587.1,KJ373544.1,0.0496352
KJ373506.1,KJ373484.1,0.0421411
KJ373545.1,KJ373524.1,0.0461488
KJ373369.1,KJ373361.1,0.0480387
KJ373587.1,KJ373542.1,0.0478462
KJ373506.1,KJ373482.1,0.0499694
KJ373545.1,KJ373523.1,0.0367001
KJ373587.1,KJ373539.1,0.0421383
KJ373545.1,KJ373522.1,0.0480363
KJ373369.1,KJ373355.1,0.0478044
KJ373587.1,KJ373538.1,0.0458628
KJ373434.1,KJ373422.1,0.04422
KJ373469.1,KJ373376.1,0.0385283
KJ373369.1,KJ373351.1,0.0440705
KJ373587.1,KJ373535.1,0.0346007
KJ373545.1,KJ373516.1,0.0461423
KJ373434.1,KJ373421.1,0.0499658
KJ373506.1,KJ373465.1,0.0460294
KJ373545.1,KJ373514.1,0.0496894
KJ373369.1,KJ373344.1,0.0401792
KJ373587.1,KJ373529.1,0.0478457
KJ373506.1,KJ373463.1,0.049934
KJ373545.1,KJ373512.1,0.0478482
KJ373587.1,KJ373528.1,0.0481722
KJ373506.1,KJ373460.1,0.0365548
KJ373587.1,KJ373527.1,0.0440105
KJ373545.1,KJ373506.1,0.0479558
KJ373369.1,KJ373332.1,0.047935
KJ373587.1,KJ373525.1,0.0383027
KJ373506.1,KJ373456.1,0.0499267
KJ373469.1,KJ373349.1,0.0459229
KJ373587.1,KJ373524.1,0.0364712
KJ373369.1,KJ373328.1,0.0499153
KJ373587.1,KJ373523.1,0.0348445
KJ373545.1,KJ373496.1,0.0386712
KJ373434.1,KJ373410.1,0.0422235
KJ373369.1,KJ373327.1,0.0439118
KJ373587.1,KJ373522.1,0.0422246
KJ373506.1,KJ373447.1,0.0483176
KJ373545.1,KJ373494.1,0.0422246
KJ373369.1,KJ373324.1,0.0499001
KJ373587.1,KJ373520.1,0.0403186
KJ373506.1,KJ373445.1,0.044116
KJ373545.1,KJ373492.1,0.046031
KJ373434.1,KJ373406.1,0.0366959
KJ373587.1,KJ373518.1,0.0460441
KJ373675.1,KJ373417.1,0.0497543
KJ373506.1,KJ373440.1,0.0497236
KJ373545.1,KJ373488.1,0.0386447
KJ373369.1,KJ373314.1,0.0421961
KJ373587.1,KJ373516.1,0.0460334
KJ373545.1,KJ373487.1,0.0309801
KJ373506.1,KJ373434.1,0.0481598
KJ373587.1,KJ373514.1,0.0458201
KJ373369.1,KJ373309.1,0.0479921
KJ373545.1,KJ373484.1,0.0421916
KJ373434.1,KJ373400.1,0.044389
KJ373675.1,KJ373404.1,0.0366569
KJ373587.1,KJ373512.1,0.043969
