ID1,ID2,Distance
MF457126.1,MF457125.1,0.034727
MF457126.1,MF457122.1,0.0367559
MF457126.1,MF457116.1,0.0326225
MF456959.1,MF456954.1,0.0363193
MF457126.1,MF457113.1,0.0269653
MF457326.1,MF457288.1,0.0342218
MF456959.1,MF456950.1,0.0394041
MF457326.1,MF457286.1,0.0393922
MF457126.1,MF457103.1,0.0362212
MF457126.1,MF457102.1,0.039386
MF457326.1,MF457278.1,0.0383787
MF457126.1,MF457099.1,0.0300832
MF456959.1,MF456941.1,0.0394065
MF457126.1,MF457094.1,0.0310454
MF457126.1,MF457086.1,0.0300864
MF457326.1,MF457258.1,0.039414
MF457126.1,MF457081.1,0.0270178
MF457126.1,MF457077.1,0.0352395
MF457126.1,MF457076.1,0.0290479
MF457126.1,MF457075.1,0.0337608
MF457126.1,MF457073.1,0.035289
MF457326.1,MF457235.1,0.0386872
MF457126.1,MF457068.1,0.0383958
MF457126.1,MF457066.1,0.0367824
MF457126.1,MF457063.1,0.0373287
MF457126.1,MF457059.1,0.0270607
MF457126.1,MF457058.1,0.0347194
MF457126.1,MF457057.1,0.037285
MF457126.1,MF457056.1,0.0362981
MF457126.1,MF457055.1,0.0352795
MF457126.1,MF457050.1,0.0364212
MF457126.1,MF457049.1,0.035233
MF457126.1,MF457048.1,0.0362784
MF457126.1,MF457047.1,0.037325
MF457126.1,MF457044.1,0.0394339
MF457126.1,MF457043.1,0.022921
MF457126.1,MF457037.1,0.0373593
MF457126.1,MF457035.1,0.0373298
MF457126.1,MF457027.1,0.0372712
MF457126.1,MF457023.1,0.0264907
MF456884.1,MF456792.1,0.00293928
MF457126.1,MF457018.1,0.0395647
MF457126.1,MF457016.1,0.0352748
MF456959.1,MF456919.1,0.0326354
MF457326.1,MF457154.1,0.0371554
MF457126.1,MF457010.1,0.039414
MF457126.1,MF457009.1,0.0332054
MF457126.1,MF457008.1,0.0379188
MF457126.1,MF457006.1,0.0294902
MF457126.1,MF457005.1,0.0347284
MF457126.1,MF457002.1,0.0359738
MF457326.1,MF457137.1,0.0341304
MF457126.1,MF456994.1,0.0399664
MF457126.1,MF456992.1,0.0393414
MF457326.1,MF457126.1,0.0383762
MF457326.1,MF457125.1,0.0398124
MF457126.1,MF456982.1,0.0385006
MF457126.1,MF456979.1,0.0331226
MF456884.1,MF456696.1,0.0373236
MF457326.1,MF457113.1,0.0341493
MF457126.1,MF456973.1,0.0378164
MF456959.1,MF456881.1,0.0377558
MF456884.1,MF456676.1,0.032422
MF456959.1,MF456875.1,0.0389411
MF456959.1,MF456874.1,0.0321355
MF457126.1,MF456963.1,0.0270699
MF457326.1,MF457094.1,0.0393093
MF457126.1,MF456962.1,0.0382694
MF457126.1,MF456961.1,0.0373787
MF457126.1,MF456960.1,0.0280003
MF457126.1,MF456959.1,0.0352739
MF457126.1,MF456958.1,0.0393874
MF457126.1,MF456957.1,0.0379961
MF457126.1,MF456956.1,0.0362234
MF457126.1,MF456954.1,0.0352187
MF457126.1,MF456953.1,0.0357135
MF457126.1,MF456951.1,0.0393738
MF456959.1,MF456859.1,0.0347264
MF457126.1,MF456950.1,0.0310316
MF457126.1,MF456948.1,0.031055
MF457126.1,MF456947.1,0.0393745
MF457126.1,MF456943.1,0.0357456
MF457126.1,MF456941.1,0.027
MF456959.1,MF456847.1,0.0343114
MF457126.1,MF456940.1,0.0398042
MF456959.1,MF456845.1,0.0316417
MF457126.1,MF456938.1,0.030574
MF457126.1,MF456935.1,0.0280374
MF457126.1,MF456934.1,0.0290601
MF457126.1,MF456933.1,0.0363119
MF457126.1,MF456931.1,0.0393672
MF457126.1,MF456930.1,0.0343566
MF457126.1,MF456928.1,0.0372569
MF457326.1,MF457043.1,0.0321702
MF457126.1,MF456923.1,0.036257
MF457126.1,MF456922.1,0.0394662
MF457126.1,MF456919.1,0.0256489
MF457126.1,MF456918.1,0.0300491
MF457126.1,MF456916.1,0.0342154
MF457126.1,MF456915.1,0.0300859
MF457326.1,MF457023.1,0.0346719
MF456959.1,MF456817.1,0.031106
MF457126.1,MF456911.1,0.0341606
MF456959.1,MF456813.1,0.0383931
MF457126.1,MF456906.1,0.0388675
MF456959.1,MF456808.1,0.0332954
MF457326.1,MF457006.1,0.0387705
MF457126.1,MF456900.1,0.0373587
MF457126.1,MF456899.1,0.0357818
MF457126.1,MF456897.1,0.03357
MF457126.1,MF456896.1,0.0394722
MF457126.1,MF456895.1,0.0392807
MF457126.1,MF456887.1,0.0394606
MF457126.1,MF456886.1,0.0363163
MF457126.1,MF456881.1,0.0336012
MF457126.1,MF456877.1,0.0361909
MF456959.1,MF456781.1,0.0394651
MF457126.1,MF456875.1,0.0285041
MF457126.1,MF456874.1,0.0270163
MF456959.1,MF456778.1,0.0382608
MF457126.1,MF456871.1,0.0373188
MF456884.1,MF456402.1,0.0204229
MF457126.1,MF456870.1,0.0321095
MF456959.1,MF456772.1,0.0322034
MF457126.1,MF456867.1,0.0388249
MF457326.1,MF456963.1,0.0310718
MF457126.1,MF456865.1,0.0342468
MF457326.1,MF456960.1,0.0362139
MF457126.1,MF456860.1,0.0327967
MF456959.1,MF456764.1,0.0383684
MF456884.1,MF456373.1,0.032576
MF457326.1,MF456954.1,0.0394127
MF457126.1,MF456859.1,0.0310817
MF456959.1,MF456763.1,0.0353582
MF457126.1,MF456858.1,0.0358109
MF456959.1,MF456760.1,0.0332909
MF456959.1,MF456758.1,0.0394588
MF457126.1,MF456850.1,0.0341849
MF456959.1,MF456755.1,0.0357603
MF457126.1,MF456847.1,0.0341534
MF456959.1,MF456752.1,0.0395005
MF457326.1,MF456938.1,0.0387715
MF457126.1,MF456845.1,0.0274845
MF456959.1,MF456750.1,0.0353095
MF457126.1,MF456840.1,0.0358438
MF456959.1,MF456746.1,0.0327141
MF457126.1,MF456836.1,0.0330992
MF457126.1,MF456835.1,0.0373116
MF456959.1,MF456740.1,0.0383983
MF457126.1,MF456833.1,0.0336483
MF456884.1,MF456299.1,0.0301122
MF457126.1,MF456832.1,0.0371971
MF457326.1,MF456919.1,0.0310094
MF456959.1,MF456736.1,0.0395038
MF456959.1,MF456734.1,0.0367639
MF457126.1,MF456824.1,0.0378889
MF457126.1,MF456823.1,0.0362462
MF456884.1,MF456274.1,0.0378998
MF457126.1,MF456821.1,0.0399389
MF457126.1,MF456817.1,0.0326053
MF457126.1,MF456813.1,0.0331487
MF456959.1,MF456719.1,0.0321669
MF456959.1,MF456718.1,0.0373062
MF457126.1,MF456808.1,0.0321685
MF457126.1,MF456804.1,0.0383059
MF457126.1,MF456803.1,0.0372745
MF457126.1,MF456802.1,0.0363946
MF456959.1,MF456710.1,0.0394339
MF457126.1,MF456801.1,0.0394559
MF457326.1,MF456886.1,0.0394207
MF456959.1,MF456708.1,0.0332383
MF457126.1,MF456798.1,0.0367574
MF457326.1,MF456881.1,0.0376953
MF457126.1,MF456797.1,0.0393883
MF457126.1,MF456794.1,0.0393389
MF456959.1,MF456701.1,0.0316575
MF457126.1,MF456791.1,0.0341966
MF457126.1,MF456790.1,0.0363103
MF457326.1,MF456870.1,0.0362849
MF457126.1,MF456789.1,0.0353018
MF456959.1,MF456696.1,0.037418
MF457126.1,MF456782.1,0.0372648
MF457126.1,MF456781.1,0.0282804
MF457126.1,MF456780.1,0.0372574
MF457126.1,MF456778.1,0.0371826
MF457126.1,MF456772.1,0.0332298
MF457326.1,MF456847.1,0.0341183
MF457126.1,MF456770.1,0.0361586
MF457040.1,MF456512.1,0.0374226
MF457326.1,MF456845.1,0.0336986
MF456959.1,MF456678.1,0.0394727
MF457126.1,MF456764.1,0.0321166
MF457126.1,MF456763.1,0.0290516
MF457126.1,MF456760.1,0.0275684
MF457126.1,MF456759.1,0.035675
MF457126.1,MF456758.1,0.0300195
MF456884.1,MF456118.1,0.0271554
MF457126.1,MF456755.1,0.0398109
MF456959.1,MF456664.1,0.0342014
MF457126.1,MF456754.1,0.0378719
MF456884.1,MF456107.1,0.0375471
MF457126.1,MF456752.1,0.0373856
MF457126.1,MF456750.1,0.0320459
MF456884.1,MF456101.1,0.0383316
MF457126.1,MF456746.1,0.0254414
MF457126.1,MF456744.1,0.0384385
MF456959.1,MF456656.1,0.0331656
MF457126.1,MF456743.1,0.0388886
MF456884.1,MF456087.1,0.0292392
MF457126.1,MF456740.1,0.0373425
MF457326.1,MF456808.1,0.0352032
MF457126.1,MF456736.1,0.0352904
MF457126.1,MF456734.1,0.0264472
MF457126.1,MF456728.1,0.0352077
MF456959.1,MF456641.1,0.0300922
MF457126.1,MF456724.1,0.0280285
MF456959.1,MF456639.1,0.0394723
MF456959.1,MF456636.1,0.035812
MF457126.1,MF456719.1,0.0267456
MF457126.1,MF456718.1,0.0300193
MF457126.1,MF456717.1,0.033627
MF456959.1,MF456633.1,0.0396313
MF457126.1,MF456715.1,0.0372658
MF456959.1,MF456630.1,0.0378773
MF457126.1,MF456713.1,0.0368408
MF457126.1,MF456712.1,0.0352656
MF457126.1,MF456710.1,0.0362189
MF457326.1,MF456772.1,0.0384164
MF457126.1,MF456708.1,0.0300966
MF457040.1,MF456379.1,0.0394521
MF457126.1,MF456705.1,0.0290089
MF457326.1,MF456763.1,0.0373434
MF457126.1,MF456703.1,0.0367915
MF457126.1,MF456701.1,0.0305714
MF457326.1,MF456760.1,0.0357921
MF457326.1,MF456758.1,0.0382353
