ID1,ID2,Distance
JF957397.1,JF957398.1,0.0302787
JF957397.1,JF957399.1,0.00178883
JF957375.1,JF957378.1,0.0394091
JF957438.1,JF957439.1,0.0197598
JF957397.1,JF957400.1,0.0306787
JF957397.1,JF957401.1,0.00560775
JF957397.1,JF957402.1,0.0363709
JF957397.1,JF957403.1,0.0314146
JF957418.1,JF957443.1,0.0388071
JF957418.1,JF957457.1,0.0341488
JF957375.1,JF957418.1,0.035928
JF957418.1,JF957478.1,0.0351322
JF957418.1,JF957479.1,0.0358619
JF957418.1,JF957482.1,0.039224
JF957418.1,JF957496.1,0.0369798
JF957375.1,JF957457.1,0.0391421
JF957457.1,JF957488.1,0.038657
JF957398.1,JF957399.1,0.0305259
JF957398.1,JF957400.1,0.0104659
JF957398.1,JF957401.1,0.031696
JF957398.1,JF957402.1,0.021514
JF957398.1,JF957403.1,0.0104659
JF957440.1,JF957441.1,0
JF957440.1,JF957442.1,0.0232392
JF957440.1,JF957443.1,0.020461
JF957420.1,JF957421.1,0.00134014
JF957420.1,JF957422.1,0.0111729
JF957458.1,JF957459.1,0.00842385
JF957399.1,JF957400.1,0.0309307
JF957399.1,JF957401.1,0.00380906
JF957399.1,JF957402.1,0.0380848
JF957399.1,JF957403.1,0.0316698
JF957441.1,JF957442.1,0.0232392
JF957420.1,JF957484.1,0.0260124
JF957441.1,JF957443.1,0.020461
JF957420.1,JF957496.1,0.0287967
JF957400.1,JF957401.1,0.0321
JF957400.1,JF957402.1,0.0232952
JF957400.1,JF957403.1,0
JF957442.1,JF957443.1,0.00268616
JF957421.1,JF957422.1,0.00913563
JF957378.1,JF957379.1,0.00201102
JF957401.1,JF957402.1,0.0392676
JF957421.1,JF957484.1,0.0284944
JF957401.1,JF957403.1,0.0335367
JF957421.1,JF957496.1,0.0298738
JF957443.1,JF957478.1,0.0386802
JF957443.1,JF957479.1,0.0387519
JF957461.1,JF957486.1,0.0163523
JF957378.1,JF957404.1,0.0384212
JF957378.1,JF957405.1,0.0399273
JF957444.1,JF957445.1,0.00067015
JF957478.1,JF957479.1,0.0379547
JF957462.1,JF957472.1,0.0331452
JF957402.1,JF957403.1,0.0240047
JF957378.1,JF957406.1,0.0399092
JF957462.1,JF957473.1,0.0367383
JF957378.1,JF957407.1,0.0370546
JF957378.1,JF957408.1,0.0391946
JF957462.1,JF957477.1,0.0208113
JF957378.1,JF957410.1,0.0316639
JF957378.1,JF957411.1,0.0387285
JF957378.1,JF957412.1,0.037287
JF957378.1,JF957413.1,0.0369377
JF957478.1,JF957491.1,0.0337351
JF957422.1,JF957484.1,0.032339
JF957378.1,JF957418.1,0.0309629
JF957444.1,JF957458.1,0.0355899
JF957444.1,JF957459.1,0.0395547
JF957422.1,JF957496.1,0.0373241
JF957378.1,JF957447.1,0.0204227
JF957378.1,JF957448.1,0.0162735
JF957378.1,JF957457.1,0.0349069
JF957378.1,JF957460.1,0.0391031
JF957378.1,JF957461.1,0.0381179
JF957378.1,JF957463.1,0.0337568
JF957378.1,JF957464.1,0.0344768
JF957378.1,JF957472.1,0.0388973
JF957378.1,JF957476.1,0.0355188
JF957378.1,JF957477.1,0.036444
JF957378.1,JF957478.1,0.016261
JF957378.1,JF957479.1,0.0366218
JF957378.1,JF957481.1,0.0381023
JF957378.1,JF957482.1,0.0378719
JF957378.1,JF957486.1,0.0395559
JF957378.1,JF957491.1,0.0225678
JF957378.1,JF957496.1,0.0399151
JF957378.1,JF957503.1,0.0366818
JF957463.1,JF957464.1,0
JF957463.1,JF957465.1,0.00812387
JF957463.1,JF957466.1,0.00812387
JF957463.1,JF957467.1,0.00812387
JF957463.1,JF957468.1,0.012204
JF957463.1,JF957469.1,0.00470983
JF957463.1,JF957470.1,0.00437449
JF957463.1,JF957478.1,0.0380476
JF957479.1,JF957485.1,0.0387011
JF957379.1,JF957410.1,0.0373546
JF957379.1,JF957418.1,0.036639
JF957379.1,JF957447.1,0.0266855
JF957379.1,JF957448.1,0.0224937
JF957379.1,JF957457.1,0.0391588
JF957379.1,JF957478.1,0.0210851
JF957379.1,JF957491.1,0.0281406
JF957464.1,JF957465.1,0.00812387
JF957464.1,JF957466.1,0.00812387
JF957464.1,JF957467.1,0.00812387
JF957464.1,JF957468.1,0.0128946
JF957464.1,JF957469.1,0.00470983
JF957464.1,JF957470.1,0.00437449
JF957404.1,JF957405.1,0.0128776
JF957404.1,JF957406.1,0.00336082
JF957464.1,JF957478.1,0.0387789
JF957404.1,JF957407.1,0.0108217
JF957404.1,JF957408.1,0.0128621
JF957404.1,JF957409.1,0.0374861
JF957404.1,JF957501.1,0.0289072
JF957380.1,JF957381.1,0.0108019
JF957380.1,JF957382.1,0.0166147
JF957380.1,JF957383.1,0.0152284
JF957380.1,JF957384.1,0.0107997
JF957380.1,JF957385.1,0.0128407
JF957380.1,JF957386.1,0.0162634
JF957380.1,JF957387.1,0.014211
JF957380.1,JF957388.1,0.0135284
JF957445.1,JF957458.1,0.0348667
JF957380.1,JF957389.1,0.0121649
JF957380.1,JF957390.1,0.0145515
JF957445.1,JF957459.1,0.0388241
JF957380.1,JF957391.1,0.020191
JF957380.1,JF957392.1,0.0183706
JF957380.1,JF957393.1,0.0176767
JF957380.1,JF957395.1,0.0204513
JF957380.1,JF957396.1,0.0183425
JF957380.1,JF957397.1,0.025082
JF957380.1,JF957398.1,0.0159173
JF957380.1,JF957399.1,0.0246224
JF957380.1,JF957400.1,0.0169652
JF957380.1,JF957401.1,0.0264574
JF957423.1,JF957424.1,0.00403265
JF957380.1,JF957402.1,0.0246256
JF957380.1,JF957403.1,0.0162803
JF957423.1,JF957425.1,0.0163052
JF957423.1,JF957426.1,0.0219228
JF957423.1,JF957427.1,0.0128711
JF957423.1,JF957428.1,0.0260457
JF957423.1,JF957429.1,0.00684449
JF957465.1,JF957466.1,0
JF957465.1,JF957467.1,0
JF957465.1,JF957468.1,0.026783
JF957465.1,JF957469.1,0.0177092
JF957465.1,JF957470.1,0.0139495
JF957481.1,JF957503.1,0.0387623
JF957405.1,JF957406.1,0.0163348
JF957405.1,JF957407.1,0
JF957405.1,JF957408.1,0.0047106
JF957405.1,JF957409.1,0.0367677
JF957405.1,JF957501.1,0.0289003
JF957381.1,JF957382.1,0.0201073
JF957381.1,JF957383.1,0.0180006
JF957381.1,JF957384.1,0.0148973
JF957381.1,JF957385.1,0.0162678
JF957381.1,JF957386.1,0.0183458
JF957381.1,JF957387.1,0.0183298
JF957381.1,JF957388.1,0.0176384
JF957381.1,JF957389.1,0.014902
JF957381.1,JF957390.1,0.0179806
JF957466.1,JF957467.1,0
JF957381.1,JF957391.1,0.0243401
JF957466.1,JF957468.1,0.026783
JF957381.1,JF957392.1,0.021827
JF957381.1,JF957393.1,0.0211305
JF957381.1,JF957395.1,0.0239088
JF957381.1,JF957396.1,0.0204101
JF957381.1,JF957397.1,0.0229653
JF957381.1,JF957398.1,0.019358
JF957381.1,JF957399.1,0.0232074
JF957381.1,JF957400.1,0.0204066
JF957466.1,JF957469.1,0.0177092
JF957381.1,JF957401.1,0.0257689
JF957381.1,JF957402.1,0.0273954
JF957381.1,JF957403.1,0.0204066
JF957466.1,JF957470.1,0.0139495
JF957406.1,JF957407.1,0.0135694
JF957406.1,JF957408.1,0.0156172
JF957406.1,JF957409.1,0.0382096
JF957446.1,JF957460.1,0.0355217
JF957406.1,JF957501.1,0.0310588
JF957424.1,JF957425.1,0.0149372
JF957424.1,JF957426.1,0.0191123
JF957424.1,JF957427.1,0.0101357
JF957424.1,JF957428.1,0.021817
JF957424.1,JF957429.1,0.00279467
JF957467.1,JF957468.1,0.026783
JF957467.1,JF957469.1,0.0177092
JF957467.1,JF957470.1,0.0139495
JF957382.1,JF957383.1,0.0177053
JF957382.1,JF957384.1,0.0125344
JF957382.1,JF957385.1,0.0180312
JF957382.1,JF957386.1,0.0180555
JF957382.1,JF957387.1,0.0200898
JF957382.1,JF957388.1,0.0187006
JF957382.1,JF957389.1,0.0173324
JF957382.1,JF957390.1,0.0204223
JF957424.1,JF957497.1,0.0380214
JF957382.1,JF957391.1,0.0261082
JF957382.1,JF957392.1,0.023608
JF957382.1,JF957393.1,0.0229121
JF957382.1,JF957395.1,0.0249706
JF957382.1,JF957396.1,0.0249657
JF957382.1,JF957397.1,0.0331596
JF957382.1,JF957398.1,0.0225058
JF957382.1,JF957399.1,0.0326956
JF957382.1,JF957400.1,0.0214713
JF957382.1,JF957401.1,0.0331566
JF957382.1,JF957402.1,0.0312991
JF957382.1,JF957403.1,0.0214782
JF957447.1,JF957448.1,0.0135497
JF957407.1,JF957408.1,0.00403768
JF957468.1,JF957469.1,0.0225981
JF957383.1,JF957384.1,0.0104669
JF957468.1,JF957470.1,0.0229385
JF957407.1,JF957409.1,0.03246
JF957383.1,JF957385.1,0.0152537
JF957383.1,JF957386.1,0.00167709
JF957383.1,JF957387.1,0.0173078
JF957383.1,JF957388.1,0.0159282
JF957383.1,JF957389.1,0.0145642
JF957383.1,JF957390.1,0.0183357
JF957383.1,JF957391.1,0.0226069
JF957383.1,JF957392.1,0.0207762
JF957383.1,JF957393.1,0.0200812
JF957383.1,JF957395.1,0.0221711
JF957383.1,JF957396.1,0.0200793
JF957383.1,JF957397.1,0.027469
JF957383.1,JF957398.1,0.0190247
JF957383.1,JF957399.1,0.0270073
JF957383.1,JF957400.1,0.019378
JF957383.1,JF957401.1,0.0288776
JF957383.1,JF957402.1,0.0270592
JF957383.1,JF957403.1,0.0207669
JF957447.1,JF957478.1,0.0323043
JF957447.1,JF957491.1,0.0387785
JF957407.1,JF957501.1,0.0260741
