ID1,ID2,Distance
KY883705.1,KY883706.1,0.0355705
KY883714.1,KY883717.1,0.0288165
KY883705.1,KY883707.1,0.0332382
KY883695.1,KY883705.1,0.0323117
KY883705.1,KY883709.1,0.0299282
KY883695.1,KY883707.1,0.0399856
KY883705.1,KY883712.1,0.038506
KY883705.1,KY883713.1,0.0294876
KY883705.1,KY883714.1,0.0255781
KY883695.1,KY883714.1,0.0337129
KY883714.1,KY883730.1,0.0399086
KY883705.1,KY883717.1,0.0242593
KY883705.1,KY883718.1,0.0396244
KY883714.1,KY883731.1,0.0317377
KY883695.1,KY883717.1,0.039395
KY883705.1,KY883719.1,0.0338739
KY883705.1,KY883722.1,0.0339348
KY883705.1,KY883723.1,0.0360579
KY883714.1,KY883736.1,0.0336211
KY883705.1,KY883725.1,0.029494
KY883705.1,KY883726.1,0.0338565
KY883705.1,KY883727.1,0.0361041
KY883714.1,KY883741.1,0.0348313
KY883705.1,KY883730.1,0.0286345
KY883705.1,KY883731.1,0.0305977
KY883731.1,KY883755.1,0.038517
KY883695.1,KY883736.1,0.0398077
KY883705.1,KY883736.1,0.0290327
KY883714.1,KY883751.1,0.0341802
KY883705.1,KY883737.1,0.0371628
KY883705.1,KY883738.1,0.0347699
KY883705.1,KY883739.1,0.0387748
KY883731.1,KY883759.1,0.0345688
KY883714.1,KY883755.1,0.0379204
KY883695.1,KY883741.1,0.0392631
KY883705.1,KY883740.1,0.0372212
KY883705.1,KY883741.1,0.0286099
KY883714.1,KY883757.1,0.0397535
KY883731.1,KY883762.1,0.0337722
KY883705.1,KY883743.1,0.0361042
KY883714.1,KY883759.1,0.0344994
KY883705.1,KY883745.1,0.0385258
KY883714.1,KY883762.1,0.0353261
KY883705.1,KY883748.1,0.0347345
KY883705.1,KY883749.1,0.0359128
KY883705.1,KY883750.1,0.0347741
KY883705.1,KY883751.1,0.0328589
KY883695.1,KY883757.1,0.0388451
KY883705.1,KY883755.1,0.0298687
KY883695.1,KY883759.1,0.0372874
KY883695.1,KY883762.1,0.0397823
KY883705.1,KY883759.1,0.025043
KY883705.1,KY883761.1,0.0315237
KY883705.1,KY883762.1,0.0250459
KY883731.1,KY888812.1,0.0336965
KY883705.1,KY888795.1,0.0336772
KY883705.1,KY888798.1,0.0372068
KY883705.1,KY888799.1,0.0374049
KY883705.1,KY888811.1,0.0338867
KY883714.1,KY888828.1,0.0364823
KY883705.1,KY888812.1,0.0390831
KY883739.1,KY888862.1,0.0365848
KY883705.1,KY888817.1,0.0369034
KY883705.1,KY888823.1,0.0311086
KY883705.1,KY888827.1,0.0379498
KY883705.1,KY888828.1,0.0314911
KY883705.1,KY888829.1,0.0380035
KY883705.1,KY888831.1,0.0346997
KY883705.1,KY888832.1,0.0380406
KY883705.1,KY888833.1,0.0346844
KY883714.1,KY888850.1,0.0322535
KY883705.1,KY888841.1,0.0372319
KY883731.1,KY888862.1,0.0280774
KY883714.1,KY888862.1,0.0267152
KY883695.1,KY888862.1,0.023623
KY883705.1,KY888850.1,0.0282803
KY883705.1,KY888852.1,0.0298468
KY883705.1,KY888854.1,0.0387503
KY883705.1,KY888855.1,0.0323864
KY883705.1,KY888858.1,0.035471
KY883705.1,KY888861.1,0.0354713
KY883705.1,KY888862.1,0.0214018
KY883705.1,KY888869.1,0.035932
KY883714.1,KY921738.1,0.0379112
KY883705.1,KY888870.1,0.0396194
KY883705.1,KY888874.1,0.0392538
KY883705.1,KY921720.1,0.0396573
KY883753.1,KY888862.1,0.0364653
KY883705.1,KY921725.1,0.0359976
KY883740.1,KY888862.1,0.0341809
KY883705.1,KY921733.1,0.0396812
KY883705.1,KY921738.1,0.0320029
KY883748.1,KY883759.1,0.0327297
KY883748.1,KY883761.1,0.0356716
KY883748.1,KY883762.1,0.0360187
KY883706.1,KY883717.1,0.0376305
KY883741.1,KY883751.1,0.0308142
KY883706.1,KY883736.1,0.0347691
KY883741.1,KY883759.1,0.0326862
KY883741.1,KY883762.1,0.0326869
KY883725.1,KY883748.1,0.0391307
KY883741.1,KY888817.1,0.0397179
KY883761.1,KY883762.1,0.0393351
KY883725.1,KY883759.1,0.0393994
KY883706.1,KY888817.1,0.0395254
KY883748.1,KY888862.1,0.0301497
KY883741.1,KY888833.1,0.0350817
KY883754.1,KY888862.1,0.0325587
KY883725.1,KY883761.1,0.0399206
KY883697.1,KY883705.1,0.0395853
KY883725.1,KY883762.1,0.0393986
KY883697.1,KY883708.1,0.0275544
